index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
000300.SH,csi_300,2025-02-28T00:00:00,79,219,16888972.05069999,20018488.1981,-3129516.1464000028,-631333.1288999998,-585637.7447999999,-1868400.1988999986,-1261115.9484999995,819581.2892,2309934.8572000004
000300.SH,csi_300,2025-02-27T00:00:00,117,181,17966827.665799994,19821687.672699988,-1854860.0081999998,-530451.9791000002,130106.66700000006,-1200734.2524000003,-654125.7545,493545.1821999999,1361314.8251
000300.SH,csi_300,2025-02-26T00:00:00,149,149,17231289.428900007,17098562.6416,132726.7872,-157492.80689999997,288691.45129999996,70528.66020000007,62198.12709999991,-30672.747900000075,-102054.03760000005
000300.SH,csi_300,2025-02-25T00:00:00,92,206,15575423.994400008,16975177.161000013,-1399753.167699999,-522766.6166,-362063.3716000001,-792938.5676999997,-606814.5988999999,382420.71130000043,1017332.4571000002
000300.SH,csi_300,2025-02-24T00:00:00,121,177,19918239.005100008,21519986.518500004,-1601747.5133000002,-532716.0122999997,78466.89110000004,-1404817.3011000005,-196930.21230000007,522482.6678999999,1079264.8445999995
000300.SH,csi_300,2025-02-21T00:00:00,117,182,24425441.017200008,23622410.24519998,803030.7719999998,-31087.427000000018,64610.180599999956,1226121.5889000006,-423090.81689999986,-805775.3665999998,2744.5955999999987
000300.SH,csi_300,2025-02-20T00:00:00,95,204,13549372.298700016,14597246.396099998,-1047874.0975999994,-319669.3961000003,-25664.9103,-770511.3972,-277362.70019999996,327106.6775000001,720767.4172000008
000300.SH,csi_300,2025-02-19T00:00:00,135,164,16027226.660700012,16050863.993700003,-23637.332799999895,-190822.62050000002,136796.02200000003,-34539.23560000007,10901.902599999958,-97120.89820000008,120758.23150000007
000300.SH,csi_300,2025-02-18T00:00:00,86,213,16699468.980700003,18567456.973599967,-1867987.991999999,-369017.6539000001,-335697.3380999997,-1144754.7944999991,-723233.1984000006,617913.5156999996,1250074.4769000004
000300.SH,csi_300,2025-02-17T00:00:00,137,162,19616338.46999999,19797253.848599985,-180915.3789,-59092.07919999997,88071.70609999995,-64800.84560000016,-116114.53299999992,43578.30359999993,137337.0726999999
000300.SH,csi_300,2025-02-14T00:00:00,116,183,16218410.96270001,16168151.492799994,50259.47030000019,-241818.26619999984,167388.76229999991,321670.75580000045,-271411.28589999967,-195981.12689999983,145721.6564
000300.SH,csi_300,2025-02-13T00:00:00,118,181,16130472.316199983,17540632.305099975,-1410159.9887000015,-451406.45269999973,-316904.4475,-1006746.7425000011,-403413.24639999995,262537.1889999999,1147622.8019999997
000300.SH,csi_300,2025-02-12T00:00:00,137,162,15923803.589500012,16014246.528599992,-90442.9402,-233428.3123,313275.1769,124053.92039999997,-214496.85949999973,-298474.59349999996,388917.5320000002
000300.SH,csi_300,2025-02-11T00:00:00,77,222,13955848.735499986,15346124.62169999,-1390275.8874000006,-447182.5481999999,-109367.63930000011,-739444.7397000003,-650831.1465000007,309035.96940000006,1081239.9182999998
000300.SH,csi_300,2025-02-10T00:00:00,113,186,16696506.26929999,17437700.552799996,-741194.2845000008,-411452.5957999994,144296.5534,-419263.0497,-321931.2338000004,314480.36030000006,426713.92250000045
000300.SH,csi_300,2025-02-07T00:00:00,164,134,22485447.94750001,22261117.488099974,224330.45970000018,-65095.13349999999,132746.2951,53281.84680000006,171048.61259999988,-190651.29350000003,-33679.16459999987
000300.SH,csi_300,2025-02-06T00:00:00,169,129,16569550.318199981,15886908.152700003,682642.1642,-196972.47509999995,289631.2459999999,715630.2192000002,-32988.053700000106,-510727.3569999998,-171914.80629999976
000300.SH,csi_300,2025-02-05T00:00:00,146,154,14857096.250899997,15122467.595100008,-265371.3441,-13446.147799999895,12833.9329,96063.9713,-361435.3154999999,-100120.97640000003,365492.32060000015
000300.SH,csi_300,2025-01-27T00:00:00,107,193,11435383.913600003,12704514.673700005,-1269130.7587999993,-639934.1679999997,-100818.2793,-1155540.3614999994,-113590.39860000018,500172.3629999998,768958.3942999998
000300.SH,csi_300,2025-01-24T00:00:00,183,117,12917230.236700002,12118472.355899977,798757.8816000003,-2105.2153000000017,220726.14559999993,667374.9458999998,131382.9349,-491809.2694999999,-306948.60959999985
000300.SH,csi_300,2025-01-23T00:00:00,124,176,14746485.587599989,15729798.502999987,-983312.9152000002,210689.6348,-102457.37610000005,-747366.4927000001,-235946.42270000002,183673.49670000002,799639.4198000004
000300.SH,csi_300,2025-01-22T00:00:00,84,216,12633155.648299994,13453337.453300014,-820181.8054999997,-451629.2797000003,-24018.05899999999,-303361.7630000005,-516820.04200000025,-130413.7187,950595.5244999999
000300.SH,csi_300,2025-01-21T00:00:00,108,192,12683159.067100001,12465760.108299987,217398.9588000001,-85454.58309999995,77962.56940000007,420546.1850999998,-203147.2262999999,-328971.7693999999,111572.81060000006
000300.SH,csi_300,2025-01-20T00:00:00,150,150,12352933.8368,12512612.525999991,-159678.68919999994,99689.7789,-65472.62510000001,-258585.57440000042,98906.8852,19279.11660000009,140399.5719
000300.SH,csi_300,2025-01-17T00:00:00,128,172,11430424.402999992,11397717.051699996,32707.351699999977,-120968.22699999994,-45343.215400000016,159194.76939999993,-126487.41809999997,-133901.1825,101193.83210000009
000300.SH,csi_300,2025-01-16T00:00:00,131,168,13241286.554100001,13360114.826199986,-118828.27300000015,9654.453200000027,26319.149299999997,-125492.76960000017,6664.497500000014,1423.9319999999789,117404.34009999993
000300.SH,csi_300,2025-01-15T00:00:00,93,206,11287912.8499,12344131.363799987,-1056218.5152,-515220.3898000002,-54720.50710000002,-601173.5759999999,-455044.9378999999,173114.79510000002,883103.7212999997
000300.SH,csi_300,2025-01-14T00:00:00,212,87,15561642.280300004,14145207.966499988,1416434.3141000012,164791.40910000005,173418.38649999996,956628.9159999995,459805.3978000001,-478219.4465000004,-938214.8699
000300.SH,csi_300,2025-01-13T00:00:00,108,191,9311360.4085,9877414.818300003,-566054.4097000002,-128131.71750000009,-11142.321300000003,-288487.93359999993,-277566.47620000003,-95086.92530000002,661141.3353000002
000300.SH,csi_300,2025-01-10T00:00:00,68,231,11026416.428799989,12034255.370900001,-1007838.9411999995,-248746.58190000002,-240902.37740000003,-443727.1219000005,-564111.8202000002,-144355.72199999995,1152194.6629000003
000300.SH,csi_300,2025-01-09T00:00:00,123,177,10300557.102700002,10217018.734400008,83538.36680000013,53946.03819999993,8599.544199999998,222030.0198000002,-138491.65149999998,-223180.46669999996,139642.10029999987
000300.SH,csi_300,2025-01-08T00:00:00,75,225,11759530.066199992,12446390.664400004,-686860.5975999996,-225402.2805999999,67456.51150000007,-312453.8886000001,-374406.7096000002,-100958.43729999999,787819.0351000009
000300.SH,csi_300,2025-01-07T00:00:00,156,144,11205938.016099997,10821556.68699998,384381.3295999999,168808.02370000014,141586.2003,336489.5325000002,47891.79659999995,-248544.22919999994,-135837.1006999999
000300.SH,csi_300,2025-01-06T00:00:00,115,184,9818665.766699996,10355595.5324,-536929.7650999997,-235841.5563999999,-60403.98400000004,-296880.2771000003,-240049.48860000016,-72024.30610000005,608954.0699000008
000300.SH,csi_300,2025-01-03T00:00:00,82,217,11524349.356300013,12632079.054400008,-1107729.7001999994,-255140.7875,-234711.2071999999,-674405.5438000002,-433324.15429999994,-81277.2602000002,1189006.9610999997
000300.SH,csi_300,2025-01-02T00:00:00,43,256,14742672.192800028,17710413.68459998,-2967741.491799999,-551702.1812000002,-536392.1342999998,-1859504.328600002,-1108237.1631999994,647226.0040999999,2320515.489399999
