index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
000680.SH,star,2023-06-30T00:00:00,202,340,2059832.7078000014,2055370.8667999983,4461.841300000015,29297.13219999997,9486.279400000012,-12666.735500000068,17128.57649999998,29912.819500000038,-34374.66199999998
000680.SH,star,2023-06-29T00:00:00,198,343,1867460.9054999994,1950667.041699996,-83206.08759999996,-4022.308899999982,4160.846399999999,-49456.07440000002,-33750.06180000001,68833.97770000002,14372.15880000007
000680.SH,star,2023-06-28T00:00:00,203,337,2066007.9534999998,2104493.373500001,-38485.42259999996,-8009.455900000015,452.03740000000084,-25595.35410000001,-12890.06590000002,60009.96109999997,-21524.537000000008
000680.SH,star,2023-06-27T00:00:00,246,293,1731531.4383000005,1690075.5517999998,41455.88559999999,42165.2388,5438.995500000002,1099.040500000001,40356.845999999976,72299.61490000002,-113755.49819999997
000680.SH,star,2023-06-26T00:00:00,197,340,2092270.5746000013,2270580.258800001,-178309.68299999984,-74490.8159,-16128.318299999984,-98214.97090000001,-80094.7133,73070.69629999997,105238.98459999994
000680.SH,star,2023-06-21T00:00:00,220,316,2505165.088200003,2725658.523999996,-220493.4342,-40366.51099999994,-25169.807400000005,-111165.68580000006,-109327.75000000006,114387.00270000001,106106.43390000005
000680.SH,star,2023-06-20T00:00:00,219,316,3158193.5048999963,3254661.190799995,-96467.68650000008,-33800.626399999965,36046.02069999993,-62402.321799999976,-34065.36409999996,47581.62979999997,48886.05749999999
000680.SH,star,2023-06-19T00:00:00,204,330,3146782.0695999986,3200149.6216999996,-53367.55059999997,-4768.453000000009,8467.512499999997,-49975.51449999999,-3392.0375999999997,57722.80079999997,-4355.251100000001
000680.SH,star,2023-06-16T00:00:00,277,256,2658273.564099995,2664477.095499995,-6203.531299999964,-11370.46820000001,47083.51420000002,31248.645300000026,-37452.176700000055,47131.28700000003,-40927.75600000003
000680.SH,star,2023-06-15T00:00:00,257,277,2493136.252200002,2653140.5617999965,-160004.31029999998,-52757.41160000005,-22144.96549999999,-101077.05489999996,-58927.2547,119024.5177999999,40979.788599999985
000680.SH,star,2023-06-14T00:00:00,246,288,2233017.452499999,2285928.4951999984,-52911.044300000016,-19446.557200000014,1314.4108000000006,-43270.615699999995,-9640.427000000045,108369.81030000016,-55458.765800000154
000680.SH,star,2023-06-13T00:00:00,252,282,2219612.9412999996,2224190.9209,-4577.980999999971,-20489.4031,23146.755699999998,11839.602700000029,-16417.582299999984,5093.271400000015,-515.2905000000083
000680.SH,star,2023-06-12T00:00:00,270,264,2238229.462299998,2229433.285500001,8796.178200000038,20034.6814,4324.9603000000025,-14810.448,23606.624800000023,87634.72080000002,-96430.89730000001
000680.SH,star,2023-06-09T00:00:00,227,306,2593003.258700001,2560317.0041999975,32686.256500000018,14472.653599999976,59869.42150000003,28780.957100000047,3905.297399999923,129003.59689999993,-161689.8545
000680.SH,star,2023-06-08T00:00:00,233,299,1657502.2306999993,1794307.8628000012,-136805.63009999992,-26267.800799999975,-10721.937000000002,-94697.02529999998,-42108.60680000001,129694.77949999992,7110.850000000033
000680.SH,star,2023-06-07T00:00:00,225,304,1640275.7224999985,1706185.5025999986,-65909.77800000005,-8323.446600000003,-12194.527199999993,-30175.328899999986,-35734.45119999998,30663.238800000025,35246.539000000004
000680.SH,star,2023-06-06T00:00:00,225,304,1946242.580399999,2149245.8725999994,-203003.8125,-42600.407900000006,-35491.64629999998,-122675.16050000011,-80328.13169999993,93888.8504,109114.43890000008
000680.SH,star,2023-06-05T00:00:00,259,269,2155038.8812999986,2170849.7159999986,-15810.831900000041,30026.547199999957,5655.57059999999,-34911.36989999999,19100.535200000028,94638.51169999997,-78827.68010000001
000680.SH,star,2023-06-02T00:00:00,243,284,1968862.6933999993,2070701.2262,-101838.53130000009,-43283.591100000005,-5400.993,-34684.30949999998,-67154.22329999998,98728.04630000002,3110.484100000016
000680.SH,star,2023-06-01T00:00:00,214,312,2408679.3205,2449622.0460999985,-40942.72550000001,-15885.100000000002,-10329.6822,-41311.47339999999,368.7477999999792,54293.3978,-13350.67370000001
000680.SH,star,2023-05-31T00:00:00,223,302,2461865.3089999994,2410667.7299999977,51197.58189999989,11451.639700000029,64336.57389999999,36920.8175,14276.76150000004,-64976.5892,13779.0082
000680.SH,star,2023-05-30T00:00:00,174,351,1821681.4989999998,1945504.088900001,-123822.58890000008,-47498.79629999994,12997.669900000006,-50503.31709999999,-73319.27279999999,-13755.35130000005,137577.93750000006
000680.SH,star,2023-05-29T00:00:00,188,337,2233550.5475999997,2357759.103399999,-124208.55560000004,-61222.46210000001,-15233.060800000003,-60255.05270000002,-63953.50310000001,71455.89909999992,52752.65800000003
000680.SH,star,2023-05-26T00:00:00,223,303,1919451.4053999986,1889622.0848000017,29829.3206,2323.431100000003,12756.872299999988,60040.72889999998,-30211.408300000032,-12409.56390000002,-17419.755300000004
000680.SH,star,2023-05-25T00:00:00,184,342,1796460.0830000003,1882001.7371000014,-85540.96239999997,4485.529,4808.561,-38338.42150000001,-47203.232600000054,75608.8542,9932.79959999997
000680.SH,star,2023-05-24T00:00:00,164,362,1711603.4807999998,1844842.6806999983,-133239.19929999986,-60863.23900000005,-4965.573400000001,-72627.65460000002,-60611.54529999991,70233.16579999997,63006.03309999996
000680.SH,star,2023-05-23T00:00:00,186,339,1318743.9666999984,1544924.4183000012,-226180.45109999986,-58167.93910000004,-23664.68180000002,-102745.62290000002,-123434.82869999997,72224.34950000005,153956.102
000680.SH,star,2023-05-22T00:00:00,195,330,1311836.1835000005,1444935.4788000025,-133099.29550000007,-30416.553899999995,-6167.755300000002,-72483.236,-60616.059300000015,49967.44000000001,83131.85519999998
000680.SH,star,2023-05-19T00:00:00,217,307,2477898.770000003,2279542.1488000043,198356.62089999998,129777.45859999998,7077.996699999998,104387.9343,93968.68690000006,-35907.84449999991,-162448.77479999998
000680.SH,star,2023-05-18T00:00:00,222,300,2075850.6619999995,1994303.3217000004,81547.3411,19749.859999999993,19335.0073,59872.7303,21674.61000000006,43000.5114,-124547.85479999994
000680.SH,star,2023-05-17T00:00:00,249,272,1658312.0001000008,1617949.0872999995,40362.91219999999,39874.621399999975,8240.332199999999,6939.3958000000075,33423.517000000014,11839.6103,-52202.522300000004
000680.SH,star,2023-05-16T00:00:00,292,229,1763641.754300001,1665267.9096000006,98373.8442,16173.532299999992,15856.715799999987,-6274.202000000003,104648.04669999995,58725.90350000001,-157099.7488000001
000680.SH,star,2023-05-15T00:00:00,235,285,1720058.3953000002,1779557.911499999,-59499.51559999997,-39397.37920000003,24277.043400000002,-76147.85530000001,16648.339099999994,37493.134999999944,22006.377999999997
000680.SH,star,2023-05-12T00:00:00,262,258,1619760.2770000023,1624166.2551000013,-4405.974499999978,21667.160299999996,4409.039600000003,-37975.49500000001,33569.51690000005,37424.760899999994,-33018.786800000016
000680.SH,star,2023-05-11T00:00:00,292,228,1682743.4511000002,1622911.3432999998,59832.10829999996,14415.510700000019,1883.4427999999984,15630.884400000003,44201.22339999999,81630.22780000004,-141462.33539999995
000680.SH,star,2023-05-10T00:00:00,242,277,2004192.8728000002,1990240.9361,13951.938099999912,30089.453999999998,4822.165499999998,-79801.78289999998,93753.71960000001,178067.08469999995,-192019.0233
000680.SH,star,2023-05-09T00:00:00,243,275,2212053.972899998,2444040.7969999975,-231986.82499999975,-41757.90099999998,-13237.662499999997,-175789.23099999997,-56197.59310000003,192266.5344000001,39720.29029999995
000680.SH,star,2023-05-08T00:00:00,254,264,2040331.0890999972,2044770.4864999987,-4439.397900000018,3261.988099999997,521.1959000000007,28613.80019999999,-33053.1976,90590.89719999992,-86151.49860000002
000680.SH,star,2023-05-05T00:00:00,249,268,2330104.5603000005,2241718.2966000014,88386.26480000002,49881.32070000001,22553.953700000005,-25844.669300000038,114230.93300000005,151279.2356999999,-239665.50040000008
000680.SH,star,2023-05-04T00:00:00,231,285,2297164.047900001,2432483.3496,-135319.30009999996,-47046.54350000003,-3252.094800000002,-131466.99120000002,-3852.310499999973,166412.21949999992,-31092.91930000003
