index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
000300.SH,csi_300,2016-12-30T00:00:00,130,159,4078917.290999997,4374583.501499999,-295666.2105000001,-74462.3987,17639.6871,-59180.10530000005,-236486.10520000014,14847.700300000015,285537.9910999999
000300.SH,csi_300,2016-12-29T00:00:00,105,183,3895250.3056000024,4224216.342500003,-328966.03689999983,-232388.91560000007,7062.777600000011,-85689.83989999998,-243276.19699999996,46385.764100000015,283282.36809999973
000300.SH,csi_300,2016-12-28T00:00:00,76,213,3520885.247999998,4033441.6997999977,-512556.45179999986,-123422.19229999998,-74113.9554,-275419.95019999996,-237136.50160000005,88902.8967,431878.56750000035
000300.SH,csi_300,2016-12-27T00:00:00,91,197,4048663.4976999946,4423653.057499998,-374989.5597999998,-171807.86600000004,-22779.736399999994,-282503.4035,-92486.15630000002,57616.16379999998,335768.4248999997
000300.SH,csi_300,2016-12-26T00:00:00,93,195,4924241.616500004,5189494.131200003,-265252.51469999994,-405270.6831999996,117267.53240000001,-124617.88880000002,-140634.6259000001,71554.70079999998,181850.7211
000300.SH,csi_300,2016-12-23T00:00:00,57,232,4954132.0478,5763645.691199994,-809513.6434000001,-159802.51609999995,-72806.30030000006,-626706.5956999996,-182807.0477,174963.92140000002,654963.0657999999
000300.SH,csi_300,2016-12-22T00:00:00,95,194,4596014.260599996,4922140.156500003,-326125.8959000002,-218881.46710000004,56336.60449999998,-189823.27519999992,-136302.62070000006,63444.98960000005,268482.13930000016
000300.SH,csi_300,2016-12-21T00:00:00,144,143,5825902.537099994,5618755.658899996,207146.87820000004,-31741.375899999985,-997.5658000000067,184198.3618,22948.516399999942,-74406.85990000001,-145868.51140000005
000300.SH,csi_300,2016-12-20T00:00:00,63,226,4315674.2891000025,5011764.066000003,-696089.7768999997,-256557.79530000003,-20316.703900000004,-492108.7631000003,-203981.01380000007,188522.31320000012,516175.9531000002
000300.SH,csi_300,2016-12-19T00:00:00,67,221,4131824.3730999976,4875669.495400001,-743845.1222999996,-297357.73020000017,-104969.14549999997,-569718.0242000008,-174127.09809999994,216973.43979999985,542422.0669999997
000300.SH,csi_300,2016-12-16T00:00:00,95,191,5057175.625799998,5484304.769000004,-427129.14319999976,-244788.84489999994,-43649.707900000016,-302006.35659999965,-125122.78659999995,44528.692399999956,393436.69319999934
000300.SH,csi_300,2016-12-15T00:00:00,64,222,6105399.909800009,7283920.597899998,-1178520.688099999,-638509.4034000001,-114640.54179999999,-1057541.0406000006,-120979.64749999996,376347.1505,838409.2528000005
000300.SH,csi_300,2016-12-14T00:00:00,86,202,6735225.143100001,7310890.529699997,-575665.3865999997,-210786.96310000005,-165597.99660000004,-386279.8013,-189385.58529999998,122263.46539999993,480026.39189999975
000300.SH,csi_300,2016-12-13T00:00:00,81,208,6578561.4361999985,7141255.5339999935,-562694.0978000001,-352476.18009999994,10420.461899999995,-320717.30659999995,-241976.7911999998,93496.17560000003,473450.16200000024
000300.SH,csi_300,2016-12-12T00:00:00,67,220,10860211.949200004,12567527.285400005,-1707315.3362000016,-352893.4509000001,40245.59490000002,-799091.8764999998,-908223.4596999992,191082.76770000003,1525038.1344999983
000300.SH,csi_300,2016-12-09T00:00:00,120,168,9096045.202300018,8915911.251699999,180133.9505999999,-168669.11460000003,-31029.66640000001,314330.68339999986,-134196.73280000009,-178024.98390000014,-18740.814699999974
000300.SH,csi_300,2016-12-08T00:00:00,94,195,6519805.281800005,6938603.634300002,-418798.35250000004,-75385.3263,-132047.44979999994,-293100.8645000003,-125697.48799999995,90740.6654,341911.85240000003
000300.SH,csi_300,2016-12-07T00:00:00,121,165,6414865.848099999,6578272.719500013,-163406.87140000006,-307655.25680000015,93827.96160000011,-100138.20220000006,-63268.66920000006,60030.93340000003,97914.08259999997
000300.SH,csi_300,2016-12-06T00:00:00,87,199,6946376.869700002,7641809.319800009,-695432.4500999999,-252956.53929999992,-130616.81829999996,-460857.3925,-234575.0576000001,176503.42639999982,540143.2660999998
000300.SH,csi_300,2016-12-05T00:00:00,82,205,10748135.201000005,12514336.133500002,-1766200.9325000013,-895094.1586999998,-3444.8007000000016,-1192517.8296000005,-573683.1028999996,438582.0707999995,1343866.3258000002
000300.SH,csi_300,2016-12-02T00:00:00,77,211,11436994.158400005,12494807.681700014,-1057813.5232999995,-296828.55250000017,23055.757800000007,-712440.9406000007,-345372.5827000001,209238.83160000015,879975.2786999997
000300.SH,csi_300,2016-12-01T00:00:00,127,161,12092729.811200013,12451808.376899986,-359078.5656999999,-363133.90780000016,105481.42690000002,-424963.3304999997,65884.76480000002,135794.4501,251572.3389
000300.SH,csi_300,2016-11-30T00:00:00,72,217,10622212.561900008,11970711.80520001,-1348499.2432999995,-813595.2557000004,-71171.6562,-1091737.6453000004,-256761.59800000014,448485.83889999974,945411.2841999993
000300.SH,csi_300,2016-11-29T00:00:00,143,144,15413204.204500016,14979556.165800013,433648.0387,-242621.31730000023,3854.747700000008,586964.4303,-153316.3916000001,-217318.4116000002,-195602.0552999999
000300.SH,csi_300,2016-11-28T00:00:00,117,172,13808176.0841,14295940.265499987,-487764.1813999999,-296536.30699999986,-195030.20889999997,-340348.3427,-147415.83869999993,363047.7277999997,133289.759
000300.SH,csi_300,2016-11-25T00:00:00,135,155,9875504.671700003,9679245.126500014,196259.5452,-204024.75189999997,347887.0114999997,188588.2334000001,7671.311799999885,-95221.87319999993,-108049.98969999995
000300.SH,csi_300,2016-11-24T00:00:00,131,158,9851638.714700004,9803374.139499996,48264.57519999998,-121754.42959999999,-23700.1906,187528.03240000014,-139263.45719999998,-97133.01279999997,46985.11280000003
000300.SH,csi_300,2016-11-23T00:00:00,119,170,10142782.141299995,10311820.426099999,-169038.2847999999,30072.996600000006,-30477.06869999999,73168.42690000015,-242206.7117,-48421.27510000005,232400.29029999985
000300.SH,csi_300,2016-11-22T00:00:00,148,141,10589355.421700004,10298530.944900004,290824.47679999954,-45402.08850000002,-41725.61530000003,454920.85649999976,-164096.3797,-127204.49990000005,-167786.181
000300.SH,csi_300,2016-11-21T00:00:00,132,157,8778299.983700002,8985428.7722,-207128.7885000001,-95323.79540000006,-21293.299499999986,-124629.5466,-82499.24190000004,46457.47139999997,150629.81629999977
000300.SH,csi_300,2016-11-18T00:00:00,80,209,6214841.764799991,7040471.4305,-825629.6656999999,-295094.32209999993,-236513.75380000006,-594085.1974999995,-231544.46819999997,161578.40330000003,689203.7035000001
000300.SH,csi_300,2016-11-17T00:00:00,99,190,6750696.135699997,6911625.340400005,-160929.20470000003,-241300.31180000002,115291.8847,-141982.21120000005,-18946.993499999953,53691.30910000003,106198.15419999992
000300.SH,csi_300,2016-11-16T00:00:00,110,180,7107622.147100003,7415617.186100002,-307995.03900000005,-197692.6898999998,9242.965299999998,-346464.55760000023,38469.51859999999,57113.42500000004,250764.7455000001
000300.SH,csi_300,2016-11-15T00:00:00,104,186,7365300.798400001,7852462.159099996,-487161.3607,-95231.92169999999,3243.1782999999987,-460577.04089999973,-26584.31979999996,133246.40960000013,362087.0322000004
000300.SH,csi_300,2016-11-14T00:00:00,131,160,12252609.047200006,12725876.191199994,-473267.1440000001,-202605.89080000014,3414.2040000000047,-356184.9059000001,-117082.23810000012,264555.7702999999,211031.70050000027
000300.SH,csi_300,2016-11-11T00:00:00,162,129,11904439.313300004,10931855.497499986,972583.8158000006,-185458.61300000004,176542.97329999998,822343.7186999999,150240.09710000004,-303228.50060000026,-689235.7836
000300.SH,csi_300,2016-11-10T00:00:00,202,88,8224101.075500005,7609220.767700004,614880.3078000005,303961.1856999998,23497.040099999977,442611.4398,172268.8680000001,-228598.27919999984,-384462.5791
000300.SH,csi_300,2016-11-09T00:00:00,79,211,8285608.439699995,8450388.596999986,-164780.15729999996,-137052.89200000005,15377.55950000001,179837.54309999986,-344617.7003999998,-247740.74889999986,414561.3491999997
000300.SH,csi_300,2016-11-08T00:00:00,139,152,5934888.427500004,6023480.720599998,-88592.29309999998,-57017.060700000024,-84314.3229999999,-63783.89119999995,-24808.4019,70340.30500000007,24684.650999999987
000300.SH,csi_300,2016-11-07T00:00:00,107,183,5210878.779999997,5257651.029000003,-46772.24899999998,-211294.47420000003,16732.6058,75311.89800000013,-122084.14700000011,-90055.67149999994,128266.14409999987
000300.SH,csi_300,2016-11-04T00:00:00,100,190,5989270.332699999,6527551.5890000025,-538281.2562999997,-74151.53350000002,-94159.58039999992,-483719.10540000006,-54562.15090000002,99199.624,458373.2781999998
000300.SH,csi_300,2016-11-03T00:00:00,179,111,8296556.3309,7585996.233499998,710560.0973999999,-143080.4018,-870.8373000000039,695458.5211000004,15101.576300000008,-272453.2403,-439964.3812000002
000300.SH,csi_300,2016-11-02T00:00:00,81,209,5171611.978300001,5867825.301599995,-696213.3233,-117676.19059999999,-155823.67399999988,-435104.3241,-261108.9992000001,125394.08699999996,581016.0211000001
000300.SH,csi_300,2016-11-01T00:00:00,132,158,4695039.077599999,4664684.669399999,30354.408199999987,-139778.22810000004,49718.36769999998,24597.39010000003,5757.018100000008,-34158.228400000015,-12644.102899999983
