index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
000680.SH,star,2022-06-30T00:00:00,192,239,1584397.0893000015,1730167.3086999985,-145770.21800000005,-40509.76189999999,-15963.598900000008,-77815.80859999997,-67954.41080000001,84358.90039999998,61411.31679999995
000680.SH,star,2022-06-29T00:00:00,172,259,1755037.0760000004,1827758.3609,-72721.28359999991,1711.5953999999983,-19068.004600000015,-22591.37260000009,-50129.912299999996,171045.9464999999,-98324.663
000680.SH,star,2022-06-28T00:00:00,200,230,1653511.548399999,1671047.752399999,-17536.205400000006,-35676.80509999996,14213.503100000016,-49747.798099999956,32211.594099999995,16896.605199999954,639.5988999999895
000680.SH,star,2022-06-27T00:00:00,201,229,1707639.8000000003,1709731.665599999,-2091.865000000036,12791.413500000013,12583.409700000002,-12633.628200000001,10541.762599999985,12.59050000003117,2079.2749999999924
000680.SH,star,2022-06-24T00:00:00,188,242,1741984.647499998,1700556.7099999983,41427.93869999999,38135.90849999999,8205.3416,12351.8302,29076.107300000014,-37208.665399999954,-4219.273300000037
000680.SH,star,2022-06-23T00:00:00,160,269,1415495.3821000007,1451877.8036999996,-36382.422900000005,-25489.912199999977,21871.58829999999,-34861.304899999974,-1521.1166999999878,-5642.7842000000055,42025.20839999991
000680.SH,star,2022-06-22T00:00:00,181,248,1374767.0350999988,1325475.2408000017,49291.793899999946,20792.475299999995,-5362.7019,24488.73450000002,24803.059800000032,102351.77349999998,-151643.568
000680.SH,star,2022-06-21T00:00:00,212,216,1255127.685899999,1314821.2618000004,-59693.57570000001,-29733.884199999975,-5002.941200000001,-43771.991300000016,-15921.5846,71856.7692,-12163.191500000026
000680.SH,star,2022-06-20T00:00:00,205,223,1517332.1424000002,1487674.6051,29657.53910000001,21261.59779999996,1712.7630000000015,5299.918699999995,24357.618599999958,-7215.800100000026,-22441.73689999999
000680.SH,star,2022-06-17T00:00:00,164,264,1353319.5657000004,1488698.6332999994,-135379.06850000002,-48959.45390000002,5251.8805999999995,-66218.3895,-69160.67809999999,76936.7648,58442.30309999997
000680.SH,star,2022-06-16T00:00:00,164,264,1095380.8171000006,1185348.4786000005,-89967.66180000012,-13915.36299999999,-7133.405800000007,-31371.65179999999,-58596.00969999994,50132.74270000003,39834.91770000002
000680.SH,star,2022-06-15T00:00:00,248,180,1214739.3054999984,1219781.0703999999,-5041.765399999993,9184.068699999987,6142.804300000004,-18085.2715,13043.506600000004,70821.214,-65779.44909999998
000680.SH,star,2022-06-14T00:00:00,156,272,1237053.9821000001,1349537.3857999993,-112483.4052,-70929.59139999998,25461.42,-35434.34059999998,-77049.06310000004,49578.31810000003,62905.0883
000680.SH,star,2022-06-13T00:00:00,139,289,1255184.4039000003,1442324.9784000001,-187140.57469999985,-52253.88300000003,-12889.0447,-81948.59880000004,-105191.97569999998,72950.32309999989,114190.2519
000680.SH,star,2022-06-10T00:00:00,232,196,1657334.6243999982,1635219.2327000005,22115.392500000005,-28513.60810000002,24951.888999999992,-5382.696,27498.087699999985,34205.47460000003,-56320.86670000007
000680.SH,star,2022-06-09T00:00:00,115,313,1193303.801800001,1380927.8196999992,-187624.01840000006,-32425.045400000028,373.4090999999994,-54122.996400000025,-133501.0214999999,42705.985200000025,144918.0333999999
000680.SH,star,2022-06-08T00:00:00,111,317,1859469.109600001,1757853.881600001,101615.22719999982,124674.03640000001,18715.310200000004,115877.20610000001,-14261.978100000008,-219849.54690000002,118234.3178
000680.SH,star,2022-06-07T00:00:00,95,331,1643739.4789000018,1880389.4591999976,-236649.98000000004,-63919.40389999997,-9676.672999999999,-60508.29219999993,-176141.6881000001,56218.38739999999,180431.59119999994
000680.SH,star,2022-06-06T00:00:00,213,213,2542862.6998000005,2500245.3684000005,42617.33089999994,61748.331099999996,-12572.80579999999,2721.0269999999723,39896.30440000001,75214.2174,-117831.54739999998
000680.SH,star,2022-06-02T00:00:00,233,191,1743610.2732999981,1721639.280400002,21970.99299999998,-27721.974000000002,21008.45879999998,-9447.10779999999,31418.100699999974,44218.71080000002,-66189.70309999998
000680.SH,star,2022-06-01T00:00:00,201,223,1269785.8685999992,1316386.4229000004,-46600.555100000056,-3027.8570000000027,4824.8579,-69217.53430000003,22616.97999999998,24734.50180000004,21866.0533
000680.SH,star,2022-05-31T00:00:00,227,197,1208190.5602999986,1164009.5872999993,44180.9729,8356.0842,19741.951399999984,9648.862300000012,34532.11069999999,9579.596799999988,-53760.57089999996
000680.SH,star,2022-05-30T00:00:00,173,251,704725.5381000002,779320.8069999999,-74595.26909999995,-30705.95840000004,4139.6680000000015,-51901.00480000004,-22694.264100000033,42196.8723,32398.39559999994
000680.SH,star,2022-05-27T00:00:00,202,222,723285.6591,717486.1477000001,5799.51389999998,-2060.1637000000082,10108.7408,-391.97119999999086,6191.4826000000085,41338.25120000001,-47137.76630000001
000680.SH,star,2022-05-26T00:00:00,196,227,714816.4564999996,736434.8458000007,-21618.390000000007,-7399.616899999998,4371.955799999998,-17407.544100000006,-4210.845200000005,23542.67590000001,-1924.2875999999815
000680.SH,star,2022-05-25T00:00:00,180,242,699379.2471000003,762110.8496999999,-62731.601999999984,-40532.6698,1620.1565000000005,-26171.726199999997,-36559.87640000001,15055.06020000001,47676.541200000014
000680.SH,star,2022-05-24T00:00:00,152,269,1034093.6600999999,1281625.7839999984,-247532.12529999993,-62508.755799999984,-32818.84149999999,-136388.0804,-111144.04350000001,112600.95470000009,134931.17099999994
000680.SH,star,2022-05-23T00:00:00,188,233,839073.5180999999,873411.736999999,-34338.217200000014,-16633.719999999987,17593.483900000003,-44376.20999999999,10037.9911,41523.3663,-7185.148900000011
000680.SH,star,2022-05-20T00:00:00,218,203,1094708.2661000001,1023213.0477000001,71495.21740000001,20901.86740000001,13316.315999999999,25951.465700000015,45543.75270000001,8636.177099999988,-80131.39329999997
000680.SH,star,2022-05-19T00:00:00,149,271,953191.1115000013,1010120.6664000001,-56929.556599999996,-35884.522799999984,4808.686000000001,-20247.513699999992,-36682.04120000001,9376.830699999999,47552.726299999995
000680.SH,star,2022-05-18T00:00:00,194,226,789361.9772000002,800347.7178999999,-10985.741500000015,5445.820599999994,2671.029000000004,-9982.711499999989,-1003.029199999993,3297.698000000001,7688.045099999993
