index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
000300.SH,csi_300,2015-02-27T00:00:00,88,205,12231382.342500003,12701681.204800002,-470298.86230000004,-73724.66109999997,-130965.70360000004,-203955.63660000017,-266343.2256999999,125519.29559999991,344779.56669999997
000300.SH,csi_300,2015-02-26T00:00:00,126,167,12778315.949300004,12571274.022900008,207041.9264,-191997.07769999997,104488.82129999997,363270.26860000007,-156228.34219999993,-135817.2225,-71224.70389999992
000300.SH,csi_300,2015-02-25T00:00:00,108,185,9126989.5189,9813406.1721,-686416.6532000003,-161584.45240000007,-180834.34230000005,-789715.2082999997,103298.55509999993,363020.3799000001,323396.27330000006
000300.SH,csi_300,2015-02-17T00:00:00,78,216,9970230.176599992,10640605.475499995,-670375.2989000003,-125287.86560000009,-80284.9122,-553857.2410999998,-116518.0577999999,316157.8862000002,354217.41269999964
000300.SH,csi_300,2015-02-16T00:00:00,115,177,10910147.741900004,11061574.633200005,-151426.89130000005,-59392.38800000001,-30033.7251,-24534.793699999962,-126892.09760000012,32843.03410000006,118583.85720000003
000300.SH,csi_300,2015-02-13T00:00:00,140,152,11893011.281100012,12019001.267299997,-125989.9862,-119044.65670000002,-110359.4272,-97248.19499999999,-28741.791199999927,78693.00579999994,47296.98039999999
000300.SH,csi_300,2015-02-12T00:00:00,86,206,9060447.6597,9506371.688099995,-445924.0284000001,-165755.553,-65994.59659999998,-281653.4106,-164270.61779999995,186768.1713,259155.8571000001
000300.SH,csi_300,2015-02-11T00:00:00,95,198,8960338.307300003,9071167.744899992,-110829.43759999999,-32732.1831,187.69549999999833,165578.37830000016,-276407.81590000016,-87896.8868,198726.32439999998
000300.SH,csi_300,2015-02-10T00:00:00,108,184,9463807.897700002,9567707.180599997,-103899.28289999999,-56337.00139999999,49437.93029999995,108089.23079999995,-211988.51369999972,-20682.888599999955,124582.17149999991
000300.SH,csi_300,2015-02-09T00:00:00,84,208,10376531.540899992,10493615.431699999,-117083.89080000005,-86402.531,-82190.82149999993,113350.1104,-230434.00119999988,-28433.552800000023,145517.44360000012
000300.SH,csi_300,2015-02-06T00:00:00,42,248,9773873.092000006,11038766.379000012,-1264893.2870000005,-248053.7484999998,-259017.07260000004,-1065285.5008,-199607.78620000012,475426.7233999998,789466.5636000005
000300.SH,csi_300,2015-02-05T00:00:00,69,221,15015958.455599999,15958077.18060002,-942118.7249999996,-183524.87940000003,-374380.7071999999,-720042.285,-222076.43999999986,371825.9254000001,570292.7996000004
000300.SH,csi_300,2015-02-04T00:00:00,73,217,11138343.775400007,11976608.33480001,-838264.5593999996,-47025.29380000002,-225971.58549999993,-584041.7753999997,-254222.78400000013,323128.9257,515135.6336999996
000300.SH,csi_300,2015-02-03T00:00:00,98,191,11536440.763700001,11900597.302899987,-364156.5391999999,-151167.4952000001,88099.66939999996,-233513.85769999993,-130642.68149999995,114727.00060000001,249429.53860000012
000300.SH,csi_300,2015-02-02T00:00:00,56,234,9922099.697900007,11093377.557500018,-1171277.8596000008,-377334.0306999998,-316723.50159999984,-964937.7731000001,-206340.08649999998,419020.2993,752257.5603000002
000300.SH,csi_300,2015-01-30T00:00:00,59,230,9967789.733799998,11472400.81909999,-1504611.0853000002,-291832.7827999999,-264384.65880000015,-1224108.0155999998,-280503.0696999999,586010.4683000005,918600.6170000003
000300.SH,csi_300,2015-01-29T00:00:00,58,233,10887718.687799996,12105160.765500028,-1217442.0777000005,-320887.38239999994,-169380.9608000001,-896409.2626000005,-321032.81510000024,463223.27980000013,754218.7978999998
000300.SH,csi_300,2015-01-28T00:00:00,61,230,11952589.460199999,13310286.603199998,-1334812.4752000012,-340600.78170000005,-329686.27990000014,-1132828.7371999996,-224868.40580000007,556278.3774999997,801418.7654999997
000300.SH,csi_300,2015-01-27T00:00:00,74,216,15528402.878099993,17232488.866200004,-1704085.9880999997,-209272.98390000002,-25667.77979999997,-1458038.2782,-246047.70989999993,704124.4105999996,999961.5774999999
000300.SH,csi_300,2015-01-26T00:00:00,130,160,14564179.5495,15311332.093200002,-747152.5437,-266736.95079999976,25963.62810000002,-709227.4752000001,-37925.06850000003,342500.0406000001,404652.50310000015
000300.SH,csi_300,2015-01-23T00:00:00,70,220,17360726.458600014,18251119.858000014,-890393.3994000001,-304937.0915999999,-157951.31519999987,-726779.6692999996,-163613.7301,355632.7387000001,534760.6607
000300.SH,csi_300,2015-01-22T00:00:00,112,178,16513319.011199987,17112996.738100003,-599677.7269000001,-187673.50599999996,-16589.46270000001,-622915.3656000003,23237.63870000017,276315.6051999998,323362.1217000002
000300.SH,csi_300,2015-01-21T00:00:00,221,70,22068491.574600004,21089748.88429998,978742.6903000002,-108334.84580000001,308377.7966999999,988111.0818999998,-9368.391600000075,-402376.90240000014,-576365.7878999999
000300.SH,csi_300,2015-01-20T00:00:00,131,161,19192987.216299992,19684060.6059,-491073.3896000003,-143545.8003,88120.317,-426688.64360000036,-64384.74599999987,217952.0549000002,273121.33469999995
000300.SH,csi_300,2015-01-19T00:00:00,30,262,15539978.690999985,19040553.55249999,-3500574.8614999973,-703687.4922999997,-277959.84569999995,-3255549.124400002,-245025.73710000023,1457214.515600002,2043360.3459000003
000300.SH,csi_300,2015-01-16T00:00:00,136,157,18251606.66330001,18570111.450200006,-318504.78689999995,-88777.71760000005,-105450.25689999993,-206308.0416000001,-112196.74529999988,104372.82169999997,214131.96519999986
000300.SH,csi_300,2015-01-15T00:00:00,147,146,15425107.20880001,14959546.891900005,465560.31689999974,-168280.4019000001,170470.4368,629260.7944,-163700.47749999998,-197888.68480000008,-267671.6321000001
000300.SH,csi_300,2015-01-14T00:00:00,68,225,11342920.271999992,12191498.904200004,-848578.6321999996,-26986.2546,-24296.1698,-640255.0973000001,-208323.53490000012,290927.4494,557651.1828
000300.SH,csi_300,2015-01-13T00:00:00,106,188,11958026.595199998,12796898.4026,-838871.8074,-169585.37159999993,-88612.41839999997,-631761.2172000002,-207110.5901999998,280624.1913,558247.6160999999
