index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
399102.SZ,chinext,2015-08-31T00:00:00,45,350,2470731.5242999983,3094793.5016999957,-624061.9773999999,-201363.74470000016,-41903.22860000002,-218300.22760000013,-405761.7498,145825.13770000002,478236.83969999955
399102.SZ,chinext,2015-08-28T00:00:00,264,127,3770758.112499998,3625072.7838000003,145685.32869999998,-84832.71460000004,76897.02730000002,95998.75430000004,49686.574399999976,-61615.743800000055,-84069.5849
399102.SZ,chinext,2015-08-27T00:00:00,142,247,3165608.4757999964,3302586.2705999985,-136977.7948,3007.029500000005,102289.90429999998,-11106.15829999999,-125871.63650000001,10583.591800000002,126394.20299999998
399102.SZ,chinext,2015-08-26T00:00:00,99,293,3658946.6051999973,4080605.530900005,-421658.9256999998,-154292.0103999999,-72893.34530000003,-296577.04490000027,-125081.88080000001,151085.00400000002,270573.9216999998
399102.SZ,chinext,2015-08-25T00:00:00,53,338,2475782.7172999983,2777281.8766000033,-301499.1592999999,-103886.01009999997,2004.9684000000007,-230899.06079999995,-70600.09849999995,74850.47639999994,226648.68289999996
399102.SZ,chinext,2015-08-24T00:00:00,5,385,2110970.1022,2764411.2754000016,-653441.1731999997,-361205.4006000002,11679.274799999994,-466234.87479999993,-187206.29840000026,219095.69770000002,434345.4755000004
399102.SZ,chinext,2015-08-21T00:00:00,23,366,3021456.033400003,3891202.434600003,-869746.4012,-273401.8723999999,-130687.36860000002,-490981.09840000013,-378765.30280000035,265435.2646,604311.1365999997
399102.SZ,chinext,2015-08-20T00:00:00,96,292,4192715.2456000065,4556183.142200003,-363467.8965999997,-131178.61260000002,-111943.82649999997,-36507.43670000013,-326960.4599000001,45628.59780000002,317839.2988000004
399102.SZ,chinext,2015-08-19T00:00:00,98,288,4340334.971299997,4673160.957800007,-332825.98649999994,-151819.15879999995,92350.8149999999,-149200.53069999997,-183625.45580000005,87968.9441000001,244857.04239999998
399102.SZ,chinext,2015-08-18T00:00:00,28,359,4977321.041900009,5933010.091500001,-955689.0495999987,12868.498000000029,-224900.8847000001,-401052.34240000026,-554636.7072000005,226523.903,729165.1466000002
