index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
000300.SH,csi_300,2018-08-31T00:00:00,86,207,4613797.991699996,5299287.148900001,-685489.1571999993,-438748.8556000002,-93364.71560000004,-366777.7887,-318711.36850000004,250225.67090000006,457970.52360000013
000300.SH,csi_300,2018-08-30T00:00:00,66,227,3449706.3725999994,4164822.1031000004,-715115.7305000004,-157309.6029,-108879.43350000001,-444229.47819999995,-270886.25230000017,131432.67740000016,602983.8764000002
000300.SH,csi_300,2018-08-29T00:00:00,90,203,3588678.9363999977,4094885.4399999944,-506206.5035999997,-207792.49359999996,-27118.008799999992,-265957.3226000001,-240249.18099999992,71205.45749999996,439386.0257000002
000300.SH,csi_300,2018-08-28T00:00:00,101,192,4523528.332,5022538.131199999,-499009.79919999995,-118247.35630000001,-47793.954000000005,-296620.05370000016,-202389.74550000002,155820.11270000009,355980.4791999999
000300.SH,csi_300,2018-08-27T00:00:00,228,65,6588345.01509999,5547906.429099994,1040438.5860000001,112758.85150000006,172767.48709999994,839721.1840000001,200717.40199999983,-448630.27769999974,-612839.5037000004
000300.SH,csi_300,2018-08-24T00:00:00,126,166,3857791.7294999976,3827536.4511000025,30255.27839999997,-198474.3722999998,-14256.846599999988,116021.88960000005,-85766.61119999997,-111098.27179999996,82218.38710000004
000300.SH,csi_300,2018-08-23T00:00:00,125,167,3880830.2583000045,3839387.604200003,41442.65409999994,-111242.4409999999,10284.528199999999,145626.14709999991,-104183.49300000002,-83670.17300000005,45191.202400000046
000300.SH,csi_300,2018-08-22T00:00:00,71,221,3000667.5457,3337373.8070000014,-336706.26129999995,-79237.1986,-26483.9577,-170637.9584,-166068.30289999986,18012.384199999982,326353.10290000006
000300.SH,csi_300,2018-08-21T00:00:00,180,112,5250362.1462999955,4736462.325500001,513899.82080000016,120612.14809999992,30972.717600000025,433115.8240000002,80783.99680000005,-194111.40039999995,-340080.3777000003
000300.SH,csi_300,2018-08-20T00:00:00,117,175,4174021.7763999994,4219982.333799998,-45960.55740000003,-48118.27919999998,122232.89779999998,30484.75269999999,-76445.31009999997,26294.4312,20413.09059999999
000300.SH,csi_300,2018-08-17T00:00:00,71,220,3750069.515699999,4395758.114500003,-645688.5987999999,-94891.99809999997,-135927.7148,-406102.81509999995,-239585.7836999998,106041.15359999995,572646.0283000002
000300.SH,csi_300,2018-08-16T00:00:00,89,201,4184753.6545999967,4405125.605799997,-220371.95120000016,-219060.49260000003,-63941.15490000001,-112119.64169999998,-108252.30949999996,-33439.47399999997,260912.5082000001
000300.SH,csi_300,2018-08-15T00:00:00,27,263,3389396.481599999,4434657.202699999,-1045260.7211,-168161.47949999996,-131204.5394,-609298.6636000001,-435962.05750000017,155503.90269999995,927145.9230000002
000300.SH,csi_300,2018-08-14T00:00:00,75,215,3090611.1605999945,3539804.2832,-449193.1226000002,-197004.0462999999,35566.794100000014,-298463.34430000006,-150729.7783,123780.41979999993,333112.55879999994
