index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
000300.SH,csi_300,2021-06-30T00:00:00,119,180,12866094.208800005,13032135.997799985,-166041.78909999994,-112259.32969999997,59274.69620000005,-31070.902400000105,-134970.88659999988,-179950.58279999983,345992.36979999975
000300.SH,csi_300,2021-06-29T00:00:00,67,232,13530575.0771,15729469.80929999,-2198894.7326999987,-524247.90070000006,-238374.6162,-1497164.9941999998,-701729.738,286155.8413999998,1912738.8919999993
000300.SH,csi_300,2021-06-28T00:00:00,101,198,15228727.4243,16257647.557,-1028920.1326,-337196.0016999999,-46845.040100000006,-678814.8737999998,-350105.25890000025,-27948.04120000007,1056868.1752000002
000300.SH,csi_300,2021-06-25T00:00:00,152,147,17327216.989900015,16730665.505100004,596551.4853000001,-24294.55759999999,-8125.6376999999875,556269.3598000002,40282.12500000015,-278558.6160000001,-317992.86890000006
000300.SH,csi_300,2021-06-24T00:00:00,127,171,14146216.112399999,14736202.368400002,-589986.2572999997,-317724.0342999997,-38064.16000000002,-353844.4851000005,-236141.77090000006,-87762.97329999974,677749.2300000003
000300.SH,csi_300,2021-06-23T00:00:00,127,171,16808728.42910001,16987128.9087,-178400.4804000001,-309645.6849000001,-181280.7165000002,-73358.14440000002,-105042.33519999993,-188760.84440000006,367161.3249000002
000300.SH,csi_300,2021-06-22T00:00:00,122,175,13816022.523799978,14330064.244300006,-514041.71979999996,-222752.14059999996,37937.923599999966,-376228.3873999997,-137813.33309999987,-19555.47689999998,533597.1949
000300.SH,csi_300,2021-06-21T00:00:00,96,201,14635224.877799997,15896604.012799986,-1261379.134499999,-425953.0018,-123705.49430000005,-698986.8817000001,-562392.2533000001,-36993.42939999989,1298372.5638999995
000300.SH,csi_300,2021-06-18T00:00:00,118,179,17087519.72739998,17389060.181800008,-301540.45369999995,-124074.73350000005,-512.6210999999807,-191794.74889999977,-109745.70550000016,-191149.20430000004,492689.65709999984
000300.SH,csi_300,2021-06-17T00:00:00,107,190,12735834.295100005,13118193.028599992,-382358.7339000002,-239688.6966999998,1244.9106000000186,-22039.093300000062,-360319.6402000002,-150237.7265999999,532596.4614000005
000300.SH,csi_300,2021-06-16T00:00:00,81,216,12372622.988699999,14685164.980000013,-2312541.9926,-420241.8529999998,-249904.7278999998,-1537100.8648999985,-775441.1264000006,408432.5656000001,1904109.4276000005
000300.SH,csi_300,2021-06-15T00:00:00,70,229,14127851.358600006,16015971.62630001,-1888120.2678999996,-689826.6748999999,-162305.98120000018,-1151198.7526000002,-736921.5150999998,113605.85020000006,1774514.4172999994
000300.SH,csi_300,2021-06-11T00:00:00,103,196,16561940.051799992,18317732.096799992,-1755792.0447999986,-725546.7902,-87892.22200000002,-1075988.6745999993,-679803.3703999999,38012.41979999981,1717779.6254000016
000300.SH,csi_300,2021-06-10T00:00:00,105,194,13690180.114200003,14117576.590599991,-427396.4774999999,-131263.7551000001,-225347.48700000002,-170659.6235,-256736.85289999988,-233519.07200000004,660915.5484000001
000300.SH,csi_300,2021-06-09T00:00:00,113,187,10971189.642500002,11767978.329499997,-796788.6867000001,-328977.17969999986,-64422.84209999999,-686561.9450999998,-110226.74190000004,-63706.14929999999,860494.8370999995
000300.SH,csi_300,2021-06-08T00:00:00,99,201,13222491.00740001,14805016.316000007,-1582525.3073000002,-150020.9666,-135837.57970000006,-1088573.4610999993,-493951.8474999996,272193.2857,1310332.0214999998
000300.SH,csi_300,2021-06-07T00:00:00,117,183,12088124.61399999,13112490.794400005,-1024366.1791999999,-341093.6079000001,-12592.896300000002,-704506.6573999999,-319859.5229999997,12365.29480000009,1012000.8845999996
000300.SH,csi_300,2021-06-04T00:00:00,112,188,12841393.903699994,13914108.224899992,-1072714.3206999993,-565681.3569,-41603.80909999999,-643659.3367999996,-429054.9844000002,107028.71109999999,965685.6104999995
000300.SH,csi_300,2021-06-03T00:00:00,130,170,12445329.238199979,13517383.66670001,-1072054.4277000001,-215229.48659999997,-338466.4527000003,-608217.3554000001,-463837.0731000002,22381.497399999982,1049672.9309000005
000300.SH,csi_300,2021-06-02T00:00:00,79,221,12268080.8399,14303771.16789998,-2035690.3279999997,-373167.32970000006,-186217.44740000003,-1370067.655200001,-665622.6727999997,197017.4244,1838672.9040000013
000300.SH,csi_300,2021-06-01T00:00:00,114,186,14543427.760700006,15199470.18540001,-656042.4257999994,-208337.82659999988,76176.0685000001,-191021.6157000001,-465020.8089999998,-129618.08940000006,785660.5141999999
000300.SH,csi_300,2021-05-31T00:00:00,90,210,14546742.052500019,15885303.102399994,-1338561.0489999996,-472554.74060000014,-40026.575600000055,-801885.3448000001,-536675.7051000001,79817.16300000015,1258743.8857000016
000300.SH,csi_300,2021-05-28T00:00:00,101,199,15430583.324199993,16901008.725000013,-1470425.398699999,-360811.9494,-112494.98130000001,-905674.7482999999,-564750.6525000002,175719.1835000002,1294706.2161999994
000300.SH,csi_300,2021-05-27T00:00:00,127,173,15455341.67220001,15920555.52880001,-465213.85719999974,-366575.57879999984,36924.485800000024,-408149.7431999999,-57064.113400000046,-74709.66640000002,539923.5249999999
000300.SH,csi_300,2021-05-26T00:00:00,98,202,16823420.028299995,17868078.603199996,-1044658.5756000003,-283259.6897,-179784.82240000003,-714290.2901999999,-330368.28469999996,-55342.02170000001,1100000.5966999999
000300.SH,csi_300,2021-05-25T00:00:00,182,118,21511943.23299998,19900299.8038,1611643.4296000004,-60972.07439999999,243196.0036999998,1419436.6584,192206.7708,-685768.0960000001,-925875.3314000004
000300.SH,csi_300,2021-05-24T00:00:00,128,172,13110001.477999995,14031156.939399993,-921155.4604999999,-355205.2787999998,44798.79080000003,-546475.1444999999,-374680.31689999986,185672.78520000007,735482.6738
000300.SH,csi_300,2021-05-21T00:00:00,83,217,12099501.029399987,13578932.490000006,-1479431.4589999998,-256186.5489999998,-139667.44830000002,-835883.5608000004,-643547.8997999999,112109.93289999996,1367321.5269000002
000300.SH,csi_300,2021-05-20T00:00:00,115,185,12568841.349200001,13739552.51150001,-1170711.1626999998,-378664.2701000001,-191749.99199999988,-641838.9195999994,-528872.2427000003,49279.28969999994,1121431.8721
000300.SH,csi_300,2021-05-19T00:00:00,99,201,11811609.8734,12444376.342700005,-632766.4686999996,-167298.51970000018,-59663.81330000001,-331788.45300000027,-300978.01629999984,-49708.780800000044,682475.2498999999
000300.SH,csi_300,2021-05-18T00:00:00,83,217,10998990.556,11931845.846499994,-932855.2903999998,-368991.1147999998,20525.11090000001,-524772.5613000002,-408082.72920000006,81681.60829999993,851173.6825000005
000300.SH,csi_300,2021-05-17T00:00:00,113,187,16361359.6411,16907249.37010001,-545889.7295000001,-236378.58869999996,-103414.2654,-521240.47849999997,-24649.250499999915,68091.14520000009,477798.58159999986
000300.SH,csi_300,2021-05-14T00:00:00,181,119,16129260.272700002,14743577.120900003,1385683.152499999,-245181.9115999999,205876.62759999992,1279544.5642,106138.58760000006,-509135.47229999996,-876547.6802999998
000300.SH,csi_300,2021-05-13T00:00:00,77,223,10075776.297600001,11784931.526899993,-1709155.228700001,-590370.9546000002,-165645.6921000001,-1170177.3866999988,-538977.8426000002,304123.0752999999,1405032.1533000001
000300.SH,csi_300,2021-05-12T00:00:00,111,188,10484136.601500014,10755265.492400004,-271128.8912,-122990.40309999994,105597.69549999996,62638.58550000011,-333767.4764,-262886.21849999996,534015.1082000004
000300.SH,csi_300,2021-05-11T00:00:00,138,162,12431448.638700001,12984966.5765,-553517.9371999999,-619010.5108000003,47241.9646,-327546.75650000025,-225971.18130000014,-90186.3707000001,643704.3088000001
000300.SH,csi_300,2021-05-10T00:00:00,82,218,12892657.701399997,14016738.891899992,-1124081.1911999995,-356854.5648,-48409.41510000001,-598905.9526000003,-525175.2378999997,152869.28430000006,971211.9064999998
000300.SH,csi_300,2021-05-07T00:00:00,97,203,13912578.690199995,15522844.478100015,-1610265.7878999996,-130631.12849999985,-320461.9130000002,-1198861.1332999994,-411404.6545999999,269725.83560000017,1340539.9521999992
000300.SH,csi_300,2021-05-06T00:00:00,93,207,14426548.499599993,16856393.3587,-2429844.8587999986,-569292.2248999996,-266463.31170000014,-1767025.395600001,-662819.4634999995,733484.2749,1696360.5837999992
