ts_code,effective_date,total_shares,par_value,available_date,source,quality_flag,updated_at
688981.SH,2021-06-30,,,2021-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
688981.SH,2021-09-30,,,2021-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
688981.SH,2021-12-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
688981.SH,2022-03-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
688981.SH,2022-06-30,,,2022-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
688981.SH,2022-09-30,,,2022-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
688981.SH,2023-03-31,,,2023-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
688981.SH,2023-06-30,,,2023-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
689009.SH,2021-12-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
689009.SH,2022-09-30,,,2022-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
