ts_code,effective_date,total_shares,par_value,available_date,source,quality_flag
600629.SH,2021-03-31,533834556,,2021-03-31,wind_total_shares_month_end,
600629.SH,2021-06-30,528523891,,2021-06-30,wind_total_shares_month_end,
600629.SH,2021-07-30,634228669,,2021-07-30,wind_total_shares_month_end,
600629.SH,2021-11-30,634209612,,2021-11-30,wind_total_shares_month_end,
600629.SH,2022-03-31,655941412,,2022-03-31,wind_total_shares_month_end,
600629.SH,2022-04-29,809179745,,2022-04-29,wind_total_shares_month_end,
600629.SH,2022-06-30,809149263,,2022-06-30,wind_total_shares_month_end,
600629.SH,2022-07-29,970979116,,2022-07-29,wind_total_shares_month_end,
600629.SH,2022-12-30,970942828,,2022-12-30,wind_total_shares_month_end,
600629.SH,2023-06-30,970737119,,2023-06-30,wind_total_shares_month_end,
600629.SH,2023-07-31,970556038,,2023-07-31,wind_total_shares_month_end,
600666.SH,2013-05-31,290146298,,2013-05-31,wind_total_shares_month_end,
600666.SH,2015-05-29,740668644,,2015-05-29,wind_total_shares_month_end,
600666.SH,2015-06-30,767078900,,2015-06-30,wind_total_shares_month_end,
600666.SH,2017-05-31,1227326240,,2017-05-31,wind_total_shares_month_end,
600666.SH,2023-02-28,2763512843,,2023-02-28,wind_total_shares_month_end,
600681.SH,2013-05-31,251477550,,2013-05-31,wind_total_shares_month_end,
600681.SH,2016-03-31,964157472,,2016-03-31,wind_total_shares_month_end,
600681.SH,2017-11-30,1031513793,,2017-11-30,wind_total_shares_month_end,
600681.SH,2019-04-30,1442740310,,2019-04-30,wind_total_shares_month_end,
600681.SH,2021-05-31,1363010801,,2021-05-31,wind_total_shares_month_end,
600681.SH,2023-05-31,1340854810,,2023-05-31,wind_total_shares_month_end,
600862.SH,2013-05-31,637928488,,2013-05-31,wind_total_shares_month_end,
600862.SH,2015-12-31,1393049107,,2015-12-31,wind_total_shares_month_end,
600938.SH,2022-10-31,47592626984,,2022-10-31,wind_total_shares_month_end,
600938.SH,2022-11-30,47566763984,,2022-11-30,wind_total_shares_month_end,
600941.SH,2022-07-29,21362826764,,2022-07-29,wind_total_shares_month_end,
600941.SH,2023-01-31,21363162764,,2023-01-31,wind_total_shares_month_end,
600941.SH,2023-02-28,21363899424,,2023-02-28,wind_total_shares_month_end,
600941.SH,2023-03-31,21367767064,,2023-03-31,wind_total_shares_month_end,
600941.SH,2023-05-31,21372891480,,2023-05-31,wind_total_shares_month_end,
600941.SH,2023-06-30,21374420790,,2023-06-30,wind_total_shares_month_end,
600941.SH,2023-07-31,21376885911,,2023-07-31,wind_total_shares_month_end,
600941.SH,2023-08-31,21383633148,,2023-08-31,wind_total_shares_month_end,
600941.SH,2023-10-31,21388552312,,2023-10-31,wind_total_shares_month_end,
600941.SH,2023-11-30,21389195242,,2023-11-30,wind_total_shares_month_end,
601360.SH,2013-05-31,416340000,,2013-05-31,wind_total_shares_month_end,
601360.SH,2014-02-28,400456571,,2014-02-28,wind_total_shares_month_end,
601360.SH,2015-07-31,400406571,,2015-07-31,wind_total_shares_month_end,
601360.SH,2016-01-29,397187443,,2016-01-29,wind_total_shares_month_end,
601360.SH,2016-04-29,397182443,,2016-04-29,wind_total_shares_month_end,
601865.SH,2019-08-30,1950000000,,2019-08-30,wind_total_shares_month_end,
601865.SH,2020-08-31,1954600000,,2020-08-31,wind_total_shares_month_end,
601865.SH,2020-12-31,2041248788,,2020-12-31,wind_total_shares_month_end,
601865.SH,2021-01-29,2146193254,,2021-01-29,wind_total_shares_month_end,
601865.SH,2021-07-30,2146893254,,2021-07-30,wind_total_shares_month_end,
601865.SH,2022-11-30,2146893587,,2022-11-30,wind_total_shares_month_end,
601865.SH,2023-01-31,2146894078,,2023-01-31,wind_total_shares_month_end,
601865.SH,2023-02-28,2146894145,,2023-02-28,wind_total_shares_month_end,
601865.SH,2023-03-31,2146894167,,2023-03-31,wind_total_shares_month_end,
601865.SH,2023-04-28,2146894189,,2023-04-28,wind_total_shares_month_end,
601865.SH,2023-05-31,2146894439,,2023-05-31,wind_total_shares_month_end,
601865.SH,2023-06-30,2146894461,,2023-06-30,wind_total_shares_month_end,
601865.SH,2023-08-31,2351323762,,2023-08-31,wind_total_shares_month_end,
603507.SH,2018-05-31,125631400,,2018-05-31,wind_total_shares_month_end,
603507.SH,2018-07-31,128081400,,2018-07-31,wind_total_shares_month_end,
603507.SH,2019-11-29,128071400,,2019-11-29,wind_total_shares_month_end,
603507.SH,2020-11-30,126836400,,2020-11-30,wind_total_shares_month_end,
603507.SH,2021-08-31,125631400,,2021-08-31,wind_total_shares_month_end,
603507.SH,2022-08-31,125581400,,2022-08-31,wind_total_shares_month_end,
603507.SH,2022-09-30,142625500,,2022-09-30,wind_total_shares_month_end,
603507.SH,2023-07-31,142030934,,2023-07-31,wind_total_shares_month_end,
603535.SH,2018-02-28,150400000,,2018-02-28,wind_total_shares_month_end,
603535.SH,2021-09-30,160860576,,2021-09-30,wind_total_shares_month_end,
603535.SH,2022-07-29,233247835,,2022-07-29,wind_total_shares_month_end,
603535.SH,2023-03-31,233248267,,2023-03-31,wind_total_shares_month_end,
603535.SH,2023-06-30,233248396,,2023-06-30,wind_total_shares_month_end,
603993.SH,2013-05-31,5076170525,,2013-05-31,wind_total_shares_month_end,
603993.SH,2015-06-30,5144727717,,2015-06-30,wind_total_shares_month_end,
603993.SH,2015-07-31,5629066233,,2015-07-31,wind_total_shares_month_end,
603993.SH,2015-11-30,16887198699,,2015-11-30,wind_total_shares_month_end,
603993.SH,2017-07-31,21599240583,,2017-07-31,wind_total_shares_month_end,
688235.SH,2022-06-30,1350248086,,2022-06-30,wind_total_shares_month_end,
688235.SH,2022-07-29,1350260839,,2022-07-29,wind_total_shares_month_end,
688235.SH,2022-08-31,1350903442,,2022-08-31,wind_total_shares_month_end,
688235.SH,2022-09-30,1352641646,,2022-09-30,wind_total_shares_month_end,
688235.SH,2022-10-31,1349640180,,2022-10-31,wind_total_shares_month_end,
688235.SH,2022-11-30,1350993623,,2022-11-30,wind_total_shares_month_end,
688235.SH,2023-01-31,1354551710,,2023-01-31,wind_total_shares_month_end,
688235.SH,2023-02-28,1357628329,,2023-02-28,wind_total_shares_month_end,
688235.SH,2023-03-31,1360450421,,2023-03-31,wind_total_shares_month_end,
688235.SH,2023-04-28,1362652101,,2023-04-28,wind_total_shares_month_end,
688235.SH,2023-05-31,1364717749,,2023-05-31,wind_total_shares_month_end,
688235.SH,2023-06-30,1376031220,,2023-06-30,wind_total_shares_month_end,
688235.SH,2023-07-31,1376270056,,2023-07-31,wind_total_shares_month_end,
688235.SH,2023-09-28,1377064200,,2023-09-28,wind_total_shares_month_end,
688235.SH,2023-10-31,1382770732,,2023-10-31,wind_total_shares_month_end,
688235.SH,2023-11-30,1359497624,,2023-11-30,wind_total_shares_month_end,
688396.SH,2020-08-31,1215925195,,2020-08-31,wind_total_shares_month_end,
688396.SH,2021-04-30,1320091861,,2021-04-30,wind_total_shares_month_end,
688428.SH,2023-03-31,1764321452,,2023-03-31,wind_total_shares_month_end,
688428.SH,2023-11-30,1763310452,,2023-11-30,wind_total_shares_month_end,
688428.SH,2023-12-29,1763130452,,2023-12-29,wind_total_shares_month_end,
688525.SH,2023-06-30,430329136,,2023-06-30,wind_total_shares_month_end,
688728.SH,2022-02-28,2498887173,,2022-02-28,wind_total_shares_month_end,
688728.SH,2023-07-31,2598791667,,2023-07-31,wind_total_shares_month_end,
688728.SH,2023-11-30,2600586667,,2023-11-30,wind_total_shares_month_end,
688981.SH,2021-01-29,7895190473,,2021-01-29,wind_total_shares_month_end,
688981.SH,2021-02-26,7896350532,,2021-02-26,wind_total_shares_month_end,
688981.SH,2021-03-31,7899199076,,2021-03-31,wind_total_shares_month_end,
688981.SH,2021-04-30,7900011638,,2021-04-30,wind_total_shares_month_end,
688981.SH,2021-05-31,7900578250,,2021-05-31,wind_total_shares_month_end,
688981.SH,2021-06-30,7901110626,,2021-06-30,wind_total_shares_month_end,
688981.SH,2021-07-30,7901707937,,2021-07-30,wind_total_shares_month_end,
688981.SH,2021-08-31,7902869220,,2021-08-31,wind_total_shares_month_end,
688981.SH,2021-09-30,7903435792,,2021-09-30,wind_total_shares_month_end,
688981.SH,2021-10-29,7903528104,,2021-10-29,wind_total_shares_month_end,
688981.SH,2021-11-30,7903730355,,2021-11-30,wind_total_shares_month_end,
688981.SH,2021-12-31,7903856555,,2021-12-31,wind_total_shares_month_end,
688981.SH,2022-01-28,7903927811,,2022-01-28,wind_total_shares_month_end,
688981.SH,2022-02-28,7904051314,,2022-02-28,wind_total_shares_month_end,
688981.SH,2022-03-31,7906564118,,2022-03-31,wind_total_shares_month_end,
688981.SH,2022-04-29,7908404286,,2022-04-29,wind_total_shares_month_end,
688981.SH,2022-05-31,7910002828,,2022-05-31,wind_total_shares_month_end,
688981.SH,2022-06-30,7901936207,,2022-06-30,wind_total_shares_month_end,
688981.SH,2022-07-29,7901999727,,2022-07-29,wind_total_shares_month_end,
688981.SH,2022-08-31,7902058677,,2022-08-31,wind_total_shares_month_end,
688981.SH,2022-09-30,7921398667,,2022-09-30,wind_total_shares_month_end,
688981.SH,2022-10-31,7911130327,,2022-10-31,wind_total_shares_month_end,
688981.SH,2022-11-30,7912544864,,2022-11-30,wind_total_shares_month_end,
688981.SH,2022-12-30,7912664696,,2022-12-30,wind_total_shares_month_end,
688981.SH,2023-01-31,7912874006,,2023-01-31,wind_total_shares_month_end,
688981.SH,2023-02-28,7913210823,,2023-02-28,wind_total_shares_month_end,
688981.SH,2023-03-31,7918297542,,2023-03-31,wind_total_shares_month_end,
688981.SH,2023-04-28,7923861324,,2023-04-28,wind_total_shares_month_end,
688981.SH,2023-05-31,7925101274,,2023-05-31,wind_total_shares_month_end,
688981.SH,2023-06-30,7925936550,,2023-06-30,wind_total_shares_month_end,
688981.SH,2023-07-31,7926079000,,2023-07-31,wind_total_shares_month_end,
688981.SH,2023-08-31,7943157943,,2023-08-31,wind_total_shares_month_end,
688981.SH,2023-09-28,7945498567,,2023-09-28,wind_total_shares_month_end,
688981.SH,2023-10-31,7945885729,,2023-10-31,wind_total_shares_month_end,
688981.SH,2023-11-30,7946542350,,2023-11-30,wind_total_shares_month_end,
688981.SH,2023-12-29,7946555760,,2023-12-29,wind_total_shares_month_end,
689009.SH,2021-04-30,704091670,,2021-04-30,wind_total_shares_month_end,
689009.SH,2021-07-30,704688420,,2021-07-30,wind_total_shares_month_end,
689009.SH,2021-12-31,707887210,,2021-12-31,wind_total_shares_month_end,
689009.SH,2022-05-31,711504310,,2022-05-31,wind_total_shares_month_end,
689009.SH,2022-09-30,712983140,,2022-09-30,wind_total_shares_month_end,
689009.SH,2023-01-31,714443650,,2023-01-31,wind_total_shares_month_end,
689009.SH,2023-05-31,716448580,,2023-05-31,wind_total_shares_month_end,
689009.SH,2023-09-28,717379043,,2023-09-28,wind_total_shares_month_end,
689009.SH,2023-10-31,720704881,,2023-10-31,wind_total_shares_month_end,
689009.SH,2023-12-29,720985381,,2023-12-29,wind_total_shares_month_end,
