ts_code,effective_date,planned_action,reason,total_shares,available_date,source,old_total_shares,old_par_value,old_available_date,old_source,old_quality_flag,old_updated_at
002600.SZ,2023-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,7008177819,2023-06-30,wind_total_shares_month_end,,,2023-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002607.SZ,2013-05-31,INSERT,no canonical row for this key,176000000,2013-05-31,wind_total_shares_month_end,,,,,,
002607.SZ,2013-06-28,INSERT,no canonical row for this key,228800000,2013-06-28,wind_total_shares_month_end,,,,,,
002607.SZ,2014-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,274560000,2014-06-30,wind_total_shares_month_end,,,2014-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002607.SZ,2015-05-29,INSERT,no canonical row for this key,356928000,2015-05-29,wind_total_shares_month_end,,,,,,
002607.SZ,2016-04-29,INSERT,no canonical row for this key,455742200,2016-04-29,wind_total_shares_month_end,,,,,,
002607.SZ,2017-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,820335960,2017-06-30,wind_total_shares_month_end,,,2017-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002607.SZ,2019-01-31,INSERT,no canonical row for this key,6167399389,2019-01-31,wind_total_shares_month_end,,,,,,
002694.SZ,2013-05-31,INSERT,no canonical row for this key,172800000,2013-05-31,wind_total_shares_month_end,,,,,,
002694.SZ,2014-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,345600000,2014-06-30,wind_total_shares_month_end,,,2014-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002694.SZ,2017-02-28,INSERT,no canonical row for this key,373248000,2017-02-28,wind_total_shares_month_end,,,,,,
002694.SZ,2017-05-31,INSERT,no canonical row for this key,597196800,2017-05-31,wind_total_shares_month_end,,,,,,
002694.SZ,2023-10-31,INSERT,no canonical row for this key,763084800,2023-10-31,wind_total_shares_month_end,,,,,,
300442.SZ,2015-10-30,INSERT,no canonical row for this key,100000000,2015-10-30,wind_total_shares_month_end,,,,,,
300442.SZ,2022-07-29,INSERT,no canonical row for this key,820420678,2022-07-29,wind_total_shares_month_end,,,,,,
300442.SZ,2023-02-28,INSERT,no canonical row for this key,953867583,2023-02-28,wind_total_shares_month_end,,,,,,
300442.SZ,2023-05-31,INSERT,no canonical row for this key,1716961649,2023-05-31,wind_total_shares_month_end,,,,,,
