,growth,value
2023-06-13,0.005337760878016019,0.0007329540550969929
2023-06-14,0.0006944434548750207,0.0009489211553043847
2023-06-15,0.01562935412378957,0.004069750362365664
2023-06-16,0.006979889278760474,0.005183281022518924
2023-06-19,0.0031986545443339577,-0.004997761280706209
2023-06-20,0.0026326539791380606,-0.006365687303813742
2023-06-21,-0.020965315030266374,-0.013363907604949453
2023-06-26,-0.015609614509711864,-0.013847432980764632
2023-06-27,0.013120631293733353,0.01798631141574038
2023-06-28,-0.0028502871513299915,-0.0024669379012183332
2023-06-29,0.009874609694339561,-6.662211918447571e-05
2023-06-30,0.01636033703816793,0.012203866199110493
2023-07-03,0.004955578613654218,0.007905691562161738
2023-07-04,0.007461670061554649,-0.0007311447403653365
2023-07-05,-0.010421671425323716,-0.003295989103278694
2023-07-06,-0.004443008490349593,-0.0014573961090176594
2023-07-07,-0.01188003040409451,-0.00014164397230351632
2023-07-10,0.0034724017913259067,0.002287106953174195
2023-07-11,0.010524194249954573,0.0050565380819404095
2023-07-12,-0.012413431310940103,-0.009595507136543906
2023-07-13,0.00927777505798989,0.00756659553133419
2023-07-14,-0.006514121898965851,-0.0009781159488256644
2023-07-17,-0.006869597210651495,-0.0022274888280512327
2023-07-18,0.00010517807404860956,0.002662867147614051
2023-07-19,-0.008523730985742271,0.002847449341549901
2023-07-20,-0.010843409057369732,-0.007978479424436148
2023-07-21,-0.003500138837418553,0.004772004875833716
2023-07-24,-0.004976585298689338,-0.0009088544165267601
2023-07-25,0.013376842313341209,0.01908273406665246
2023-07-26,-0.005964814674729214,0.0028698563044332933
2023-07-27,-0.008930910125156573,-0.00672365373216333
2023-07-28,0.005618132614242537,0.014138638060678806
2023-07-31,0.010062465156858219,0.012364785037761648
2023-08-01,-0.0026077199870790154,-0.0020134320294088507
2023-08-02,-0.001380762011477258,-0.0024122256314867284
2023-08-03,0.0010754318617376218,0.002733218342721509
2023-08-04,0.0011916572382653916,-0.0009109104823004541
2023-08-07,-0.005565848625291257,-0.010181128139697798
2023-08-08,-0.005749464309687222,-0.004594589190251058
2023-08-09,-0.005732145123058154,-0.0055919198116215025
2023-08-10,-3.715651530004883e-05,0.0024966894334676674
2023-08-11,-0.019881046524358514,-0.01666723208913528
2023-08-14,-0.002433553070606065,-0.0014897296055609761
2023-08-15,-0.012489131593584998,-0.003623876766657728
2023-08-16,-0.013961240269492501,-0.00460039756803367
2023-08-17,0.011836289805749207,0.004807999916181398
2023-08-18,-0.01902694615300408,-0.018816802127802106
2023-08-21,-0.010465672837911373,-0.010455707031464166
2023-08-22,0.0025469023359174026,0.0025195259749308044
