signal,kou_jing,window,seg,ann,sharpe,maxdd,calmar,turnover,hit,n_obs,pvalue
incumbent_citic20z40_lf,500,full,full,0.2027736237269714,1.258141981041334,-0.23623290533571728,0.8583631625696008,22.197986577181208,0.5215231788079471,3278,0.00998003992015968
incumbent_citic20z40_lf,500,full,long,0.2027736237269714,1.258141981041334,-0.23623290533571728,0.8583631625696008,22.197986577181208,0.5215231788079471,3278,0.00998003992015968
incumbent_citic20z40_lf,500,full,short,0.0,0.0,0.0,,0.0,,3278,1.0
incumbent_citic20z40_lf,500,2014-2020,full,0.2294916466444722,1.3262101659814989,-0.2362329053357175,0.9714635068232128,23.394844756883423,0.5209643605870021,1707,0.11377245508982035
incumbent_citic20z40_lf,500,2014-2020,long,0.2294916466444722,1.3262101659814989,-0.2362329053357175,0.9714635068232128,23.394844756883423,0.5209643605870021,1707,0.11377245508982035
incumbent_citic20z40_lf,500,2014-2020,short,0.0,0.0,0.0,,0.0,,1707,1.0
incumbent_citic20z40_lf,500,2021-2023,full,0.0670531715963857,0.5665365281605372,-0.13557980992303031,0.49456605400503434,21.23108665749656,0.5135802469135803,727,0.09780439121756487
incumbent_citic20z40_lf,500,2021-2023,long,0.0670531715963857,0.5665365281605372,-0.13557980992303031,0.49456605400503434,21.23108665749656,0.5135802469135803,727,0.09780439121756487
incumbent_citic20z40_lf,500,2021-2023,short,0.0,0.0,0.0,,0.0,,727,1.0
incumbent_citic20z40_lf,500,2024-2026,full,0.2878870843631412,1.6366349871340837,-0.12933287863332776,2.2259388904451063,19.751937984496124,0.52,645,0.031936127744510975
incumbent_citic20z40_lf,500,2024-2026,long,0.2878870843631412,1.6366349871340837,-0.12933287863332776,2.2259388904451063,19.751937984496124,0.52,645,0.031936127744510975
incumbent_citic20z40_lf,500,2024-2026,short,0.0,0.0,0.0,,0.0,,645,1.0
incumbent_citic20z40_lf,1000,full,full,0.16827145443393574,0.9593991284646104,-0.306585626532898,0.5488563059425732,22.197986577181208,0.5270419426048565,3278,0.00998003992015968
incumbent_citic20z40_lf,1000,full,long,0.16827145443393574,0.9593991284646104,-0.306585626532898,0.5488563059425732,22.197986577181208,0.5270419426048565,3278,0.00998003992015968
incumbent_citic20z40_lf,1000,full,short,0.0,0.0,0.0,,0.0,,3278,1.0
incumbent_citic20z40_lf,1000,2014-2020,full,0.15537868536533503,0.8405955256050411,-0.3065856265328972,0.5068035547604597,23.394844756883423,0.510482180293501,1707,0.05788423153692615
incumbent_citic20z40_lf,1000,2014-2020,long,0.15537868536533503,0.8405955256050411,-0.3065856265328972,0.5068035547604597,23.394844756883423,0.510482180293501,1707,0.05788423153692615
incumbent_citic20z40_lf,1000,2014-2020,short,0.0,0.0,0.0,,0.0,,1707,1.0
