date,ret,pos_eff,gross,cost,carry
2021-01-06,-0.006398380029505508,1.0,-0.006945358152882386,0.0,0.0005469781233768782
2021-01-07,-0.007122923130779,1.0,-0.007295475368628901,0.0,0.00017255223784990077
2021-01-08,-0.0007539715022027553,1.0,-0.0008675062218455598,0.0,0.0001135347196428045
2021-01-11,-0.015861245646708662,1.0,-0.016098915395143354,0.0,0.00023766974843469047
2021-01-12,0.013949359652973984,1.0,0.013657459369300962,0.0,0.0002919002836730221
2021-01-13,-0.007175244388214694,1.0,-0.007430858023579179,0.0,0.00025561363536448484
2021-01-14,-0.004716832533199646,1.0,-0.0049118175981845424,0.0,0.00019498506498489662
2021-01-15,0.00015349650808723327,1.0,-7.55191914038611e-05,0.0,0.00022901569949109436
2021-01-18,0.01728779112700701,1.0,0.01702353090485831,0.0,0.0002642602221487012
2021-01-19,-0.005538077284751393,1.0,-0.005781707505846889,0.0,0.00024363022109549586
2021-01-20,0.00913503881554092,1.0,0.00889604039525671,0.0,0.00023899842028420894
2021-01-21,0.012419095225517082,1.0,0.012182500770100968,0.0,0.0002365944554161151
2021-01-22,-0.0002923583499355828,1.0,-0.0005633011716010827,0.0,0.00027094282166549994
2021-01-25,-0.003918638869876125,1.0,-0.004242893654016366,0.0,0.00032425478414024205
2021-01-26,-0.017453051153401043,1.0,-0.017704690007671886,0.0,0.00025163885427084486
2021-01-27,0.0024534910729693514,1.0,0.002131932528235514,0.0,0.00032155854473383746
2021-01-28,-0.0213003552370601,1.0,-0.021489369935005387,0.0,0.00018901469794528475
2021-01-29,-0.012520525236427826,1.0,-0.012743153536844576,0.0,0.00022262830041674874
2021-02-01,0.007274679893268905,1.0,0.007021193891663224,0.0,0.000253486001605681
2021-02-02,0.010750383430235395,1.0,0.01045550378728577,0.0,0.0002948796429496251
2021-02-03,-0.0003,0.0,-0.0,0.0003,0.0
2021-02-04,0.0,0.0,-0.0,0.0,0.0
2021-02-05,0.0,0.0,-0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0
2021-02-09,0.0,0.0,0.0,0.0,0.0
2021-02-10,0.0,0.0,0.0,0.0,0.0
2021-02-18,0.0,0.0,0.0,0.0,0.0
2021-02-19,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,-0.0,0.0,0.0
2021-02-23,0.0,0.0,-0.0,0.0,0.0
2021-02-24,0.0,0.0,-0.0,0.0,0.0
2021-02-25,0.0,0.0,-0.0,0.0,0.0
2021-02-26,0.0,0.0,-0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0
2021-03-02,0.0,0.0,-0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0,0.0,0.0
2021-03-04,0.0,0.0,-0.0,0.0,0.0
2021-03-05,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,-0.0,0.0,0.0
2021-03-09,-0.0,0.0,-0.0,0.0,-0.0
2021-03-10,0.0,0.0,-0.0,0.0,0.0
2021-03-11,0.0,0.0,0.0,0.0,0.0
2021-03-12,0.0,0.0,0.0,0.0,0.0
2021-03-15,-0.0,0.0,-0.0,0.0,-0.0
2021-03-16,0.0,0.0,0.0,0.0,0.0
2021-03-17,0.0,0.0,0.0,0.0,0.0
2021-03-18,0.0,0.0,0.0,0.0,0.0
2021-03-19,0.0,0.0,-0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0
2021-03-23,0.0,0.0,-0.0,0.0,0.0
2021-03-24,0.0,0.0,-0.0,0.0,0.0
2021-03-25,0.0,0.0,0.0,0.0,0.0
2021-03-26,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0
2021-03-30,0.0,0.0,0.0,0.0,0.0
2021-03-31,-0.002921923922592941,1.0,-0.0027430362374119,0.0003,0.00012111231481895857
2021-04-01,0.008135721390875171,1.0,0.007973134911702262,0.0,0.00016258647917290884
2021-04-02,0.003446910606718386,1.0,0.003192877834859442,0.0,0.00025403277185894385
2021-04-06,0.006536849797948506,1.0,0.006037798046958809,0.0,0.0004990517509896969
2021-04-07,0.0007702992545447687,1.0,0.0004918131778225421,0.0,0.00027848607672222665
2021-04-08,-0.0005091189700539862,1.0,-0.0007671715669476109,0.0,0.00025805259689362474
2021-04-09,-0.0018018121319839256,1.0,-0.0020518198057640213,0.0,0.0002500076737800957
2021-04-12,-0.019014273710740073,1.0,-0.019223935415761007,0.0,0.00020966170502093482
2021-04-13,-0.003719814900581535,1.0,-0.003911344206124878,0.0,0.0001915293055433434
2021-04-14,0.01280618246466974,1.0,0.012565176859294369,0.0,0.00024100560537537076
2021-04-15,-0.0017156372327240552,1.0,-0.0019156538243934595,0.0,0.00020001659166940435
2021-04-16,0.010917860251910848,1.0,0.010765315097698402,0.0,0.00015254515421244514
2021-04-19,0.015481455216730125,1.0,0.015278069416517215,0.0,0.00020338580021290938
2021-04-20,-0.001085812997802156,1.0,-0.0012699166454852029,0.0,0.0001841036476830468
2021-04-21,-0.0004402285164371526,1.0,-0.0006375851149678646,0.0,0.000197356598530712
2021-04-22,0.004313993273525887,1.0,0.004092048109946234,0.0,0.00022194516357965333
2021-04-23,-0.0009485225718081499,1.0,-0.001118851907527807,0.0,0.00017032933571965698
2021-04-26,-0.0030910401819764888,1.0,-0.0032770030052403643,0.0,0.0001859628232638756
2021-04-27,-0.001859403463056332,1.0,-0.002064473432417835,0.0,0.00020506996936150304
2021-04-28,0.006414136960410279,1.0,0.0062099079496535925,0.0,0.00020422901075668626
2021-04-29,-0.0021312547931620052,1.0,-0.0023284463373090536,0.0,0.0001971915441470483
2021-04-30,-0.002111346911591805,1.0,-0.002271923218484184,0.0,0.0001605763068923789
2021-05-06,0.0018155089434012295,1.0,0.0015577743215543505,0.0,0.000257734621846879
2021-05-07,-0.009403258382134485,1.0,-0.009569602484279793,0.0,0.00016634410214530894
2021-05-10,0.004139689772858302,1.0,0.003897271801594715,0.0,0.00024241797126358657
2021-05-11,-0.0003,0.0,-0.0,0.0003,0.0
2021-05-12,0.0,0.0,0.0,0.0,0.0
2021-05-13,0.0,0.0,-0.0,0.0,0.0
2021-05-14,0.013418054220812211,1.0,0.013598025537270408,0.0003,0.00012002868354180223
2021-05-17,0.0038063452676400412,1.0,0.0036076819717809627,0.0,0.00019866329585907855
2021-05-18,0.0041073337651697855,1.0,0.003918736774401355,0.0,0.00018859699076843116
2021-05-19,-0.0008414645961917461,1.0,-0.0009884854334438753,0.0,0.00014702083725212918
2021-05-20,-0.0030832353564316964,1.0,-0.0031801601830968584,0.0,9.692482666516228e-05
2021-05-21,-0.0016484397171345237,1.0,-0.001781557790119015,0.0,0.0001331180729844913
2021-05-24,0.005813016390091911,1.0,0.005680422468091528,0.0,0.00013259392200038223
2021-05-25,0.011870397491244881,1.0,0.01172659286918154,0.0,0.00014380462206334052
2021-05-26,0.0029731842318174166,1.0,0.002839270073876965,0.0,0.00013391415794045187
2021-05-27,-0.0003,0.0,0.0,0.0003,0.0
2021-05-28,0.0,0.0,-0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0
