mapping,name,window,n,ann,cagr,sharpe,maxdd,vol,es05,worst_day
longflat,incumbent,full,2776,0.2553012556515014,0.27286514861349803,1.5297912780410061,-0.166666862423816,0.16688633234883568,-0.025236069595895364,-0.08674252635367892
longflat,incumbent,dual_listed,1005,0.23979872548722947,0.2545351719492914,1.4834617531048198,-0.16666686242381612,0.16164806742428064,-0.022672286450769987,-0.07241760384229837
longflat,incumbent,2015-2020,1395,0.29224204575071405,0.3178804251653785,1.6330398502815768,-0.13481886664570852,0.17895585689493387,-0.0278263953940611,-0.08674252635367892
longflat,incumbent,2021-2023,727,0.1244196798254844,0.12462050854667028,1.0568430670483435,-0.131244894320256,0.11772767755668403,-0.019578003492717776,-0.052155925327021
longflat,incumbent,2024-2026,654,0.3219962150354657,0.3563328077587684,1.734249325345698,-0.16666686242381534,0.1856689291035361,-0.02538376455687589,-0.07241760384229837
longflat,raw,full,2776,0.21773005230244882,0.22484147306701113,1.2635148304721449,-0.221704994786741,0.17232093130326645,-0.026403132717619175,-0.08674252635367892
longflat,raw,dual_listed,1005,0.19925272040119005,0.20444009034828434,1.221743690439204,-0.18086322298582036,0.1630888065642973,-0.023309930232441562,-0.07241760384229837
longflat,raw,2015-2020,1395,0.2495961055271299,0.260748175679727,1.3253018850778115,-0.221704994786741,0.18833151022981875,-0.029604861231264292,-0.08674252635367892
longflat,raw,2021-2023,727,0.1274910956451436,0.1281478799114283,1.087799776275894,-0.1317713952904459,0.11720088423037937,-0.019693948389116648,-0.052155925327021
longflat,raw,2024-2026,654,0.25007038447589036,0.2618679833245894,1.3338057496598281,-0.1808632229858207,0.1874863596439496,-0.02613012496844049,-0.07241760384229837
longflat,DEMA5,full,2776,0.22150125710332927,0.22907108683325964,1.2728230017915747,-0.2680712563743721,0.17402361270306477,-0.026926866938031084,-0.08674252635367892
longflat,DEMA5,dual_listed,1005,0.22335412979386543,0.23376660638284308,1.3680535877273214,-0.17355562845671046,0.16326416727937715,-0.02307592945939511,-0.07241760384229837
longflat,DEMA5,2015-2020,1395,0.23302070192284674,0.23931046000527512,1.218991882009447,-0.2680712563743721,0.19115853465629634,-0.030772570363784352,-0.08674252635367892
longflat,DEMA5,2021-2023,727,0.14670415653977278,0.14983638121225004,1.2371512469446813,-0.13177139529044601,0.11858223228734506,-0.01960728907615685,-0.052155925327021
longflat,DEMA5,2024-2026,654,0.2800759766545199,0.30035769577549787,1.4967615764756184,-0.1735556284567108,0.18712130312297753,-0.026004914027161992,-0.07241760384229837
longflat,DEMA7,full,2776,0.22637738900402346,0.2354608058456695,1.3142600663809167,-0.2334412658924524,0.1722470268973475,-0.02664237487563335,-0.08674252635367892
longflat,DEMA7,dual_listed,1005,0.23355681011814025,0.24637868987035544,1.429317188910952,-0.16109441085251375,0.16340446468435432,-0.02311871039307367,-0.07241760384229837
