date,axis,band,long_ret,short_ret
2015-06-16,dividend,1000,-0.04381390434830136,-0.03695626890306431
2015-06-17,dividend,1000,0.022123194618883204,0.020994461167575
2015-06-18,dividend,1000,-0.03061442640964465,-0.029488950647253112
2015-06-19,dividend,1000,-0.07419296253911427,-0.07059482373548293
2015-06-23,dividend,1000,0.0024946376731733266,-0.005185506962472815
2015-06-24,dividend,1000,0.0257139469051826,0.025254004632032964
2015-06-25,dividend,1000,-0.04054391190280126,-0.03738380460397133
2015-06-26,dividend,1000,-0.08541363959886442,-0.07934241081743075
2015-06-29,dividend,1000,-0.06859160766783923,-0.06981331283558925
2015-06-30,dividend,1000,0.05211499066283698,0.0388246706289274
2015-07-01,dividend,1000,-0.06050298380307898,-0.05936143587875351
2015-07-02,dividend,1000,-0.06983941934723331,-0.07441801136859313
2015-07-03,dividend,1000,-0.06721943121836431,-0.07123309145214925
2015-07-06,dividend,1000,-0.03285965063651073,-0.059293548659247526
2015-07-07,dividend,1000,-0.07175135467137148,-0.05980566288585729
2015-07-08,dividend,1000,-0.039707281957624484,-0.030109394020426537
2015-07-09,dividend,1000,0.050246371204879445,0.03181717887176543
2015-07-10,dividend,1000,0.05342096566621393,0.03602176374857988
2015-07-13,dividend,1000,0.06681760218221165,0.04662407634842061
2015-07-14,dividend,1000,0.0254240489033106,0.03148706711139925
2015-07-15,dividend,1000,-0.05988382748029996,-0.043957784047620636
2015-07-16,dividend,1000,0.019910315197100976,0.010300535226094443
2015-07-17,dividend,1000,0.05883657544328658,0.05278821277374948
2015-07-20,dividend,1000,0.01690916780138636,0.027492310326267366
2015-07-21,dividend,1000,0.015033813528695313,0.02261944392540875
2015-07-22,dividend,1000,0.013403328057229116,0.020751599823915178
2015-07-23,dividend,1000,0.03309687027664441,0.031120305479230795
2015-07-24,dividend,1000,-0.018534870283506852,-0.007247702224437233
2015-07-27,dividend,1000,-0.07863713035505389,-0.06704620136611392
2015-07-28,dividend,1000,-0.027743223246617165,-0.040360678784385484
2015-07-29,dividend,1000,0.05166568540258236,0.0478443005507681
2015-07-30,dividend,1000,-0.02684164159919641,-0.020218800502580247
2015-07-31,dividend,1000,-0.012434015070396902,-0.02184727060373836
2015-08-03,dividend,1000,-0.03248242532402346,-0.046879057973257074
2015-08-04,dividend,1000,0.06049399146172647,0.057676158216480714
2015-08-05,dividend,1000,-0.006657644030934106,-0.004296711131955958
2015-08-06,dividend,1000,-0.0038314798973030574,0.0017045507935245653
2015-08-07,dividend,1000,0.03344121227127354,0.035238328832078405
2015-08-10,dividend,1000,0.04979583719321498,0.04948369242431409
2015-08-11,dividend,1000,0.01016814194541638,0.010055765767658594
2015-08-12,dividend,1000,-0.010735729937722,-0.009959453642286066
2015-08-13,dividend,1000,0.02726846738876178,0.02989525100457284
2015-08-14,dividend,1000,0.008828556952875316,0.008761121316156016
2015-08-17,dividend,1000,0.024687744802255853,0.023373452593126086
2015-08-18,dividend,1000,-0.07821185511729548,-0.06776662157606361
2015-08-19,dividend,1000,0.027764019169691744,0.023521894366833346
2015-08-20,dividend,1000,-0.03537394409934224,-0.03455152245099737
2015-08-21,dividend,1000,-0.06133539600396532,-0.05628637421292841
2015-08-24,dividend,1000,-0.08447699845982581,-0.07552171621511304
2015-08-25,dividend,1000,-0.08147620501632738,-0.07277071891231954
2015-08-26,dividend,1000,-0.03204613034037305,-0.04961618356735998
2015-08-27,dividend,1000,0.04300961559117021,0.024795509406786962
2015-08-28,dividend,1000,0.06459500896529172,0.06334199667625404
2015-08-31,dividend,1000,-0.04118813820110989,-0.03313744970978519
2015-09-01,dividend,1000,-0.06778358324803851,-0.06278616057563507
2015-09-02,dividend,1000,-0.021489221908837397,-0.04555438501878664
2015-09-07,dividend,1000,0.011852973912261939,0.019678875069148675
2015-09-08,dividend,1000,0.0465720849910493,0.047776968998939594
2015-09-09,dividend,1000,0.03453856339981655,0.040704600099330045
2015-09-10,dividend,1000,-0.017682811291787053,-0.013611761564225429
2015-09-11,dividend,1000,0.0136534917777915,0.01949812194781126
2015-09-14,dividend,1000,-0.0770792545762844,-0.06490175152284182
2015-09-15,dividend,1000,-0.056295864725303804,-0.04876358807975241
2015-09-16,dividend,1000,0.0757071385280893,0.06377480608003207
2015-09-17,dividend,1000,-0.02083015622921403,-0.007505926026069682
2015-09-18,dividend,1000,0.013532437989036201,0.015663150422464085
2015-09-21,dividend,1000,0.03661837693021314,0.03593441811317591
2015-09-22,dividend,1000,0.008752057764222266,0.008542845985593569
2015-09-23,dividend,1000,-0.014923208812497877,-0.009291543821873704
2015-09-24,dividend,1000,0.0165329411140007,0.010909280341301092
2015-09-25,dividend,1000,-0.031796127765568054,-0.0325859847313065
2015-09-28,dividend,1000,0.020725281341443424,0.017488248766076086
2015-09-29,dividend,1000,-0.01915937621483915,-0.018500014355599486
2015-09-30,dividend,1000,0.002991460243122798,-3.3551444421082e-05
2015-10-08,dividend,1000,0.04145621011494674,0.04249187778929664
2015-10-09,dividend,1000,0.01608713542416503,0.016688762912106213
2015-10-12,dividend,1000,0.04049921422646933,0.04040699235443602
2015-10-13,dividend,1000,0.013411379289616804,0.015494419535043972
2015-10-14,dividend,1000,-0.015940752725683245,-0.010939533062311617
2015-10-15,dividend,1000,0.03501545386920936,0.03394948124273548
2015-10-16,dividend,1000,0.017666437996601492,0.018040643201793504
2015-10-19,dividend,1000,0.001302866869137554,0.004036230373783684
2015-10-20,dividend,1000,0.017475832077928237,0.01585879526280247
2015-10-21,dividend,1000,-0.06939883804038095,-0.06150373536450494
2015-10-22,dividend,1000,0.0401853297640079,0.04407698032721605
2015-10-23,dividend,1000,0.03255166388597567,0.03311830725586621
2015-10-26,dividend,1000,0.006168788130355197,0.00663786172905847
2015-10-27,dividend,1000,0.004804751965848417,0.009865370902248491
2015-10-28,dividend,1000,-0.021104299196507262,-0.018065444682280635
2015-10-29,dividend,1000,0.009969640905349453,0.014738830099204238
2015-10-30,dividend,1000,-0.005487206777957417,-0.003569906465294843
2015-11-02,dividend,1000,-0.021287467333173087,-0.02956564294197114
2015-11-03,dividend,1000,-0.000798614250827567,-0.0036014578594031994
2015-11-04,dividend,1000,0.050791100152837325,0.04879115909308289
2015-11-05,dividend,1000,0.0010833029973968426,0.0026032987997843355
2015-11-06,dividend,1000,0.021505500646617607,0.021618023964087997
2015-11-09,dividend,1000,0.012153038610224366,0.015592554104259472
2015-11-10,dividend,1000,0.006031316496472345,0.01190112194878186
2015-11-11,dividend,1000,0.012742232241050666,0.018918754159152076
2015-11-12,dividend,1000,-0.00489375501923334,0.008447456625419392
2015-11-13,dividend,1000,-0.018156938717822542,-0.010997286439655961
2015-11-16,dividend,1000,0.021469743571893556,0.02286091478177725
2015-11-17,dividend,1000,-0.00414445251463332,-0.006133720438521491
2015-11-18,dividend,1000,-0.015180506673198743,-0.020596247686360418
2015-11-19,dividend,1000,0.023973069413643237,0.0269340717657395
2015-11-20,dividend,1000,0.013109875121671066,0.013618918380528042
2015-11-23,dividend,1000,-0.0024194176272587034,-0.010590492901624381
2015-11-24,dividend,1000,0.009646044525000046,0.010009609710228167
2015-11-25,dividend,1000,0.01606148770762447,0.01790993478112262
2015-11-26,dividend,1000,-0.0015516753189298933,-0.0027078001988770427
2015-11-27,dividend,1000,-0.0686520494728772,-0.05762680104649634
2015-11-30,dividend,1000,0.006304206941603553,0.004991824059309169
2015-12-01,dividend,1000,0.01020024943192354,-0.0024843117128559473
2015-12-02,dividend,1000,-0.009437343922548098,-0.012045515312711938
2015-12-03,dividend,1000,0.025714119906526948,0.026701959004199118
2015-12-04,dividend,1000,-0.00576754673760308,-0.0012721942133856572
2015-12-07,dividend,1000,0.011531889593752483,0.01415851292722405
2015-12-08,dividend,1000,-0.02777098641160988,-0.020433778318305135
2015-12-09,dividend,1000,-0.003468848974038121,-0.00023859026616372507
2015-12-10,dividend,1000,-0.0006869074009460826,-0.0006533268731479325
2015-12-11,dividend,1000,-0.005385879048940609,-0.009459642972424166
2015-12-14,dividend,1000,0.021370595904192914,0.017448190217558737
2015-12-15,dividend,1000,0.009015131433124882,0.014300291532094106
2015-12-16,dividend,1000,0.006121359573233475,0.008614435273485113
2015-12-17,dividend,1000,0.031086935992804945,0.02707693724246889
2015-12-18,dividend,1000,-0.001971266404770973,-0.0011945580702511268
2015-12-21,dividend,1000,0.015060331970463102,0.007657308367902948
2015-12-22,dividend,1000,0.008880981879824203,0.01040279298933909
2015-12-23,dividend,1000,-0.011006063125826672,-0.015660878491918082
2015-12-24,dividend,1000,-0.006473629529804264,-0.0003913429076377404
2015-12-25,dividend,1000,0.010375498692025658,0.005826881987611945
2015-12-28,dividend,1000,-0.02256416825784331,-0.022169033785946278
2015-12-29,dividend,1000,0.012915515656664168,0.01250152488998127
2015-12-30,dividend,1000,0.011498262939204616,0.010899260306885594
2015-12-31,dividend,1000,-0.01748239585924673,-0.017263790154065133
2016-01-04,dividend,1000,-0.08781125243864163,-0.08431140435723425
2016-01-05,dividend,1000,-0.016851273381791973,-0.02398400397156136
2016-01-06,dividend,1000,0.02692556069826149,0.032986127107734575
2016-01-07,dividend,1000,-0.08948807322243837,-0.08677113066331074
2016-01-08,dividend,1000,0.013891410405262547,0.009097832849615328
2016-01-11,dividend,1000,-0.07502207405318347,-0.06793031973824161
2016-01-12,dividend,1000,0.0008333773408261074,-0.00486145632335475
2016-01-13,dividend,1000,-0.03640123888859388,-0.04467038218949543
2016-01-14,dividend,1000,0.03712172131133561,0.03486651507678912
2016-01-15,dividend,1000,-0.0396366956674471,-0.04129168003409954
2016-01-18,dividend,1000,0.018680999606514846,0.020919026302374782
2016-01-19,dividend,1000,0.03941550354634501,0.03804201819062083
2016-01-20,dividend,1000,-0.010069558719274011,-0.007883341383775123
2016-01-21,dividend,1000,-0.04105286566668619,-0.04590397638731182
2016-01-22,dividend,1000,0.016991976406209836,0.020042187718998947
2016-01-25,dividend,1000,0.013566283220243447,0.015848849113701106
2016-01-26,dividend,1000,-0.07995605910781778,-0.07710760893051037
2016-01-27,dividend,1000,-0.012302122792451723,-0.007674764551536367
2016-01-28,dividend,1000,-0.046989990338972686,-0.04773094236467228
2016-01-29,dividend,1000,0.03990508985953582,0.035085656956625556
2016-02-01,dividend,1000,-0.01102632154627834,-0.017907969649713737
2016-02-02,dividend,1000,0.037053150242417655,0.036404001578467696
2016-02-03,dividend,1000,0.006186679635740664,0.006802162209090408
2016-02-04,dividend,1000,0.020364979528421465,0.021755457402478376
2016-02-05,dividend,1000,-0.010311034029827883,-0.009861670205396925
2016-02-15,dividend,1000,-0.0014445992383791315,0.0031973369098416637
2016-02-16,dividend,1000,0.04424233597983864,0.04304800259331321
2016-02-17,dividend,1000,0.01459515110127464,0.016534279198724685
2016-02-18,dividend,1000,-0.002159396775956492,-0.00030973432143937066
2016-02-19,dividend,1000,0.00419637611976907,0.006953536367081536
2016-02-22,dividend,1000,0.022693472028897425,0.02189969671785022
2016-02-23,dividend,1000,-0.003885247152299153,-0.0015382907988669545
2016-02-24,dividend,1000,0.0068506528126421355,0.009565319963670472
2016-02-25,dividend,1000,-0.0841681476285099,-0.07652597632302349
2016-02-26,dividend,1000,0.005134515511491414,-0.005074328918501573
2016-02-29,dividend,1000,-0.05848627652470868,-0.06276625851431432
2016-03-01,dividend,1000,0.025060577721071075,0.02161840307153311
2016-03-02,dividend,1000,0.05568152307575912,0.0526200911009395
2016-03-03,dividend,1000,0.0034775569155147622,0.008119330758350023
2016-03-04,dividend,1000,-0.030494543623653402,-0.029788429939853422
2016-03-07,dividend,1000,0.025537043036009767,0.026758334806940762
