,g1_growth,g1_value,g2_growth,g2_value,g3_growth,g3_value,g4_growth,g4_value,g5_growth,g5_value
2015-06-16,-0.028388249139120338,-0.025330900449114815,-0.02984888930511391,-0.03331428160696838,-0.03977944895209759,-0.03765234019239537,-0.04396840981021211,-0.04121845430125229,-0.03835353218884845,-0.03891082534167093
2015-06-17,0.011978993912541758,0.020627085889913375,0.018440555228566996,0.016812968757719832,0.023049966438111764,0.017483861384455564,0.02456212298135403,0.018535644315206497,0.02224357266407737,0.02006515395056715
2015-06-18,-0.04387409671206203,-0.044897844205015774,-0.05103563097809677,-0.018098568055730666,-0.03887537952237965,-0.030894800120937076,-0.0416238459628079,-0.02629383790055412,-0.030243110008900242,-0.025421617789567436
2015-06-19,-0.04906181396761018,-0.05966114688571931,-0.05238735646396389,-0.06910955205714257,-0.05848121336929007,-0.07449918844356726,-0.055447328392459035,-0.07218241481953314,-0.06330706236581476,-0.06659887547479497
2015-06-23,0.03846742534471021,0.03648930271938645,0.02856373591697675,0.026877616306496238,0.018124648851557026,0.008787932872387367,0.010421569904976679,0.002136662701158925,-0.001715334364579264,-0.004187635034002499
2015-06-24,0.015066315233889817,0.03558632038162512,0.011588406082474544,0.0354728569702296,0.013664517273252073,0.03085384803771695,0.018545096799769515,0.026048879775741617,0.018023900195881924,0.02827311134788464
2015-06-25,-0.029442993921639463,-0.027773146329498427,-0.04829392723860552,-0.03344217004746853,-0.04208244800736853,-0.040017008418348356,-0.03575097676805525,-0.042540499933622716,-0.03778349870275862,-0.03203992272865288
2015-06-26,-0.0646032948134133,-0.06680107220744125,-0.08655790195446142,-0.08377244832932874,-0.07990604115786652,-0.08792289354749015,-0.07583747995306324,-0.08392494475144942,-0.0756502092822754,-0.07878979417288291
2015-06-29,-0.031960103969853465,0.005539718937785202,-0.06391071384818038,-0.02575323652027973,-0.06345879184764644,-0.05915159536442662,-0.06841516998899556,-0.06254901052293882,-0.06698653704204877,-0.06848236340916891
2015-06-30,0.07335532929575424,0.062400559116984354,0.06594796335438215,0.05363555244072974,0.048774286452108566,0.05941331851287966,0.04581044294661452,0.05114841104437407,0.03173518877108556,0.039458736733190836
2015-07-01,-0.04312794112433968,-0.04329053031649002,-0.051033369493416046,-0.05836138404907583,-0.04580838664274576,-0.05228962738699593,-0.044876230938431384,-0.059186192262778874,-0.05683649017849468,-0.05809488921833734
2015-07-02,-0.029675519565520697,-0.015322223875481548,-0.046151543960219935,-0.06372078512785033,-0.057678069012564386,-0.06644164602318343,-0.06524323503334291,-0.07021183993514113,-0.06676216898487637,-0.06851709091544121
2015-07-03,-0.04790902849743731,-0.05688059703163273,-0.04449247476634126,-0.06715666050357967,-0.04265203086354211,-0.06389025533454759,-0.0552583652107793,-0.06615497028043722,-0.05978391324024708,-0.06812623820365389
2015-07-06,0.027463249610276613,0.06628584252391619,-0.01150863391470591,0.01042354985342874,-0.029899703466979132,-0.018920965823767844,-0.04331741518214196,-0.02397494763397938,-0.05293735179060679,-0.05182365472270516
2015-07-07,-0.026160045173562695,0.042064617180605515,-0.07464583528411742,-0.0427371038744014,-0.054457174363198774,-0.07246942810342305,-0.05119479119791583,-0.071199006712352,-0.05214094943822378,-0.06530005724383457
2015-07-08,-0.06994838049928313,-0.06671720926310577,-0.04730945144342667,-0.07281101854634194,-0.016604314782035997,-0.040137981643369375,-0.015113624884610492,-0.03439837329593856,-0.025820847001391173,-0.03524172859984035
2015-07-09,0.07210549102209314,0.06688390693884533,0.058188094710938096,0.07623616174056251,0.03152063004739217,0.05752029362356902,0.024140672516061765,0.05307910910000592,0.02578540566067366,0.039711541700484417
2015-07-10,0.06750610362492315,0.040183552035522596,0.06045386758235244,0.0762859034686345,0.042128234761547055,0.06512346992219116,0.027610146682910962,0.05725603465765213,0.02966257140740159,0.04392108006807488
2015-07-13,0.011003864002123213,-0.009841042718361764,0.0632467636922744,0.06504749089267654,0.04969601321533057,0.0763699347887361,0.044535552807673545,0.06875896880965267,0.03877380490479245,0.05694462306796017
2015-07-14,-0.04694014311462297,-0.03763122349491472,0.007156428484910402,-0.030783031909775764,0.029943846443441176,0.005588852347399315,0.03021359970480669,0.010254177649645027,0.03274091616945079,0.025524588873376133
2015-07-15,-0.04620318927665037,-0.004581957965499305,-0.07324378854561744,-0.06730367169529139,-0.04629516716687787,-0.07114881365705013,-0.036493555101838146,-0.06227849905456999,-0.03753565385151261,-0.0510087362092896
2015-07-16,0.0037157728669638024,-0.00638573345672431,0.01720697402522768,0.023288096513992267,0.022710493722384293,0.02261618077962127,0.014603396667674478,0.017665071475157754,0.008696711972547608,0.011878379862743454
2015-07-17,0.044205190545747196,0.016208746533108286,0.06643249496926422,0.04870481535661633,0.05506109942068411,0.055410891198073214,0.05115850480331851,0.055340436423145005,0.048451397102296886,0.05490949170106561
2015-07-20,-0.0037745606127716153,-0.005432320337346121,0.02284013839903655,0.003668560261409956,0.020998795516648825,0.00971412648515062,0.029850856040902655,0.0140893936947064,0.029212700949378407,0.021356192217176398
2015-07-21,0.004640049717730536,-0.007696304248046485,0.008086418271675114,0.009391830472319894,0.010455062853339196,0.01457430882450965,0.023642766699558476,0.016137751305567487,0.02198256463601731,0.023295189537828363
2015-07-22,-0.004275400019290699,-0.007425362902738993,0.009962146166758338,-0.001137688953097658,0.011576445020610133,0.013064213308899373,0.015536413299817095,0.008644635779785715,0.01914204432524077,0.016376283825657745
2015-07-23,0.0241682536588707,0.014378051816511615,0.03018806518063866,0.024088665676939687,0.027429616706475438,0.03174173322226079,0.0277191446778138,0.03125293914301678,0.033469948666834635,0.03218110407710918
2015-07-24,-0.012354237604275356,-0.012552610768787666,-0.026960238976753096,-0.014299337845049841,-0.010384877458825494,-0.015905521390826394,-0.009420148915300465,-0.017146719030412077,-0.00641631781547794,-0.013159537094524285
2015-07-27,-0.09013104043856499,-0.08990299661327285,-0.08470308872148792,-0.08479212358656928,-0.06773592161666182,-0.08484542329733541,-0.06801644739095143,-0.07856770213865778,-0.06422745247902331,-0.06964999232605025
2015-07-28,0.014603797370157923,-0.0005808882258545895,-0.0014911115455623627,0.0005004124404536491,-0.02042526601675597,-0.018388207709227417,-0.03988552578980039,-0.025106541893321944,-0.04512031118084322,-0.035210632733921124
2015-07-29,0.021795462432330787,0.01732549376266483,0.04052731018846079,0.044401289930984626,0.04433868088481928,0.053511401339876835,0.043183553960584514,0.0493909026110401,0.04700849205945542,0.05156208263508448
2015-07-30,-0.03192662612251716,-0.024988171501435178,-0.037002628848662324,-0.03633662155272599,-0.031080107537269475,-0.02746223003646926,-0.02888376268267527,-0.028201533527206318,-0.028425585980415148,-0.02118297192901489
2015-07-31,0.006707160015032239,0.0024378926684116516,-0.006668960749771799,0.00819424166049081,-0.01647462651265909,-0.002748699883311294,-0.021406372684299558,-0.01086192083249013,-0.02452121243795809,-0.017258701179681243
2015-08-03,0.007088545895294137,0.021400022311370524,-0.020560396581055025,0.023551313314651164,-0.037272387412000854,-0.00159739310489541,-0.047781775075107606,-0.021245817426809255,-0.05675530460862967,-0.04170736007915506
2015-08-04,0.027532828494046604,0.013481121021810098,0.04947963871494418,0.03337304577102873,0.05550786087456556,0.051220829627957945,0.0569216524010325,0.05477399665282134,0.059367412552724944,0.060681847367206526
2015-08-05,-0.027927882311846116,-0.020801999425353403,-0.024606873828433865,-0.022144720549891892,-0.012393854901138026,-0.014451716299312117,-0.008311963992145812,-0.009374835536619365,-0.0022771264537953186,-0.003189309003746642
2015-08-06,-0.02030588602996592,-0.005856794616043208,-0.014387716531641347,-0.010279818687774247,-0.00938900347802862,-0.0074751985403586395,-0.002696785545920176,-0.004335166141150578,0.0009435131895044014,-0.0014008362182740231
2015-08-07,0.018090519062273356,0.010745394264363299,0.028990460698969146,0.019174229169250347,0.029928226455771437,0.02776722593702254,0.034577277592053465,0.029086554121167153,0.03991666652065778,0.03380434902040255
2015-08-10,0.05081429234725095,0.040023490205120485,0.05718735880823554,0.04350050458870281,0.0474031130217048,0.04824130793268573,0.04987872090319647,0.04817121907141052,0.04899845060274768,0.049771945221449794
2015-08-11,-0.00845910625035559,-0.00398732071465573,7.526037988298764e-05,0.0001956162324584903,-0.0008741087884201864,0.0006276022148128584,0.002456717942602565,0.01207193493176464,0.005975871973082227,0.01428261931878691
2015-08-12,-0.01436292947121484,-0.006725633215644447,-0.01184057711291205,-0.013327302549042297,-0.01793339919663604,-0.011186783958309418,-0.015045775030459587,-0.012327585725394509,-0.013189222647893723,-0.00786983591948832
2015-08-13,0.012080873669849926,0.006308233849523407,0.019537041077112627,0.0231785004705044,0.019589824074948876,0.024280283342484707,0.025596201975164205,0.0239106031146513,0.028720731509623888,0.030005495244772525
2015-08-14,0.006158237107671642,-0.00165343046919883,0.003765880113447498,-0.0035495209214757187,0.004327397690758189,0.006153368197901191,0.004906245182412453,0.004654061193771791,0.007454797503893903,0.015431350498242782
2015-08-17,-0.006579858329287429,-0.007613177298739174,0.004672246061953829,0.01762853564193101,0.007847546753697468,0.0282340419978956,0.016477225652384225,0.025048751303211225,0.01358841650068154,0.02584737324588125
2015-08-18,-0.060227804374572404,-0.04840460676535492,-0.06427468277549425,-0.07583047020088207,-0.07070299058798507,-0.07797931944624946,-0.0676049583997568,-0.08098421463251951,-0.06717395892988788,-0.07086852020504737
2015-08-19,0.011203780073537742,0.008372011429059602,0.0226704074440371,0.021031322756949026,0.024422532816053683,0.021528533981410067,0.025371152965042,0.023382952061030565,0.024214902374914454,0.023539441260775625
2015-08-20,-0.030820759204745495,-0.022015918815352562,-0.043559031407022046,-0.02733361827242364,-0.03212879575969326,-0.035901245268665075,-0.025886985454643345,-0.03365432961126814,-0.029384594690211763,-0.03521186236165223
2015-08-21,-0.05635305571382718,-0.02757303145637012,-0.05711350894376429,-0.05410412095223454,-0.055755775342932905,-0.05087441363237776,-0.05541700744667855,-0.05802755819367914,-0.05164118612718213,-0.05750236258315159
2015-08-24,-0.08003465355255564,-0.08834352761869581,-0.0902208141341948,-0.08788286620599316,-0.07922479033167486,-0.08446161545473022,-0.07422344806110662,-0.0834776490607916,-0.07229407084119553,-0.08030245537372432
2015-08-25,-0.0710062150254167,-0.07263693849591951,-0.08085406543119425,-0.07965831485474624,-0.07384526908227013,-0.08163291295502903,-0.0682829548472308,-0.08011789414944849,-0.0690170608924935,-0.07861761132319545
2015-08-26,-0.007058883767168048,0.01900561633413769,-0.03828402579773793,-0.013086196926111276,-0.04018109049373053,-0.034248308019211575,-0.044225405536364254,-0.03088269210002771,-0.03607872669862235,-0.038674336665095434
2015-08-27,0.05782769983155585,0.06001007256024326,0.05660684837532327,0.050366080172367836,0.0320571870972044,0.043076750676726436,0.027726693040040544,0.04207379739894927,0.02882667944114202,0.03541186448104351
2015-08-28,0.04248398106477592,0.02925086595874191,0.06277125310681313,0.05683331242752033,0.05702664059544851,0.0644756947410511,0.0571198460272963,0.06390552731405372,0.05685650602410281,0.06127924914474339
2015-08-31,0.0008418718412191986,0.019737038158339045,-0.004138263163500545,-0.0013047601233050997,-0.03184093391177543,-0.020978022323829847,-0.03868202579507008,-0.04208261204442716,-0.03297181744876103,-0.040537037991972356
2015-09-01,0.0035512887683041357,0.02779626872207419,-0.022859394855693615,-0.0055180437918092885,-0.06047282296024726,-0.04557098173742831,-0.06056886265219566,-0.060425974411913885,-0.05898484990779312,-0.06351437235064934
2015-09-02,0.00013469859962493143,0.015771209202687354,-0.001992328631430419,0.0033141045094425238,-0.021593317185844944,-0.011090945775038432,-0.030211695636973113,-0.008820579671512098,-0.04404991126165041,-0.03827743559508978
2015-09-07,-0.028255884973378297,-0.05632779704568999,-0.01750404778806555,-0.026945032833976375,-0.003797993569984858,-0.00033776209407668597,0.01691286187888101,0.010354461769147717,0.02089528352304347,0.01837746348892871
