signal_label,index,strategy,open_long,close_long,open_short,close_short,ann_ret,sharpe,max_drawdown,daily_win_rate,trade_win_rate,trade_segments,n_trades,ann_ret_pct,max_drawdown_pct,daily_win_rate_pct,trade_win_rate_pct
5日平滑,中证1000,四阈值单指数最优_次日收盘成交,0.35,-0.05,-0.1,-0.05,0.4108326806881524,1.5222802344579986,-0.2814143583264635,0.439894319682959,0.68,100,199,41.08326806881524,-28.14143583264635,43.989431968295904,68.0
5日平滑,中证1000,买入持有,,,,,0.0541053157511144,0.331905067727076,-0.7234872372733582,0.5432628797886394,,1,1,5.41053157511144,-72.34872372733582,54.32628797886394,
5日平滑,中证500,四阈值单指数最优_次日收盘成交,0.35,-0.05,-0.55,-0.05,0.3075219088306447,1.5025083352586963,-0.2506816298643217,0.3484147952443857,0.7272727272727273,77,153,30.75219088306447,-25.068162986432167,34.84147952443857,72.72727272727273
5日平滑,中证500,买入持有,,,,,0.0675307641788607,0.3894458088968036,-0.6519574332360292,0.5326948480845443,,1,1,6.75307641788607,-65.19574332360291,53.26948480845443,
5日平滑,沪深300,四阈值单指数最优_次日收盘成交,0.5,0.05,-0.75,0.7,0.1301812279567649,1.0856019309980245,-0.1513852003399168,0.1955085865257596,0.6818181818181818,44,87,13.01812279567649,-15.138520033991679,19.550858652575958,68.18181818181817
5日平滑,沪深300,买入持有,,,,,0.0628592960587592,0.3955805917291332,-0.4669613510228617,0.5161822985468957,,1,1,6.28592960587592,-46.69613510228617,51.61822985468957,
5日平滑,中证1000,四阈值统一阈值_次日收盘成交,0.35,0.0,-0.55,-0.05,0.3459437604640789,1.5426348727146495,-0.2886720719494743,0.3401585204755614,0.7142857142857143,77,153,34.59437604640789,-28.86720719494743,34.01585204755614,71.42857142857143
5日平滑,中证500,四阈值统一阈值_次日收盘成交,0.35,0.0,-0.55,-0.05,0.3013264035620462,1.491778988415555,-0.2425542697868592,0.3394980184940555,0.7012987012987013,77,153,30.13264035620462,-24.25542697868592,33.949801849405546,70.12987012987013
5日平滑,沪深300,四阈值统一阈值_次日收盘成交,0.35,0.0,-0.55,-0.05,0.1694977550365093,1.0564999861133462,-0.3454381039935567,0.3365257595772787,0.6493506493506493,77,153,16.94977550365093,-34.54381039935567,33.65257595772787,64.93506493506493
未平滑,中证1000,四阈值单指数最优_次日收盘成交,0.45,0.2,-0.5,-0.05,0.3487159161777271,1.5556101975010037,-0.2893222800221655,0.3163804491413474,0.6732673267326733,101,201,34.871591617772715,-28.932228002216547,31.63804491413474,67.32673267326733
未平滑,中证1000,买入持有,,,,,0.0541053157511144,0.331905067727076,-0.7234872372733582,0.5432628797886394,,1,1,5.41053157511144,-72.34872372733582,54.32628797886394,
未平滑,中证500,四阈值单指数最优_次日收盘成交,0.45,0.2,-0.45,-0.1,0.2968735516026519,1.468785621901643,-0.2498821591176455,0.3157199471598415,0.6,110,219,29.687355160265188,-24.98821591176455,31.571994715984147,60.0
未平滑,中证500,买入持有,,,,,0.0675307641788607,0.3894458088968036,-0.6519574332360292,0.5326948480845443,,1,1,6.75307641788607,-65.19574332360291,53.26948480845443,
未平滑,沪深300,四阈值单指数最优_次日收盘成交,0.45,0.2,-0.8,-0.05,0.1290628098805075,1.1065655881618264,-0.1403169097330771,0.1842800528401585,0.5909090909090909,66,131,12.90628098805075,-14.03169097330771,18.42800528401585,59.09090909090909
未平滑,沪深300,买入持有,,,,,0.0628592960587592,0.3955805917291332,-0.4669613510228617,0.5161822985468957,,1,1,6.28592960587592,-46.69613510228617,51.61822985468957,
未平滑,中证1000,四阈值统一阈值_次日收盘成交,0.45,0.2,-0.45,-0.1,0.3417401282269354,1.5351115720410722,-0.2845176019942801,0.3167107001321004,0.6,110,219,34.17401282269354,-28.451760199428012,31.67107001321004,60.0
未平滑,中证500,四阈值统一阈值_次日收盘成交,0.45,0.2,-0.45,-0.1,0.2968735516026519,1.468785621901643,-0.2498821591176455,0.3157199471598415,0.6,110,219,29.687355160265188,-24.98821591176455,31.571994715984147,60.0
未平滑,沪深300,四阈值统一阈值_次日收盘成交,0.45,0.2,-0.45,-0.1,0.1537879575864995,0.9610362233976748,-0.4113152441922834,0.3101056803170409,0.5727272727272728,110,219,15.378795758649948,-41.13152441922834,31.01056803170409,57.27272727272727
