ts_code,end_date,statement_type,old_ann_date,data_source,new_ann_date
000037.SZ,2024-12-31,balance,2024-04-12,csmar,2025-04-30
000037.SZ,2024-12-31,income,2024-04-12,csmar,2025-04-30
000605.SZ,2024-12-31,income,2024-12-07,csmar,2025-04-30
000885.SZ,2024-12-31,income,2024-12-07,csmar,2025-04-30
002156.SZ,2024-12-31,balance,2024-01-13,csmar,2025-04-30
002156.SZ,2024-12-31,income,2024-01-13,csmar,2025-04-30
300233.SZ,2024-12-31,balance,2024-10-25,csmar,2025-04-30
300233.SZ,2024-12-31,income,2024-10-25,csmar,2025-04-30
300679.SZ,2024-12-31,balance,2024-12-06,csmar,2025-04-30
300679.SZ,2024-12-31,income,2024-12-06,csmar,2025-04-30
300828.SZ,2024-12-31,balance,2024-10-25,csmar,2025-04-30
300828.SZ,2024-12-31,income,2024-10-25,csmar,2025-04-30
300871.SZ,2024-12-31,balance,2024-03-07,csmar,2025-04-30
300871.SZ,2024-12-31,income,2024-03-07,csmar,2025-04-30
300959.SZ,2024-06-30,income,2024-04-29,csmar,2024-08-31
300959.SZ,2024-09-30,income,2024-04-29,csmar,2024-10-31
300963.SZ,2024-12-31,income,2024-12-27,csmar,2025-04-30
301578.SZ,2024-12-31,balance,2024-12-26,csmar,2025-04-30
301578.SZ,2024-12-31,income,2024-12-26,csmar,2025-04-30
600039.SH,2024-12-31,balance,2024-03-22,csmar,2025-04-30
600039.SH,2024-12-31,income,2024-03-22,csmar,2025-04-30
600231.SH,2024-12-31,balance,2024-03-14,csmar,2025-04-30
600231.SH,2024-12-31,income,2024-03-14,csmar,2025-04-30
600718.SH,2024-12-31,balance,2024-04-29,csmar,2025-04-30
600733.SH,2024-12-31,income,2024-04-29,csmar,2025-04-30
600768.SH,2024-12-31,balance,2024-04-29,csmar,2025-04-30
600768.SH,2024-12-31,income,2024-04-29,csmar,2025-04-30
600855.SH,2024-12-31,income,2024-04-29,csmar,2025-04-30
600941.SH,2024-12-31,balance,2024-03-22,csmar,2025-04-30
601699.SH,2024-12-31,balance,2024-04-29,csmar,2025-04-30
601699.SH,2024-12-31,income,2024-04-29,csmar,2025-04-30
603032.SH,2024-12-31,income,2024-04-29,csmar,2025-04-30
603045.SH,2024-12-31,income,2024-04-26,csmar,2025-04-30
603135.SH,2024-12-31,income,2024-04-29,csmar,2025-04-30
603179.SH,2024-12-31,income,2024-04-29,csmar,2025-04-30
603515.SH,2024-12-31,income,2024-04-29,csmar,2025-04-30
603933.SH,2024-12-31,balance,2024-10-29,csmar,2025-04-30
603933.SH,2024-12-31,income,2024-10-29,csmar,2025-04-30
605008.SH,2024-12-31,balance,2024-04-30,csmar,2025-04-30
605008.SH,2024-12-31,income,2024-04-30,csmar,2025-04-30
688180.SH,2024-12-31,income,2024-03-29,csmar,2025-04-30
836826.BJ,2024-12-31,balance,2024-01-25,csmar,2025-04-30
836826.BJ,2024-12-31,income,2024-01-25,csmar,2025-04-30
