ts_code,list_date,first_eff
688603.SH,2023-07-10,2025-04-01
688608.SH,2020-12-16,2025-04-01
688611.SH,2021-04-12,2025-04-01
688617.SH,2021-01-07,2025-04-01
688625.SH,2021-06-07,2025-04-01
688636.SH,2021-04-08,2025-04-01
688661.SH,2021-03-29,2025-04-01
688678.SH,2020-12-23,2025-04-01
688680.SH,2021-01-22,2025-04-01
688682.SH,2021-04-20,2025-04-01
688697.SH,2021-09-17,2025-04-01
688728.SH,2021-08-18,2025-04-01
688766.SH,2021-08-23,2025-04-01
688767.SH,2021-09-08,2025-04-01
688778.SH,2021-08-05,2025-04-01
688786.SH,2021-08-26,2025-04-01
688788.SH,2020-10-22,2025-04-01
688799.SH,2021-07-13,2025-04-01
688800.SH,2021-07-22,2025-04-01
688981.SH,2020-07-16,2025-04-01
689009.SH,2020-10-29,2025-04-01
