ts_code,list_date,first_eff
002921.SZ,2017-12-27,2025-04-01
002922.SZ,2017-12-29,2025-04-01
002941.SZ,2018-11-28,2025-04-01
002953.SZ,2019-05-09,2025-04-01
002960.SZ,2019-08-09,2025-04-01
002961.SZ,2019-09-05,2025-04-01
002965.SZ,2019-10-25,2025-04-01
002967.SZ,2019-11-08,2025-04-01
002969.SZ,2019-12-02,2025-04-01
002975.SZ,2020-02-05,2025-04-01
002976.SZ,2020-03-06,2025-04-01
002980.SZ,2020-04-15,2025-04-01
002982.SZ,2020-04-24,2025-04-01
002987.SZ,2020-05-07,2025-04-01
002998.SZ,2020-09-25,2025-04-01
003001.SZ,2020-10-13,2025-04-01
003005.SZ,2020-09-22,2025-04-01
003009.SZ,2020-09-25,2025-04-01
003010.SZ,2020-09-25,2025-04-01
003013.SZ,2020-10-22,2025-04-01
003021.SZ,2020-12-04,2025-04-01
003025.SZ,2020-12-11,2025-04-01
003028.SZ,2020-12-28,2025-04-01
003043.SZ,2021-04-06,2025-04-01
300011.SZ,2009-10-30,2025-04-01
300014.SZ,2009-10-30,2025-04-01
300016.SZ,2009-10-30,2025-04-01
300021.SZ,2009-10-30,2025-04-01
300033.SZ,2009-12-25,2025-04-01
300040.SZ,2010-01-08,2025-04-01
300057.SZ,2010-02-26,2025-04-01
300058.SZ,2010-02-26,2025-04-01
300062.SZ,2010-03-19,2025-04-01
300073.SZ,2010-04-27,2025-04-01
300077.SZ,2010-04-30,2025-04-01
300091.SZ,2010-06-25,2025-04-01
300093.SZ,2010-07-08,2025-04-01
300095.SZ,2010-07-28,2025-04-01
300100.SZ,2010-08-06,2025-04-01
300125.SZ,2010-10-13,2025-04-01
300129.SZ,2010-10-19,2025-04-01
300159.SZ,2011-01-07,2025-04-01
300167.SZ,2011-01-25,2025-04-01
300190.SZ,2011-03-16,2025-04-01
300224.SZ,2011-05-31,2025-04-01
300227.SZ,2011-06-08,2025-04-01
300258.SZ,2011-08-26,2025-04-01
300263.SZ,2011-09-16,2025-04-01
300272.SZ,2011-11-02,2025-04-01
300277.SZ,2011-11-23,2025-04-01
300283.SZ,2012-01-10,2025-04-01
300313.SZ,2012-04-25,2025-04-01
300346.SZ,2012-08-07,2025-04-01
300358.SZ,2014-01-21,2025-04-01
300394.SZ,2015-02-17,2025-04-01
300398.SZ,2014-10-09,2025-04-01
300407.SZ,2014-12-03,2025-04-01
300428.SZ,2015-03-19,2025-04-01
300432.SZ,2015-03-19,2025-04-01
300433.SZ,2015-03-18,2025-04-01
300442.SZ,2015-04-24,2025-04-01
300450.SZ,2015-05-18,2025-04-01
