ts_code,formation_date,required_formation,list_date,delist_date,raw_close,close_source,selected_share_effective_date,selected_share_known_date,selected_total_shares,reason_code
002600.SZ,2013-06-28,False,2011-07-15,,8.94,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002607.SZ,2013-06-28,False,2011-08-10,,6.27,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002694.SZ,2013-06-28,False,2012-08-16,,9.81,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600097.SH,2013-06-28,False,1997-06-19,,10.8,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600179.SH,2013-06-28,False,1998-11-04,,4.47,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600217.SH,2013-06-28,False,1999-12-16,,4.41,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600233.SH,2013-06-28,False,2000-06-08,,8.85,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600398.SH,2013-06-28,False,2000-12-28,,3.1,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600483.SH,2013-06-28,False,2004-05-31,,5.28,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600566.SH,2013-06-28,False,2001-08-22,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
600567.SH,2013-06-28,False,2001-12-18,,2.1,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600603.SH,2013-06-28,False,1992-01-13,,4.89,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600629.SH,2013-06-28,False,1993-02-09,,6.09,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600666.SH,2013-06-28,False,1993-07-12,,6.17,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600681.SH,2013-06-28,False,1993-10-18,,3.74,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600862.SH,2013-06-28,False,1994-05-20,,3.14,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
601360.SH,2013-06-28,False,2012-01-16,,6.78,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
603993.SH,2013-06-28,False,2012-10-09,,6.7,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000035.SZ,2013-07-31,False,1994-04-08,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
000156.SZ,2013-07-31,False,2000-09-06,,26.63,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000301.SZ,2013-07-31,False,2000-05-29,,2.96,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000498.SZ,2013-07-31,False,1997-06-09,,3.83,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000547.SZ,2013-07-31,False,1993-11-30,,3.3,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000603.SZ,2013-07-31,False,1996-08-23,,14.66,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000620.SZ,2013-07-31,False,1996-10-29,,4.52,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000670.SZ,2013-07-31,False,1996-12-17,,12.16,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
