ts_code,list_date,delist_date,listing_status_at_data_end,in_pool_2023_any,in_pool_2023_12,affected_months_all,affected_months_required,affected_months_2023,first_affected_formation,last_affected_formation,csmar_latest_a003101000,anchor_2025_shares,implied_par,note,priority_rank
688981.SH,2020-07-16,,ACTIVE,True,True,36,36,12,2021-01-29,2023-12-29,226512000.0,7981802488.0,0.0284,,47
689009.SH,2020-10-29,,ACTIVE,True,True,33,33,12,2021-04-30,2023-12-29,48051.04,717301020.0,0.0001,,48
688728.SH,2021-08-18,,ACTIVE,True,True,23,23,12,2022-02-28,2023-12-29,200434.0,2600586667.0,0.0001,,49
001267.SZ,2021-11-17,,ACTIVE,True,True,20,20,12,2022-05-31,2023-12-29,277351072.0,779571428.0,0.3558,,50
688235.SH,2021-12-15,,ACTIVE,True,True,19,19,12,2022-06-30,2023-12-29,938000.0,1401579798.0,0.0007,,51
600941.SH,2022-01-05,,ACTIVE,True,True,18,18,12,2022-07-29,2023-12-29,465338000000.0,21564893225.0,21.5785,,52
600938.SH,2022-04-21,,ACTIVE,True,True,15,15,12,2022-10-31,2023-12-29,75180000000.0,47529953984.0,1.5817,,53
688428.SH,2022-09-21,,ACTIVE,True,True,10,10,10,2023-03-31,2023-12-29,23399.72,1762567202.0,0.0,,54
688525.SH,2022-12-30,,ACTIVE,True,True,7,7,7,2023-06-30,2023-12-29,431240342.0,431240342.0,1.0,,55
601360.SH,2012-01-16,,ACTIVE,True,True,48,40,0,2013-05-31,2017-04-28,6999558000.0,6999557879.0,1.0,,56
688347.SH,2023-08-07,,ACTIVE,False,False,0,0,0,,,34065170085.55,1725067713.0,19.7471,,57
