开始日期,2014-01-01,,,,,
截止日期,2021-01-08,,,,,
证券代码,000300.SH,,,,,
证券简称,沪深300,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,"成交额
[单位]元"
Date,open,high,low,close,volume,amt
2014-03-31,2156.0540,2165.2540,2134.4220,2146.3050,5545748800.0000,48105020054.0000
2014-04-01,2143.7170,2170.0950,2141.1510,2163.1150,4886640300.0000,43659064291.0000
2014-04-02,2166.0670,2182.6830,2164.0080,2180.7270,6503925700.0000,56777151867.0000
2014-04-03,2188.6420,2196.1380,2160.7470,2165.0080,7153603200.0000,57708859685.0000
2014-04-04,2157.9820,2186.1540,2155.2770,2185.4720,4794588800.0000,43912624261.0000
2014-04-08,2179.9200,2243.9700,2178.9050,2237.3160,9721911700.0000,85692893370.0000
2014-04-09,2239.7910,2246.7930,2228.9940,2238.6200,6635726800.0000,61178630422.0000
2014-04-10,2241.4520,2290.7420,2229.5150,2273.7610,11454540500.0000,101616815025.0000
2014-04-11,2269.5650,2281.1050,2261.1330,2270.6660,9061589700.0000,86154853765.0000
2014-04-14,2267.9430,2275.8300,2255.4560,2268.6130,6226499800.0000,60254151500.0000
2014-04-15,2261.4110,2261.4740,2225.6850,2229.4630,6821813000.0000,62599115638.0000
2014-04-16,2223.4680,2245.3150,2221.1530,2232.5260,5167801000.0000,47770218198.0000
2014-04-17,2238.7790,2241.6220,2221.9540,2224.8030,4833362800.0000,45096433749.0000
2014-04-18,2215.8790,2228.7700,2203.0470,2224.4790,5075799500.0000,45709617096.0000
2014-04-21,2209.9420,2231.7070,2186.7550,2187.2480,5627828000.0000,51856112765.0000
2014-04-22,2184.0170,2196.8490,2165.0750,2196.7950,5709469400.0000,52351993061.0000
2014-04-23,2191.2310,2205.5940,2187.3880,2194.6680,4776353100.0000,45191150830.0000
2014-04-24,2192.7690,2209.4540,2186.7630,2190.4740,4505891100.0000,41927012945.0000
2014-04-25,2195.8150,2201.7120,2167.6400,2167.8260,6024538300.0000,52092022381.0000
2014-04-28,2165.7730,2171.3850,2132.6950,2134.9690,6048518700.0000,49998809829.0000
2014-04-29,2134.4130,2159.3790,2131.7830,2158.4700,4820493100.0000,41550353157.0000
2014-04-30,2158.7620,2164.1750,2153.1240,2158.6590,4533462400.0000,39493022295.0000
2014-05-05,2152.5900,2161.7030,2131.2320,2156.4700,4934407300.0000,41470449799.0000
2014-05-06,2151.3880,2173.6180,2150.1120,2157.3280,4808651900.0000,41486451628.0000
2014-05-07,2151.4720,2153.7230,2136.9900,2137.3160,4460747000.0000,37751019661.0000
2014-05-08,2132.0360,2168.2060,2128.3180,2135.4960,4833245200.0000,40729772017.0000
2014-05-09,2138.8400,2141.5590,2120.5950,2133.9110,4918113500.0000,40242745273.0000
2014-05-12,2150.3130,2184.3320,2139.4830,2180.0540,8347256000.0000,66275508636.0000
2014-05-13,2180.0590,2185.0460,2167.7670,2174.8520,6491251800.0000,50241276089.0000
2014-05-14,2175.0940,2184.2210,2168.9970,2172.3720,4851420600.0000,39214123931.0000
2014-05-15,2169.2780,2171.4530,2142.3380,2144.0840,4673403200.0000,38938529216.0000
2014-05-16,2143.9260,2150.5000,2132.1860,2145.9520,4225319700.0000,34987586802.0000
2014-05-19,2139.3620,2139.3620,2105.7130,2115.1430,4289360700.0000,37135950607.0000
2014-05-20,2124.7080,2131.5670,2110.7200,2115.7710,3729968300.0000,31576339037.0000
2014-05-21,2106.7620,2136.1000,2096.5140,2135.9050,3894604200.0000,32246807970.0000
2014-05-22,2134.0870,2160.9090,2128.8580,2130.8680,4625273600.0000,39227549718.0000
2014-05-23,2130.7750,2148.5830,2128.6630,2148.4140,3762310500.0000,32420020159.0000
2014-05-26,2161.8920,2165.4210,2147.4450,2155.9760,3955065600.0000,37788482728.0000
2014-05-27,2154.3950,2160.0270,2145.7520,2147.2800,3589717100.0000,32374256462.0000
2014-05-28,2147.4670,2171.1720,2142.0070,2169.3520,5005626000.0000,45627619375.0000
2014-05-29,2171.2600,2178.0920,2154.9250,2155.1640,4489155600.0000,41076912680.0000
2014-05-30,2156.3810,2166.9070,2146.2180,2156.4640,4392386300.0000,39769199791.0000
2014-06-03,2157.6400,2168.9950,2149.2910,2149.9180,4198295400.0000,37906226058.0000
2014-06-04,2149.4070,2149.4520,2117.3130,2128.2740,4181724900.0000,35607022812.0000
2014-06-05,2126.6070,2150.9300,2123.5240,2150.6020,3647742400.0000,33050774675.0000
2014-06-06,2149.2140,2149.7830,2123.9800,2134.7160,3573805800.0000,32415599488.0000
2014-06-09,2128.2250,2153.9030,2126.6650,2134.2810,3931106000.0000,35326732064.0000
2014-06-10,2138.6710,2161.5260,2132.4470,2161.2680,5050790200.0000,44416141206.0000
2014-06-11,2156.1510,2163.6100,2152.0800,2160.7660,4256371800.0000,37311080748.0000
2014-06-12,2156.7610,2160.9880,2148.4130,2153.4100,4302584300.0000,37252041741.0000
2014-06-13,2150.9870,2183.6450,2150.5690,2176.2420,5925287600.0000,51765511450.0000
2014-06-16,2176.4380,2196.3430,2174.2770,2191.8550,6329687500.0000,56904298384.0000
2014-06-17,2185.6810,2185.6810,2168.4450,2169.6740,4993366500.0000,46244977817.0000
2014-06-18,2169.2520,2172.5490,2158.4970,2160.2390,4946389700.0000,42538095511.0000
2014-06-19,2161.4260,2166.4070,2119.4980,2126.9070,5316264500.0000,46029744918.0000
2014-06-20,2124.9630,2137.0340,2120.8070,2136.7290,4239371900.0000,35425712925.0000
2014-06-23,2137.9260,2147.2270,2132.4540,2134.1100,4117925800.0000,37112428752.0000
2014-06-24,2131.6860,2145.2130,2130.2920,2144.8210,4016435600.0000,38778505304.0000
2014-06-25,2141.7260,2141.7260,2126.0350,2133.3710,3766610000.0000,33809315524.0000
2014-06-26,2135.1560,2151.1140,2134.8910,2149.0760,4435116600.0000,40601836632.0000
2014-06-27,2146.3740,2159.5260,2138.9270,2150.2580,5272289600.0000,45525673947.0000
2014-06-30,2152.3060,2168.2210,2152.3060,2165.1180,5430418800.0000,50277570814.0000
2014-07-01,2169.1990,2171.1500,2157.1330,2164.5590,5332310000.0000,49936284309.0000
2014-07-02,2163.9980,2171.5100,2155.6090,2170.8670,5968550100.0000,53273658927.0000
2014-07-03,2169.0030,2184.9640,2164.8430,2180.1920,6369069000.0000,56024939299.0000
2014-07-04,2180.4450,2183.7980,2174.0730,2178.6950,5285110600.0000,47990033413.0000
2014-07-07,2178.5460,2186.2020,2171.0830,2176.2890,5024233400.0000,47663876919.0000
2014-07-08,2174.8280,2180.7780,2163.3590,2180.4730,5074359900.0000,46017266874.0000
2014-07-09,2178.1350,2178.5100,2148.2600,2148.7100,6202204600.0000,58980248398.0000
2014-07-10,2146.6010,2151.7740,2139.5220,2142.8470,5573249700.0000,50931668887.0000
2014-07-11,2136.3170,2154.7350,2134.7950,2148.0090,6137427400.0000,51551825645.0000
2014-07-14,2149.5420,2171.9020,2145.2780,2171.7580,6615886300.0000,60467088864.0000
2014-07-15,2170.0890,2176.2720,2165.2060,2174.9760,7181569400.0000,64304875149.0000
2014-07-16,2172.8240,2183.2480,2166.7740,2170.8680,8156023000.0000,61126054498.0000
2014-07-17,2166.8310,2166.9320,2147.0840,2157.0680,5945356800.0000,46354646289.0000
2014-07-18,2147.6630,2176.3250,2145.4460,2164.1440,6547329500.0000,53758919136.0000
2014-07-21,2164.2230,2171.9400,2158.9550,2166.2950,5417226000.0000,47731629577.0000
2014-07-22,2162.4360,2197.5920,2162.2360,2192.6980,7854258300.0000,66806114430.0000
2014-07-23,2191.3940,2210.2820,2190.5550,2197.8330,8421387200.0000,69177998063.0000
2014-07-24,2199.8330,2239.8150,2199.8330,2237.0150,11943553400.0000,99964367602.0000
2014-07-25,2243.0670,2260.8900,2239.0660,2260.4540,9897283800.0000,81994560081.0000
2014-07-28,2272.3830,2331.4720,2272.3830,2323.8970,17986933300.0000,145277424291.0000
2014-07-29,2326.0380,2342.7700,2316.2170,2331.3690,13426964100.0000,112176546316.0000
2014-07-30,2324.6900,2339.0380,2316.0580,2322.0110,12302283200.0000,103362308865.0000
2014-07-31,2321.9670,2350.5510,2316.5850,2350.2510,11098776900.0000,93135566963.0000
2014-08-01,2341.2270,2371.5000,2328.9660,2329.4020,12631739000.0000,106125190266.0000
2014-08-04,2336.6300,2375.6200,2332.1380,2375.6200,11671375400.0000,101301888277.0000
2014-08-05,2376.7970,2380.7740,2353.7950,2369.3530,11186178900.0000,97906971246.0000
2014-08-06,2358.2060,2371.6670,2334.3340,2363.2210,11634182900.0000,96681298733.0000
2014-08-07,2363.6080,2369.2040,2326.2680,2327.4570,11672921000.0000,94254453994.0000
2014-08-08,2329.1840,2339.2700,2319.2880,2331.1340,8673969400.0000,72605666133.0000
2014-08-11,2338.0080,2367.0040,2337.0140,2365.3490,9160117100.0000,82973900360.0000
2014-08-12,2361.1700,2361.1700,2344.7160,2357.0520,9182260800.0000,82973769642.0000
2014-08-13,2358.4590,2370.5130,2335.6940,2358.9010,11044778900.0000,94185266458.0000
2014-08-14,2357.1980,2363.1800,2334.0800,2335.9450,9796949300.0000,84251435869.0000
2014-08-15,2337.9850,2366.9020,2333.1230,2360.6350,9359254600.0000,81888217001.0000
2014-08-18,2366.2720,2379.8040,2361.1970,2374.5620,10450955400.0000,90148909855.0000
2014-08-19,2378.8860,2379.4740,2358.9650,2374.7680,11585002000.0000,102742759960.0000
2014-08-20,2371.6490,2375.4750,2360.8370,2366.1400,10128808800.0000,91374802730.0000
2014-08-21,2365.7310,2367.4600,2333.2990,2354.2440,10069021100.0000,92192063269.0000
2014-08-22,2352.3160,2368.4570,2350.9860,2365.3640,8982393800.0000,85642463757.0000
2014-08-25,2367.0190,2367.6060,2338.4550,2342.8630,9737371700.0000,85182493960.0000
2014-08-26,2339.6000,2350.3910,2317.1840,2324.0920,9384422200.0000,83135033150.0000
2014-08-27,2323.7900,2336.7370,2322.8850,2327.5950,6767622100.0000,62448675179.0000
2014-08-28,2328.0590,2336.3630,2309.6390,2311.2780,7049065500.0000,66195966855.0000
2014-08-29,2317.3040,2338.7740,2313.2620,2338.2870,6321142300.0000,58359967752.0000
2014-09-01,2340.9250,2355.5520,2338.5300,2355.3170,7732087000.0000,73362240553.0000
2014-09-02,2359.8620,2387.6550,2349.9490,2386.4600,11443673300.0000,106925790139.0000
2014-09-03,2389.6940,2414.2600,2389.6790,2408.8380,12973420400.0000,123629189433.0000
2014-09-04,2411.9340,2427.2970,2404.0820,2426.2240,11127229800.0000,108294703239.0000
2014-09-05,2433.1740,2450.6340,2427.9870,2449.2590,13355176400.0000,123349320057.0000
2014-09-09,2452.2270,2454.8930,2437.0780,2445.2240,11819434400.0000,107795213548.0000
2014-09-10,2435.5930,2437.0810,2422.6460,2432.4330,10917551700.0000,97472682969.0000
2014-09-11,2430.6780,2461.4730,2417.2690,2423.4540,13298258300.0000,127203381658.0000
2014-09-12,2418.7520,2438.3580,2412.6220,2438.3580,10916017000.0000,96625765409.0000
2014-09-15,2433.0010,2439.2540,2418.9590,2437.1890,12224715900.0000,112507690398.0000
2014-09-16,2440.3390,2442.9240,2386.9800,2388.7650,18674279100.0000,147250169859.0000
2014-09-17,2395.3610,2405.3710,2379.0910,2401.3260,12526902800.0000,98039470145.0000
2014-09-18,2396.3790,2414.9460,2389.6220,2408.6640,11592637600.0000,92105332013.0000
2014-09-19,2409.3130,2430.1490,2402.3130,2425.2110,10181357700.0000,88221038707.0000
2014-09-22,2419.3260,2419.3260,2374.1080,2378.9200,10224087000.0000,88958056522.0000
2014-09-23,2379.5210,2402.4820,2379.5210,2399.4620,8403334100.0000,75463683722.0000
2014-09-24,2391.4190,2443.9780,2387.0700,2441.8640,14271353000.0000,120389934642.0000
2014-09-25,2453.4230,2462.6680,2429.5870,2436.9650,13866189100.0000,119612625726.0000
2014-09-26,2430.8080,2439.6490,2420.4990,2437.2010,10029949400.0000,87757377938.0000
2014-09-29,2443.9100,2453.6650,2435.6110,2447.7990,12340172700.0000,111463779824.0000
2014-09-30,2452.1660,2454.8850,2444.2040,2450.9880,11580422900.0000,101906558841.0000
