开始日期,2010-01-01,,,,
截止日期,当前日期,,,,
收盘价,close,,,,
日期,稳定(风格.中信),成长(风格.中信),金融(风格.中信),周期(风格.中信),消费(风格.中信)
Date,CI005921.WI,CI005920.WI,CI005917.WI,CI005918.WI,CI005919.WI
2010-04-22,1973.8772,3294.8132,3982.1674,3244.9487,4531.1536
2010-04-23,1961.5751,3261.9454,3984.2786,3225.231,4490.4148
2010-04-26,1961.0279,3279.4516,3939.9989,3215.2302,4462.829
2010-04-27,1922.6715,3205.9745,3877.6131,3125.4078,4361.2147
2010-04-28,1901.4833,3174.4782,3874.6909,3113.1513,4341.3587
2010-04-29,1866.9883,3062.2515,3871.5982,3042.6606,4227.0278
2010-04-30,1858.9407,2977.6291,3920.0514,3011.3164,4118.269
2010-05-04,1842.569,2980.9586,3791.827,2996.0121,4128.558
2010-05-05,1865.5041,3062.4315,3806.047,3037.8761,4238.1152
2010-05-06,1795.5292,2979.683,3601.4257,2914.6206,4115.8866
2010-05-07,1752.9789,2923.1184,3564.767,2840.9033,4050.2218
2010-05-10,1758.7425,2843.6202,3633.8823,2823.497,4000.1803
2010-05-11,1726.3039,2767.6777,3538.5009,2770.0103,3894.4258
2010-05-12,1723.5511,2697.2044,3621.24,2734.5025,3828.2716
2010-05-13,1749.9839,2780.2848,3684.135,2810.823,3939.3083
2010-05-14,1749.7842,2809.7283,3636.4611,2804.4301,3964.4072
2010-05-17,1660.4049,2639.8693,3441.6116,2635.0973,3755.7514
2010-05-18,1675.6767,2665.152,3555.3492,2672.2255,3788.3249
2010-05-19,1665.2326,2686.7175,3520.9842,2674.6141,3798.3307
2010-05-20,1639.9457,2636.2405,3459.3888,2639.6489,3740.2702
2010-05-21,1654.6201,2687.9734,3518.1875,2689.1188,3806.5651
2010-05-24,1712.9176,2805.0504,3654.4079,2801.648,3959.7583
2010-05-25,1682.81,2795.3107,3557.7304,2762.7796,3923.848
2010-05-26,1690.4912,2802.4613,3560.7148,2766.6136,3916.6443
2010-05-27,1717.8539,2871.0259,3600.7394,2820.935,3986.1817
2010-05-28,1717.1998,2882.3351,3572.2997,2821.9636,4010.803
2010-05-31,1675.0286,2787.5365,3473.6095,2729.9506,3931.576
2010-06-01,1652.1064,2747.1541,3436.5292,2689.6986,3872.0582
2010-06-02,1663.634,2778.9068,3451.4469,2721.9807,3910.1274
2010-06-03,1648.6169,2769.3877,3420.1987,2699.9063,3899.1443
2010-06-04,1653.8727,2795.4898,3436.6239,2706.1671,3937.3936
2010-06-07,1635.6813,2801.0538,3355.2909,2669.533,3945.2478
2010-06-08,1640.6846,2827.7173,3338.3795,2689.3819,3983.1705
2010-06-09,1677.2652,2882.872,3482.0824,2756.1315,4074.1712
2010-06-10,1671.7654,2899.7346,3407.6133,2745.1576,4091.5949
2010-06-11,1671.8428,2881.2943,3421.3039,2755.4293,4061.3728
2010-06-17,1667.3885,2827.2561,3428.377,2732.4221,3978.6623
2010-06-18,1633.4588,2696.2868,3414.9046,2649.6452,3829.0874
2010-06-21,1674.797,2758.2404,3553.673,2725.0659,3924.561
2010-06-22,1682.1322,2768.4432,3555.6399,2736.635,3948.9439
2010-06-23,1672.2289,2762.6248,3535.4697,2703.3069,3940.4996
2010-06-24,1669.8969,2766.324,3545.32,2701.1172,3945.9281
