date,axis,band,long_ret,short_ret
2015-06-16,quality,1000,-0.04064509947000966,-0.03738384593904064
2015-06-17,quality,1000,0.01816194584504436,0.020631307848636638
2015-06-18,quality,1000,-0.03379309266285585,-0.027441624601498103
2015-06-19,quality,1000,-0.06916377290374509,-0.07324853457318652
2015-06-23,quality,1000,0.0029485931041659274,-0.0029284433417706883
2015-06-24,quality,1000,0.024563470874652892,0.02649265742051984
2015-06-25,quality,1000,-0.04168539965060927,-0.036927047485535075
2015-06-26,quality,1000,-0.08307106452557649,-0.08242155726370545
2015-06-29,quality,1000,-0.06840021913472008,-0.07207468852771881
2015-06-30,quality,1000,0.05235669378805904,0.036400011121254426
2015-07-01,quality,1000,-0.05601845133063968,-0.06367040884802419
2015-07-02,quality,1000,-0.06840683423788592,-0.07659662989059839
2015-07-03,quality,1000,-0.06276125004831792,-0.0743287664362401
2015-07-06,quality,1000,-0.033103119862133754,-0.0596954786803589
2015-07-07,quality,1000,-0.06803435218862942,-0.06008750664986291
2015-07-08,quality,1000,-0.03301176247955576,-0.031033698136625206
2015-07-09,quality,1000,0.04516170071150066,0.03207321664300167
2015-07-10,quality,1000,0.04770146904461794,0.036611590484973956
2015-07-13,quality,1000,0.05988892631218594,0.04964880543587653
2015-07-14,quality,1000,0.02750252952851031,0.027919524245047653
2015-07-15,quality,1000,-0.054930448591023646,-0.04716154266809649
2015-07-16,quality,1000,0.02040271330880997,0.011017114495454757
2015-07-17,quality,1000,0.05675837605924068,0.05258108397138554
2015-07-20,quality,1000,0.022093861131349878,0.026663209612686044
2015-07-21,quality,1000,0.01792364703865273,0.021601254861248104
2015-07-22,quality,1000,0.014615659898853628,0.018873585960289593
2015-07-23,quality,1000,0.03184630919538703,0.032722980714547226
2015-07-24,quality,1000,-0.014021968263028107,-0.007910462876828244
2015-07-27,quality,1000,-0.07384052095300078,-0.06943223504200614
2015-07-28,quality,1000,-0.03028504436453158,-0.04088257055590619
2015-07-29,quality,1000,0.04829299093668417,0.04970716698920537
2015-07-30,quality,1000,-0.02929509923754528,-0.020694413814387122
2015-07-31,quality,1000,-0.01368266336913931,-0.019001025507137163
2015-08-03,quality,1000,-0.03827924248832123,-0.042412745122259406
2015-08-04,quality,1000,0.058912749407793306,0.05835664781112538
2015-08-05,quality,1000,-0.003183619085686037,-0.0023987448704065177
2015-08-06,quality,1000,0.0008295088705748909,0.0018073779198873666
2015-08-07,quality,1000,0.03340800281094822,0.03328471648148446
2015-08-10,quality,1000,0.047389095847361826,0.04890278732212897
2015-08-11,quality,1000,0.0065243542727951975,0.009404920447531355
2015-08-12,quality,1000,-0.012127013711639427,-0.00976728983400335
2015-08-13,quality,1000,0.02598034457623768,0.028901463921649117
2015-08-14,quality,1000,0.004268237766989187,0.011832480162656483
2015-08-17,quality,1000,0.018488152254904872,0.024277414189636193
2015-08-18,quality,1000,-0.07089356039606638,-0.07027420432177066
2015-08-19,quality,1000,0.023752582042551134,0.024450189036113824
2015-08-20,quality,1000,-0.033630374925136715,-0.030086386879102596
2015-08-21,quality,1000,-0.06112493342106542,-0.05484945590662962
2015-08-24,quality,1000,-0.08014187264018931,-0.07495416880909814
2015-08-25,quality,1000,-0.07682229622397742,-0.07217803720531148
2015-08-26,quality,1000,-0.03114267047812751,-0.04776433110178558
2015-08-27,quality,1000,0.039614607868159145,0.024577004469269248
2015-08-28,quality,1000,0.06317054509264108,0.058891801120327915
2015-08-31,quality,1000,-0.03876641267844996,-0.0349102915787476
2015-09-01,quality,1000,-0.06841734872203639,-0.0589474744115444
2015-09-02,quality,1000,-0.02462570632458846,-0.04393176578710172
2015-09-07,quality,1000,0.015229307423719158,0.017828406986214858
2015-09-08,quality,1000,0.049375362769203714,0.043598787144843755
2015-09-09,quality,1000,0.037035001624892795,0.03835101048948203
2015-09-10,quality,1000,-0.013950806288430803,-0.017063020932011456
2015-09-11,quality,1000,0.012718150124384132,0.017021866811463636
2015-09-14,quality,1000,-0.07221158901680827,-0.06513722060574065
2015-09-15,quality,1000,-0.05445099198593626,-0.05006231340919607
2015-09-16,quality,1000,0.07125671597304911,0.06536979729403605
2015-09-17,quality,1000,-0.011755551767795526,-0.01035192468868826
2015-09-18,quality,1000,0.017126445542488624,0.016012239848840985
2015-09-21,quality,1000,0.0372337181072075,0.03438284653437272
2015-09-22,quality,1000,0.006317985695075147,0.00981335292092785
2015-09-23,quality,1000,-0.008502149482611647,-0.01120817705223541
2015-09-24,quality,1000,0.012872174210592493,0.013896318859596626
2015-09-25,quality,1000,-0.03278589368645002,-0.029449936189182097
2015-09-28,quality,1000,0.023744286546742828,0.015693385413609505
2015-09-29,quality,1000,-0.015177550918043249,-0.019680092240208384
2015-09-30,quality,1000,0.0012042039119688713,-0.0011130198461900072
2015-10-08,quality,1000,0.043207763774811996,0.03968720452497935
2015-10-09,quality,1000,0.015600034855801742,0.01690049688856792
2015-10-12,quality,1000,0.03971751555697853,0.04221323504591718
2015-10-13,quality,1000,0.014378259226449629,0.01642976087643971
2015-10-14,quality,1000,-0.016268397446098735,-0.011599949929913254
2015-10-15,quality,1000,0.03346692262757542,0.03354768030116336
2015-10-16,quality,1000,0.01407954735842151,0.01803342014136456
2015-10-19,quality,1000,-0.0013358362583574918,0.0033938338811960616
2015-10-20,quality,1000,0.017709190674352362,0.016589783311139545
2015-10-21,quality,1000,-0.06431393216178997,-0.06171434954792078
2015-10-22,quality,1000,0.039829078367601016,0.04261970854271389
2015-10-23,quality,1000,0.031612462377270736,0.03336131442062698
2015-10-26,quality,1000,0.00725335739418636,0.008691442648493496
2015-10-27,quality,1000,0.0076357586294250514,0.006692737407160271
2015-10-28,quality,1000,-0.020432692766097032,-0.017686156767226225
2015-10-29,quality,1000,0.011005171984047974,0.015212063317909717
2015-10-30,quality,1000,-0.004301769915441922,-0.0038175039999690788
2015-11-02,quality,1000,-0.02579780459744577,-0.02925844361606888
2015-11-03,quality,1000,-0.004205791717400719,-0.003388855832009065
2015-11-04,quality,1000,0.05148345488520436,0.049220240687322885
2015-11-05,quality,1000,-0.0011903096912644232,0.0051197679660950806
2015-11-06,quality,1000,0.023534663378263324,0.021283479555877415
2015-11-09,quality,1000,0.017194096554932675,0.011763285510644681
2015-11-10,quality,1000,0.00832485221378894,0.011350245334257412
2015-11-11,quality,1000,0.017509291727865302,0.015529692586040283
2015-11-12,quality,1000,0.00026677955205845996,0.004487148592603496
2015-11-13,quality,1000,-0.020621824315334623,-0.010617707300743394
2015-11-16,quality,1000,0.02244986303853495,0.022641572860520133
2015-11-17,quality,1000,-0.006305382182852941,-0.007344131957306681
2015-11-18,quality,1000,-0.016511210904642974,-0.019484158122781467
2015-11-19,quality,1000,0.026186665274485488,0.027425661032624272
2015-11-20,quality,1000,0.013788566735700484,0.015561622574903917
2015-11-23,quality,1000,-0.007381203851556173,-0.008034746624267826
2015-11-24,quality,1000,0.01269504455290158,0.010951080161284443
2015-11-25,quality,1000,0.019646426700195212,0.01891215695091651
2015-11-26,quality,1000,-0.0033541489654196404,-0.005501339726945338
2015-11-27,quality,1000,-0.06152827998742074,-0.05973359796637282
2015-11-30,quality,1000,0.007116851543109969,0.005959043390145951
2015-12-01,quality,1000,0.002770932520178307,-0.0005741352195979796
2015-12-02,quality,1000,-0.01182926594040698,-0.010086306797870382
2015-12-03,quality,1000,0.02446255565739125,0.027427202808044428
2015-12-04,quality,1000,-0.00388857827293828,-0.0032958398996178113
2015-12-07,quality,1000,0.012723521193892449,0.013357559425557011
2015-12-08,quality,1000,-0.02196653537054863,-0.02050361701472475
2015-12-09,quality,1000,-0.0017456404424102815,-0.0019089696900114821
2015-12-10,quality,1000,-0.0009981697673191185,-0.003434998492683018
2015-12-11,quality,1000,-0.009073379081497636,-0.011021558548054039
2015-12-14,quality,1000,0.01733671083896633,0.01937988520468741
2015-12-15,quality,1000,0.011889667514773992,0.012482877616793543
2015-12-16,quality,1000,0.004635835249441639,0.008335341592211581
2015-12-17,quality,1000,0.030035646263086736,0.026946712807740608
2015-12-18,quality,1000,-0.0022541772609266995,-0.00042020456450151956
2015-12-21,quality,1000,0.014008254404940865,0.00763729500092112
2015-12-22,quality,1000,0.009914475319468194,0.011099750978560223
2015-12-23,quality,1000,-0.01243061142346234,-0.014458206631069745
2015-12-24,quality,1000,-0.005519288189476434,-0.000952403299402705
2015-12-25,quality,1000,0.005819468683997066,0.007258310235846426
2015-12-28,quality,1000,-0.020339716820009967,-0.024332556741135616
2015-12-29,quality,1000,0.014271770054076269,0.011915476134052945
2015-12-30,quality,1000,0.01259545901620871,0.009432859432256765
2015-12-31,quality,1000,-0.01784455314441968,-0.019079196249573733
2016-01-04,quality,1000,-0.0849271952282614,-0.08825071668660579
2016-01-05,quality,1000,-0.01563565316335899,-0.025361737261133614
2016-01-06,quality,1000,0.026981652267575713,0.036364138045451556
2016-01-07,quality,1000,-0.08589561595460288,-0.08763510514915762
2016-01-08,quality,1000,0.011166460298920534,0.0153738465084194
2016-01-11,quality,1000,-0.07167819827138053,-0.06897966526830872
2016-01-12,quality,1000,0.0018002913175574342,-0.0021783532719641253
