universe,block,target,beta_style,beta_rotation,r2_full,r2_style_only,r2_rotation_only,n,signal,ic_monthly_pearson,ic_monthly_spearman,n_months,ic_d5_spearman,ic_d10_spearman,ic_d20_spearman
U0,variance,300pair,0.8413542253009785,0.8127192049199894,0.4378338487749278,0.3831585819038774,0.34179166143166717,3027.0,,,,,,,
U0,variance,500pair,0.6673609286805929,0.9431127119285496,0.5386792428947788,0.43819537722778434,0.45621131047397423,3027.0,,,,,,,
U0,variance,1000pair,0.8502600269688878,1.3899120857195062,0.6805240414700807,0.5358667609838392,0.5917954527781389,3027.0,,,,,,,
U0,variance,2000pair,0.4486355605034602,1.0252379109639524,0.5547636071173715,0.40272928277988185,0.5070464964454449,3027.0,,,,,,,
U0,variance,blend,0.7019026853634794,1.0427454783829995,0.6899170649352038,0.555130035257093,0.5898157699810119,3027.0,,,,,,,
U0,ic,blend,,,,,,,v1_mixed,0.09060204065646116,0.10877199346998005,149.0,0.09487298643798224,0.1118880876559304,0.05360799638402651
U0,ic,500pair,,,,,,,v1_mixed,0.061236680645155375,0.06375838926174497,149.0,0.060634184282705485,0.058343538870171865,-0.010134911085498341
U0,ic,1000pair,,,,,,,v1_mixed,0.07422638139491206,0.07907128605115182,149.0,0.08009556073525734,0.08007460599906564,0.0337346934741771
U0,ic,blend,,,,,,,v2_pure_style,0.11491381735069174,0.13174315254852167,149.0,0.08853395190786302,0.1038043640349638,0.048517983773624054
U0,ic,500pair,,,,,,,v2_pure_style,0.09056299629101325,0.10379829493923454,149.0,0.05366651639464126,0.05800338188678759,-0.0024612155342464814
U0,ic,1000pair,,,,,,,v2_pure_style,0.09788986725829266,0.10404861237076003,149.0,0.07059269253792243,0.07290525216543792,0.030726139528004112
U0,ic,blend,,,,,,,rotation,0.07216464132056756,0.08036640667513151,149.0,0.09761602863518994,0.11284697545646137,0.06529258126121226
U0,ic,500pair,,,,,,,rotation,0.04372372595754676,0.029512062397968438,149.0,0.06779956389288282,0.05558105540235324,-0.0009722129480328518
U0,ic,1000pair,,,,,,,rotation,0.0550081652798475,0.05395247596589879,149.0,0.07944916415023684,0.07407574101569663,0.03290607790214559
