date,factor_value_raw,factor_value
2013-06-03,0.0,0.0
2013-06-04,0.0,0.0
2013-06-05,0.0,0.0
2013-06-06,0.0,0.0
2013-06-07,0.0,0.0
2013-06-13,0.0,0.0
2013-06-14,0.0,0.0
2013-06-17,0.0,0.0
2013-06-18,0.0,0.0
2013-06-19,0.0,0.0
2013-06-20,0.0,0.0
2013-06-21,0.0,0.0
2013-06-24,0.0,0.0
2013-06-25,0.0,0.0
2013-06-26,0.0,0.0
2013-06-27,0.0,0.0
2013-06-28,0.0,0.0
2013-07-01,0.0,0.0
2013-07-02,0.0,0.0
2013-07-03,0.0,0.0
2013-07-04,0.0,0.0
2013-07-05,0.0,0.0
2013-07-08,0.0,0.0
2013-07-09,0.0,0.0
2013-07-10,0.0,0.0
2013-07-11,0.0,0.0
2013-07-12,0.0,0.0
2013-07-15,0.0,0.0
2013-07-16,0.0,0.0
2013-07-17,0.0,0.0
2013-07-18,0.0,0.0
2013-07-19,0.0,0.0
2013-07-22,0.0,0.0
2013-07-23,0.0,0.0
2013-07-24,0.0,0.0
2013-07-25,0.0,0.0
2013-07-26,0.0,0.0
2013-07-29,0.0,0.0
2013-07-30,0.0,0.0
2013-07-31,0.11761192218673436,0.02352238443734687
2013-08-01,0.18240329465929672,0.06000304336920621
2013-08-02,0.28642835754339246,0.1172887148778847
2013-08-05,0.17697829068341017,0.15268437301456675
2013-08-06,0.15366047996423463,0.18341646900741365
2013-08-07,0.06431747190010341,0.17275757895008748
2013-08-08,0.33162317238470473,0.2026015544951691
2013-08-09,-0.03778330216434974,0.13775922255362064
2013-08-12,-0.5425802490207439,-0.006152485387210182
2013-08-13,-0.6720708524022398,-0.17129875186050508
2013-08-14,-0.5395885989640057,-0.29207996603332687
2013-08-15,-0.6780172543764393,-0.4940080513855557
2013-08-16,-0.8287566802402986,-0.6522027270007456
2013-08-19,-0.8379716453433591,-0.7112810062652685
2013-08-20,-0.7451727701462885,-0.7259013898140783
2013-08-21,-0.7859749247076961,-0.7751786549628163
2013-08-22,-0.6569982186953814,-0.7709748478266047
2013-08-23,-0.6009668549546537,-0.7254168827694757
2013-08-26,-0.6834054872251951,-0.694503651145843
2013-08-27,-0.6654590297037546,-0.6785609030573362
2013-08-28,-0.7223641004223977,-0.6658387382002765
2013-08-29,-0.7670699247674023,-0.6878530794146807
2013-08-30,-0.8571836949569066,-0.7390964474151314
2013-09-02,-0.7923837494640945,-0.7608920998629112
2013-09-03,-0.7578596652611183,-0.7793722269743839
2013-09-04,-0.7085062724971798,-0.7766006613893404
2013-09-05,-0.6345700853430267,-0.7501006935044652
2013-09-06,-0.5415885608398104,-0.686981666681046
2013-09-09,-0.5438409254718682,-0.6372731018826008
2013-09-10,-0.5862433459718568,-0.6029498380247483
2013-09-11,-0.7190147598844481,-0.605051535502202
2013-09-12,-0.7168428788824708,-0.6215060942100908
2013-09-13,-0.5721627974207238,-0.6276209415262736
2013-09-16,-0.5666215008501401,-0.6321770566019278
2013-09-17,-0.5440834699506123,-0.623745081397679
2013-09-18,-0.511210416872146,-0.5821842127952186
2013-09-23,-0.4872585402406179,-0.536267345066848
2013-09-24,-0.45541987093650743,-0.5129187597700047
2013-09-25,-0.4383537724590201,-0.48726521409178075
2013-09-26,-0.2818972647944472,-0.4348279730605477
2013-09-27,-0.11283369195539379,-0.35515262807719733
2013-09-30,0.020668206664344206,-0.2535672786962049
2013-10-08,0.4153325525348843,-0.07941679400192651
2013-10-09,0.4877820107571332,0.10581036264130414
2013-10-10,0.5303618901277949,0.2682621936257526
2013-10-11,0.480851102152847,0.3869991524474007
2013-10-14,0.41283447523822986,0.46543240616217785
2013-10-15,0.34648084156758796,0.45166206396871855
2013-10-16,0.4593090350802061,0.44596746883333316
2013-10-17,0.5704573389092866,0.45398655858963155
2013-10-18,0.8327764836841665,0.5243716348958953
2013-10-21,0.858259909504652,0.6134567217491799
2013-10-22,0.7264357943795,0.6894477123115623
2013-10-23,0.5900069259385786,0.7155872904832367
2013-10-24,0.46401245297861293,0.6942983132971021
2013-10-25,0.30750295665487837,0.5892436078912444
2013-10-28,0.30196578606779356,0.4779847832038727
2013-10-29,0.05302913189044445,0.3433034507060616
2013-10-30,0.02392911405027922,0.23008788832840174
2013-10-31,-0.2531689720850103,0.08665160331567705
2013-11-01,-0.32397164649083116,-0.039643317313464856
2013-11-04,-0.31295781697781694,-0.16262803792258693
2013-11-05,-0.2144067633619983,-0.2161152169730755
2013-11-06,-0.3428322850631322,-0.28946749679575773
2013-11-07,-0.4513011422512642,-0.3290939308290085
2013-11-08,-0.3790097814479079,-0.34010155782042395
2013-11-11,-0.39383786852183317,-0.3562775681292272
2013-11-12,-0.3426071599518604,-0.3819176474471996
2013-11-13,-0.1760277505937086,-0.34855674055331487
2013-11-14,-0.01613776518365264,-0.26152406513979254
2013-11-15,-0.10432359803453975,-0.20658682845711893
2013-11-18,-0.1884000199587645,-0.1654992587445052
2013-11-19,-0.036352311531328625,-0.10424828906039882
2013-11-20,0.12688396908434413,-0.04366594512478828
2013-11-21,0.05069472891452417,-0.03029944630515291
2013-11-22,0.2163064962970387,0.033826572561162775
2013-11-25,0.14396909861047824,0.10030039627501133
2013-11-26,0.31124272809381537,0.1698194042000401
2013-11-27,0.44915829574315885,0.23427426953180305
2013-11-28,0.5671276446786542,0.3375608526846291
2013-11-29,0.6843261344355571,0.4311647803123327
2013-12-02,0.2566443499111996,0.453699830572477
2013-12-03,-0.0015621774360030686,0.39113884946651334
2013-12-04,-0.19607155988356137,0.2620928783411693
2013-12-05,-0.21921265359987704,0.10482481868546305
2013-12-06,-0.1934795489245162,-0.07073631798655161
2013-12-09,-0.12650762119385972,-0.14736671220756348
2013-12-10,-0.19302088050163696,-0.18565845282069024
2013-12-11,-0.14259653228546096,-0.17496344730107016
2013-12-12,-0.1112670503617479,-0.15337432665344433
2013-12-13,-0.17269590736918305,-0.14921759834237772
2013-12-16,-0.14731959173367154,-0.1533799924503401
2013-12-17,-0.11799553354715164,-0.13837492305944302
2013-12-18,-0.2758233428808114,-0.1650202851785131
2013-12-19,-0.12426446527861015,-0.16761976816188556
2013-12-20,-0.03996458746162561,-0.14107350418037407
2013-12-23,0.12753864047549696,-0.08610185773854037
2013-12-24,0.1974394623468149,-0.02301485855974706
2013-12-25,0.2847186292443936,0.08909353586529394
2013-12-26,0.42686112851271024,0.199318654623558
2013-12-27,0.17439525411399828,0.24219062293868282
2013-12-30,0.7067759616059645,0.35803808716477625
2013-12-31,0.7538113805539584,0.469312470806205
2014-01-02,0.861274374050165,0.5846236197673592
2014-01-03,0.9180934042657701,0.6828700749179712
2014-01-06,0.8943009458910053,0.8268512132733725
2014-01-07,0.8742596843841922,0.8603479578290182
2014-01-08,0.8912905129502228,0.8878437843082712
2014-01-09,0.8222672442701638,0.8800423583522707
2014-01-10,0.7222256229799373,0.8408688020951043
2014-01-13,0.7094263212463052,0.8038938771661643
2014-01-14,0.6889420459226957,0.766830349473865
2014-01-15,0.7190804224075208,0.7323883313653246
2014-01-16,0.6922462079889248,0.7063841241090767
2014-01-17,0.6745468821827542,0.6968483759496401
2014-01-20,0.6183709152042043,0.6786372947412199
2014-01-21,0.5211729595326657,0.645083477463214
2014-01-22,0.4669265988583655,0.5946527127533829
2014-01-23,0.4641335396155465,0.5490301790787072
2014-01-24,0.4758849215988969,0.5092977869619358
2014-01-27,0.5176392845087608,0.4891514608228471
2014-01-28,0.497253790845992,0.48436762708551234
2014-01-29,0.537574317595148,0.4984971708328688
2014-01-30,0.4662312415362051,0.4989167112170005
2014-02-07,0.424026592112544,0.48854504531973
2014-02-10,0.4280108495896622,0.47061935833591023
2014-02-11,0.26549432451929217,0.4242674650705703
2014-02-12,0.12077535095164267,0.3409076717418692
2014-02-13,0.0576651755567717,0.25919445854598255
2014-02-14,0.157041031655313,0.20579734645453635
2014-02-17,0.23570680511551154,0.1673365375597062
2014-02-18,0.21460813956317365,0.15715930056848254
2014-02-19,-0.049641980845346975,0.12307583420908459
2014-02-20,-0.21195258314105814,0.06915228246951861
2014-02-21,-0.13089578715418546,0.011564918707618926
2014-02-24,0.2842862007808904,0.0212807978406947
2014-02-25,0.03470146910698689,-0.014700536250542653
2014-02-26,0.0005119330549484974,-0.004669753470483559
2014-02-27,-0.48824388833972104,-0.05992801451021614
2014-02-28,-0.680760605549414,-0.16990097818926184
2014-03-03,-0.7114265191533942,-0.36904352217611874
2014-03-04,-0.7340963740309864,-0.5228030908037133
2014-03-05,-0.8344291919964052,-0.6897913158139841
2014-03-06,-0.8786099868887797,-0.767864535523796
2014-03-07,-0.8294817508260662,-0.7976087645791263
2014-03-10,-0.8435500653269239,-0.8240334738138323
2014-03-11,-0.8274398304355495,-0.8427021650947448
2014-03-12,-0.8438688937562195,-0.8445901054467078
2014-03-13,-0.7802601146603972,-0.8249201310010312
2014-03-14,-0.7604701161831912,-0.8111178040724563
2014-03-17,-0.735855863591132,-0.7895789637252979
2014-03-18,-0.7308631368033661,-0.7702636249988613
2014-03-19,-0.6910086752544473,-0.7396915812985068
2014-03-20,-0.6212148534218801,-0.7078825290508033
2014-03-21,-0.7600449055599211,-0.7077974869261492
2014-03-24,-0.8857578923102875,-0.7377778926699804
2014-03-25,-0.8162211746412302,-0.7548495002375532
2014-03-26,-0.744642281449284,-0.7655762214765206
2014-03-27,-0.7009233667073497,-0.7815179241336145
2014-03-28,-0.7614305825046904,-0.7817950595225683
2014-03-31,-0.7700378228467373,-0.7586510456298583
2014-04-01,-0.7147507825185143,-0.7383569672053152
2014-04-02,-0.7418304342788433,-0.737794597771227
2014-04-03,-0.6098761284996105,-0.7195851501296792
2014-04-04,-0.6194878406600481,-0.6911966017607506
2014-04-08,-0.5812452050115539,-0.653438078193714
2014-04-09,-0.41350238757715185,-0.5931883992054415
2014-04-10,-0.3427020000714984,-0.5133627123639726
2014-04-11,-0.3393166040436843,-0.45925080747278735
2014-04-14,-0.331528605347606,-0.40165896041029886
2014-04-15,-0.3186260321125886,-0.3491351258305058
