rho,delta,power,approx_n,years_245,approx_mde_504
0.5,0.4,0.8,14562,59.436734693877554,2.153178001530074
0.8,0.4,0.8,5826,23.779591836734692,1.3617386462002747
0.95,0.4,0.8,1458,5.951020408163266,0.6808150579359007
0.99,0.4,0.8,293,1.1959183673469387,0.3044525811064237
