comparison,n,return_correlation,sharpe_difference_ddof0,if_acf1,if_acf20,if_acf60,used_for_method_selection
C1,504,0.09929696152794237,0.9883539725131552,-0.02283976756392623,-0.05953595087793616,0.018657991627503,False
C2,504,0.989359753306876,-0.10951757035547116,-0.06354313718518874,-0.022694518411267062,0.03039010608460825,False
