pit_policy,formation_date,required_formation,affects_final,check,side,eligible_count,max_weight,status,reason_code,detail
legal_deadline,2014-05-30,False,False,model_exclusion,DATA_MISSING_CLOSE,2.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2014-05-30,False,False,model_exclusion,LISTED_LT_180D,49.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-05-30,False,False,model_exclusion,MISSING_STYLE_SCORE,593.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2014-05-30,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,203.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-05-30,False,False,close_carry_forward,INTERVAL_SUSPENSION_CARRY_FORWARD,3.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-05-30,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,q1000 index members are missing
legal_deadline,2014-06-30,False,False,size_exclusion,ELIGIBLE,2465.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-06-30,False,False,size_exclusion,DATA_MISSING_CLOSE,2.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2014-06-30,False,False,size_exclusion,LISTED_LT_180D,52.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-06-30,False,False,model_exclusion,ELIGIBLE,1871.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-06-30,False,False,model_exclusion,DATA_MISSING_CLOSE,2.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2014-06-30,False,False,model_exclusion,LISTED_LT_180D,52.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-06-30,False,False,model_exclusion,MISSING_STYLE_SCORE,594.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2014-06-30,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,216.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-06-30,False,False,close_carry_forward,INTERVAL_SUSPENSION_CARRY_FORWARD,3.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-06-30,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,q1000 index members are missing
legal_deadline,2014-07-31,False,False,size_exclusion,ELIGIBLE,2508.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-07-31,False,False,size_exclusion,DATA_MISSING_CLOSE,2.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2014-07-31,False,False,size_exclusion,LISTED_LT_180D,18.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-07-31,False,False,model_exclusion,ELIGIBLE,1878.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-07-31,False,False,model_exclusion,DATA_MISSING_CLOSE,2.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2014-07-31,False,False,model_exclusion,LISTED_LT_180D,18.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-07-31,False,False,model_exclusion,MISSING_STYLE_SCORE,630.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2014-07-31,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,207.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-07-31,False,False,close_carry_forward,INTERVAL_SUSPENSION_CARRY_FORWARD,4.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-07-31,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,q1000 index members are missing
legal_deadline,2014-08-29,False,False,size_exclusion,ELIGIBLE,2515.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-08-29,False,False,size_exclusion,LISTED_LT_180D,22.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-08-29,False,False,model_exclusion,ELIGIBLE,1952.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-08-29,False,False,model_exclusion,LISTED_LT_180D,22.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-08-29,False,False,model_exclusion,MISSING_STYLE_SCORE,563.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2014-08-29,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,225.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-08-29,False,False,close_carry_forward,INTERVAL_SUSPENSION_CARRY_FORWARD,4.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-08-29,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,q1000 index members are missing
legal_deadline,2014-09-30,False,False,size_exclusion,ELIGIBLE,2515.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-09-30,False,False,size_exclusion,LISTED_LT_180D,33.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-09-30,False,False,model_exclusion,ELIGIBLE,1953.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-09-30,False,False,model_exclusion,LISTED_LT_180D,33.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-09-30,False,False,model_exclusion,MISSING_STYLE_SCORE,562.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2014-09-30,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,214.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-09-30,False,False,close_carry_forward,INTERVAL_SUSPENSION_CARRY_FORWARD,4.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-09-30,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,q1000 index members are missing
legal_deadline,2014-10-31,True,False,size_exclusion,ELIGIBLE,2515.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-10-31,True,False,size_exclusion,LISTED_LT_180D,48.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-10-31,True,False,model_exclusion,ELIGIBLE,2131.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-10-31,True,False,model_exclusion,LISTED_LT_180D,48.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-10-31,True,False,model_exclusion,MISSING_STYLE_SCORE,384.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2014-10-31,True,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,234.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-10-31,True,False,close_carry_forward,INTERVAL_SUSPENSION_CARRY_FORWARD,4.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-10-31,True,True,style,plus,1072.0,0.003340770996325011,OK,,
legal_deadline,2014-10-31,True,True,style,minus,1059.0,0.0032167011536007083,OK,,
legal_deadline,2014-10-31,True,True,size,plus,1396.0,0.002246281449778053,OK,,
legal_deadline,2014-10-31,True,True,size,minus,1119.0,0.00297944557179662,OK,,
legal_deadline,2014-10-31,True,True,interaction,plus,1089.0,0.0032487966588710055,OK,,
legal_deadline,2014-10-31,True,True,interaction,minus,1042.0,0.00336476690182701,OK,,
legal_deadline,2014-10-31,True,True,qblend,plus,1063.0,0.0035613779126679817,OK,,
legal_deadline,2014-10-31,True,True,qblend,minus,1068.0,0.0030236080759964428,OK,,
legal_deadline,2014-10-31,True,True,q500,plus,1029.0,0.004613184258310113,OK,,
legal_deadline,2014-10-31,True,True,q500,minus,1102.0,0.004067441918964414,OK,,
legal_deadline,2014-10-31,True,True,q1000,plus,1089.0,0.0037985512823350332,OK,,
legal_deadline,2014-10-31,True,True,q1000,minus,1042.0,0.0039481613563646985,OK,,
legal_deadline,2014-11-28,True,False,size_exclusion,ELIGIBLE,2515.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-11-28,True,False,size_exclusion,LISTED_LT_180D,56.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-11-28,True,False,model_exclusion,ELIGIBLE,2131.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-11-28,True,False,model_exclusion,LISTED_LT_180D,56.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-11-28,True,False,model_exclusion,MISSING_STYLE_SCORE,384.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2014-11-28,True,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,262.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-11-28,True,False,close_carry_forward,INTERVAL_SUSPENSION_CARRY_FORWARD,4.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2014-11-28,True,True,style,plus,1076.0,0.0031963549805995887,OK,,
legal_deadline,2014-11-28,True,True,style,minus,1055.0,0.0032734495258141395,OK,,
legal_deadline,2014-11-28,True,True,size,plus,1414.0,0.002212720582025959,OK,,
legal_deadline,2014-11-28,True,True,size,minus,1101.0,0.0030213098402130803,OK,,
legal_deadline,2014-11-28,True,True,interaction,plus,1094.0,0.003240846922650958,OK,,
legal_deadline,2014-11-28,True,True,interaction,minus,1037.0,0.0033187775373390736,OK,,
