date,ret,equity
2015-04-16,0.0,1.0
2015-04-17,-0.00014999999999998348,0.99985
2015-04-20,0.008761019899034217,1.0086097057460495
2015-04-21,-0.03430390329134436,0.9740104559414257
2015-04-22,-0.0029551937080041224,0.9711320663704973
2015-04-23,-0.00449285524498777,0.9667689105725288
2015-04-24,-0.0036003821919644574,0.9632881730031586
2015-04-27,-0.001155815956184747,0.9621747891623975
2015-04-28,0.011513716006480879,0.9732529964334089
2015-04-29,-0.009268902659932077,0.9642320091459804
2015-04-30,-0.0021237692916168394,0.9621842028149622
2015-05-04,-0.0004841663488255321,0.9617183456025876
2015-05-05,0.011622757416007268,0.9728961646360503
2015-05-06,0.006214720238877369,0.9789424421207402
2015-05-07,0.007868716148083266,0.9866454623230997
2015-05-08,-0.01620697720970099,0.9706549218011743
2015-05-11,-0.019072180651686255,0.9521424157821339
2015-05-12,0.0037254811665985432,0.9556896044200498
2015-05-13,0.0016503788346138304,0.9572668543156451
2015-05-14,0.0045802168813735555,0.9616513441217609
2015-05-15,-0.0032357019292992284,0.958539727012273
2015-05-18,0.02449286503499315,0.9820171111766638
2015-05-19,0.030356947812943735,1.0118281533720714
2015-05-20,0.019737510031422323,1.0317991216993283
2015-05-21,0.04227919371776001,1.0754227566434689
2015-05-22,0.006859487835674027,1.0827996059608718
2015-05-25,0.02194089867277582,1.106557202398181
2015-05-26,0.046146169409094995,1.1576205785209015
2015-05-27,0.007631959718659154,1.166455492145664
2015-05-28,-0.05638727710314462,1.1006822430815615
2015-05-29,0.013718263588168522,1.115781692218971
2015-06-01,0.06931480547295443,1.193121883165413
2015-06-02,0.03082507994469119,1.2298999605977472
2015-06-03,-0.0024269284846597516,1.2269150813500906
2015-06-04,-0.011090143503382888,1.2133084170314534
2015-06-05,0.010572675290945632,1.2261363329524981
2015-06-08,-0.014585459756314645,1.2082525708124643
2015-06-09,0.00417890144178279,1.2133017392226702
2015-06-10,0.011948698592921358,1.227799116006909
2015-06-11,-0.011402147172490773,1.2137995697879442
2015-06-12,-0.006842063997701042,1.2054946754510731
2015-06-15,0.007870540054184305,1.2149825695793166
2015-06-16,0.015814939070942557,1.2341974448894708
2015-06-17,-0.008336750789365577,1.2239082483665555
2015-06-18,0.014767630286193878,1.241982472882656
2015-06-19,0.02630063292999152,1.274647398007426
2015-06-23,0.006137342987451833,1.2824703462770606
2015-06-24,-0.009608663989089772,1.2701475196437126
2015-06-25,0.03224035111976131,1.31109752165092
2015-06-26,0.03976266737585887,1.3632302563016383
2015-06-29,0.051356121469352756,1.433240474934962
2015-06-30,-0.04009480788693187,1.3757749734366698
2015-07-01,0.052059811292989755,1.4473975589354007
2015-07-02,-0.011469970468101498,1.4307959516788094
2015-07-03,0.01844603213129936,1.4571884597768097
2015-07-06,-0.002599391732572842,1.4534006561416652
2015-07-07,0.06766716839954934,1.5517481630928187
2015-07-08,0.049277660938283674,1.6282146829353112
2015-07-09,-0.059565811401336655,1.5312287542106993
2015-07-10,-0.038973218823676326,1.4715518409037405
2015-07-13,-0.0010419103644183636,1.470018615788924
2015-07-14,0.008552399367554697,1.4825908020688907
2015-07-15,0.007885972097228633,1.4942824717656138
2015-07-16,-0.021318227664472,1.4624270178374845
2015-07-17,-0.017455257585216488,1.4368999775415512
2015-07-20,-0.0037866824053609527,1.431458893678331
2015-07-21,0.017217569291773094,1.4561051363685624
2015-07-22,0.01121487731209303,1.4724351768264443
2015-07-23,0.05208373153973156,1.54912509528593
2015-07-24,-0.029140165643883997,1.5039833334062003
2015-07-27,-0.07587199188749816,1.3898731221350726
2015-07-28,-0.024712667875041228,1.355525649279302
2015-07-29,0.056532651042688675,1.4321571077894228
2015-07-30,-0.028295950122256164,1.3916328617001787
2015-07-31,0.010329285595761073,1.4060074349731262
2015-08-03,-0.020435120592824263,1.3772755034850428
2015-08-04,0.0370230945877279,1.42826650472393
2015-08-05,-0.010317464869657678,1.4135304152369321
2015-08-06,0.003592736314530054,1.4186088572914466
2015-08-07,0.018268846042748477,1.4445252041001835
2015-08-10,-0.028547579257659828,1.4032875063464463
2015-08-11,0.0067490995810546295,1.4127584334676282
2015-08-12,-0.006581594034748561,1.403460230989377
2015-08-13,0.014740995949109381,1.4241486325691275
2015-08-14,0.0028216042481881143,1.428167016400836
2015-08-17,0.01439805238229419,1.4487298399136401
2015-08-18,-0.04668105567858305,1.3811016015934068
2015-08-19,-0.020109978007336493,1.3533276787594661
2015-08-20,0.008599468031998292,1.3649655768697766
2015-08-21,0.02018210585910296,1.3925134566361939
2015-08-24,0.04244756739572009,1.4516222654362059
2015-08-25,0.04697810777935896,1.5198167326767853
2015-08-26,0.03961781857546254,1.5800285562599266
2015-08-27,-0.05021138121625035,1.5006931400889978
2015-08-28,-0.039036135863147026,1.442111878783591
2015-08-31,0.03213968083110186,1.4884608942904363
