name,window,start,end,n,ann,cagr,sharpe,maxdd,vol,es05,worst_day,cost_ann,turnover_ann,rolls,gross_notional_max
spot_close_3bps,full,2015-04-16,2026-09-11,2776,0.17837886277140044,0.1773289604361408,1.028158217951059,-0.19927202131608435,0.1734935923839412,-0.027441746733486653,-0.08717100094669827,0.0032820526349799633,10.940175449933212,0.0,1.0003000900270083
spot_close_3bps,dual_listed,2022-07-25,2026-09-11,1005,0.1690718784180061,0.16857207633185894,1.0344165028948547,-0.1965130727324208,0.16344661743587027,-0.02429653384788503,-0.07237433051084108,0.003050696993314127,10.168989977713757,0.0,1.0003000900270083
spot_close_3bps,2015-2020,2015-04-16,2020-12-31,1395,0.2029927827915507,0.20338861355147048,1.0798206024154007,-0.19927202131608435,0.1879875067557385,-0.03068942784561,-0.08717100094669827,0.0036848410964857563,12.28280365495252,0.0,1.0003000900270083
spot_close_3bps,2021-2023,2021-01-04,2023-12-29,727,0.09150433929047005,0.08704914155520403,0.7235008026688329,-0.15027062025327664,0.12647441295563322,-0.021543595245848847,-0.05268863973850968,0.0025782330298523646,8.594110099507882,0.0,1.0003000900270083
spot_close_3bps,2024-2026,2024-01-02,2026-09-11,654,0.22244822078749638,0.22781521261403628,1.1951798129912898,-0.15991070422415987,0.18612113287853663,-0.02649607023129284,-0.07237433051084108,0.0032052742697310094,10.684247565770033,0.0,1.0003000900270083
futures_close_3bps,full,2015-04-16,2026-09-11,2776,0.3747223549230143,0.39484825701626197,1.2953257035821082,-0.3960896457890256,0.2892881333912799,-0.041001913083771886,-0.12604382404690873,0.014016067698893268,46.72022566297756,155.0,1.000658083625903
futures_close_3bps,dual_listed,2022-07-25,2026-09-11,1005,0.3648159502557405,0.396717064278854,1.4752114323992702,-0.3445113067724206,0.24729739903276593,-0.032072414690208204,-0.12604382404690873,0.010931371271094356,36.4379042369812,56.0,1.0006266670208908
futures_close_3bps,2015-2020,2015-04-16,2020-12-31,1395,0.4397685167346548,0.46770789401620855,1.314266270436678,-0.3960896457890256,0.3346114304436477,-0.04945671554784796,-0.10153281196052755,0.01689945533061849,56.3315177687283,84.0,1.000658083625903
futures_close_3bps,2021-2023,2021-01-04,2023-12-29,727,0.16611499125108495,0.16224269602977956,0.9367087992152177,-0.1654668058503992,0.17733898879807417,-0.02546334954740381,-0.07198613653994745,0.011910857379724244,39.70285793241414,46.0,1.0006147797429594
futures_close_3bps,2024-2026,2024-01-02,2026-09-11,654,0.4678693849876233,0.5326179526135219,1.6400113657375588,-0.3445113067724207,0.28528423324506014,-0.03654089189488334,-0.12604382404690873,0.010205918089992947,34.01972696664315,25.0,1.0006266670208908
two_pool_spotclose_futclose_3bps_separate,full,2015-04-16,2026-09-11,2776,0.30749754382088434,0.32800014913107317,1.413059619085707,-0.29613563594906533,0.21761116068113587,-0.03090536468522315,-0.10587979807782155,,,,
two_pool_spotclose_futclose_3bps_separate,dual_listed,2022-07-25,2026-09-11,1005,0.3267861495196523,0.35345615232451083,1.4899646436086398,-0.2961356359490652,0.2193247678201197,-0.028525605997076715,-0.10587979807782155,,,,
