date,ret,equity,gross_pnl,pre_fill_pnl,post_fill_pnl,cost,cost_return,trade_notional,turnover,net_notional,gross_notional,rolls,symbols,decision_signal
2015-04-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-17,-0.005687904687904699,0.9943120953120953,-0.004687904687904664,0.0,-0.004687904687904664,0.001,0.001,1.0,1.0,-1.0104351635917217,1.0104351635917217,0,IC1505.CFE,-1.0
2015-04-20,0.01750823124809986,1.011720741409602,0.01741948810734893,-0.00023310023310025668,0.017652588340449187,1.084200984200997e-05,1.0904030930657515e-05,0.01084200984200997,0.010904030930657515,-0.96511454868279,0.96511454868279,0,IC1505.CFE,-1.0
2015-04-21,-0.06742270685548746,0.9435077904419261,-0.06818483039894878,-0.003586882971934518,-0.06459794742701426,2.8120568727187217e-05,2.7794793144210542e-05,0.028120568727187215,0.02779479314421054,-1.1369612596015015,1.1369612596015015,0,IC1505.CFE,-1.0
2015-04-22,-0.006488483650480492,0.9373858555695427,-0.005988072244660778,-0.0023193061499703687,-0.00366876609469041,0.00013386262772269647,0.00014187760724264614,0.13386262772269647,0.14187760724264614,-1.0079704582405544,1.0079704582405544,0,IC1505.CFE,-1.0
2015-04-23,-0.009260335429363997,0.9287053481202273,-0.008672297686479306,-0.0003691840095285716,-0.008303113676950734,8.209762836160642e-06,8.758146698482563e-06,0.008209762836160641,0.008758146698482561,-1.0178898906422433,1.0178898906422433,0,IC1505.CFE,-1.0
2015-04-24,-0.007469388033430668,0.9217684875063951,-0.0069243176759841134,0.002035749634293821,-0.008960067310277934,1.2542937848149807e-05,1.3505831395864899e-05,0.012542937848149808,0.013505831395864901,-1.0194546437651781,1.0194546437651781,0,IC1505.CFE,-1.0
2015-04-27,-0.002551126728438269,0.9194169392804854,-0.0023244072172112565,-0.004604165570016706,0.0022797583528054496,2.7141008698437542e-05,2.944449616829545e-05,0.027141008698437538,0.029444496168295448,-0.9950703804734559,0.9950703804734559,0,IC1505.CFE,-1.0
2015-04-28,0.02412822967785533,0.9416008423611558,0.02219702839169716,0.004296467664902808,0.017900560726794353,1.3125311026718145e-05,1.4275689805095077e-05,0.013125311026718146,0.014275689805095079,-0.9619923915394764,0.9619923915394764,0,IC1505.CFE,-1.0
2015-04-29,-0.01917580894627935,0.9235448845043825,-0.018018168555704688,0.0010006524629885042,-0.01901882101869319,3.7789301068539037e-05,4.013303659943494e-05,0.03778930106853904,0.04013303659943494,-1.0412274833387096,1.0412274833387096,0,IC1505.CFE,-1.0
