,g1_growth,g1_value,g2_growth,g2_value,g3_growth,g3_value,g4_growth,g4_value,g5_growth,g5_value
2015-06-16,-0.027294303728743783,-0.023522601528252886,-0.030423150669762526,-0.03346055538293677,-0.03940424363401084,-0.03755880061926013,-0.04365583018387447,-0.040395470647115836,-0.03797406672391182,-0.03882751557797261
2015-06-17,0.009927496555671947,0.019812581439944656,0.018021457698980378,0.017896394111662144,0.02463843318511062,0.017080488973760223,0.025091907746812008,0.01801978220043501,0.022478659588503053,0.01951303473727054
2015-06-18,-0.0460190196240901,-0.04792195454944234,-0.04987989627463963,-0.01888777228446592,-0.041287326654675306,-0.029283136678059422,-0.043047992450210446,-0.024199390188545382,-0.03146756844704673,-0.024612966433493345
2015-06-19,-0.049570559206658794,-0.058693688794829287,-0.051644413432722656,-0.06894373665231332,-0.058487850096608944,-0.0742514783349085,-0.054820282071304426,-0.07242237948262041,-0.06403176404403071,-0.06631362004648315
2015-06-23,0.04145113697189219,0.037625077177307314,0.028569020536597222,0.02778631881851533,0.020265952841401435,0.008935254946503952,0.010613143844868419,0.0012942973180454275,-0.0008982449818398205,-0.004989085077055738
2015-06-24,0.014130509590896855,0.03178036358715175,0.0118163892586076,0.03598351387064567,0.013047176469640237,0.03242967782987981,0.017438469803622077,0.026883427434146994,0.017047125921369467,0.02767896198957905
2015-06-25,-0.031195108178100495,-0.028980370354836218,-0.04731300303196996,-0.03336628175533425,-0.04351788587427186,-0.039820040158972135,-0.03615900695321599,-0.0417206368672023,-0.03864869897966946,-0.03141258327158684
2015-06-26,-0.06469864851005538,-0.06556612814345045,-0.08464214004639774,-0.08437560351637181,-0.08038010454209779,-0.08798648647138552,-0.0761540384136998,-0.08381583286495946,-0.07643660539593415,-0.07816194267926181
2015-06-29,-0.03153682765346567,0.0034217456987360316,-0.062604659584712,-0.027071804898496084,-0.06557113303340628,-0.05893738585563552,-0.06824229939960605,-0.06260873955846358,-0.06816233852532055,-0.06769472359552318
2015-06-30,0.07689095525092858,0.06256551335050296,0.06419351891371404,0.05477587680708523,0.04960272550815648,0.058669155200920066,0.04609730721728145,0.05073259677915833,0.03288746424054033,0.038183822899811745
2015-07-01,-0.04342757017706543,-0.041277647508489564,-0.049949688433924,-0.05860900897882973,-0.04836668648572865,-0.05308405039992426,-0.044352426809747325,-0.06093226561570785,-0.0581004574620978,-0.058065845056726684
2015-07-02,-0.028217573815216137,-0.006728129816000231,-0.04629251762819208,-0.06524844001229611,-0.06130599406771872,-0.06660603572196887,-0.06554463490823899,-0.07092000818961047,-0.06727296734772004,-0.06849114246986922
2015-07-03,-0.04734165549389897,-0.05574335206800244,-0.044295699022251986,-0.06793325782523545,-0.04389579281494099,-0.06522611034417251,-0.05461258048051876,-0.06744881859430145,-0.05994505686881199,-0.06698628269239583
2015-07-06,0.03193155986424574,0.06846553797413102,-0.012833548526015056,0.00909540552257395,-0.03117509154974662,-0.019661584722259477,-0.04400710285283759,-0.02391118710713346,-0.05359474293432615,-0.05154857992391684
2015-07-07,-0.025291984399086132,0.044984951982597915,-0.0725264823194998,-0.04517009904392489,-0.05682639453563012,-0.07345510328527609,-0.05233515437457209,-0.07204708700379672,-0.052694560063540674,-0.06542551806277759
2015-07-08,-0.06797149902279348,-0.06434855916120134,-0.046430254480225655,-0.07317225214735378,-0.017484408779781874,-0.04149314416976863,-0.015345331236485921,-0.035922150367361606,-0.025155761952993735,-0.03645997854054605
2015-07-09,0.07585009352664356,0.06456278544932681,0.056536833358776524,0.07637276631844322,0.032299642188760934,0.058430363484480885,0.024680588572893625,0.0539551229528268,0.025371442545791288,0.03874511309461306
2015-07-10,0.07042811586874383,0.03540293382692458,0.05882450359820599,0.0764881033096109,0.043068839538558897,0.0653777317853552,0.027887946268453093,0.05827080274542837,0.028995302301618966,0.04294497922974506
2015-07-13,0.009037475402136251,-0.01366721757940859,0.06262991160772963,0.06559668289264049,0.05166082028584301,0.0755335584765071,0.0445490261698182,0.0688065087808432,0.039385323785958645,0.05708543078198847
2015-07-14,-0.04971593352990544,-0.03417700861219675,0.008831654488649143,-0.030229127707913087,0.03148386355514909,0.003606183655880116,0.03039491531021139,0.010047352934025568,0.03385578797291619,0.026116733143035618
2015-07-15,-0.04367218811159674,0.0014451344129183745,-0.07202711500932048,-0.06739460213833486,-0.04770336281210006,-0.06978059520506077,-0.036987419094408135,-0.06293162544516298,-0.03798011108349718,-0.050155657423719795
2015-07-16,0.0034486496771431482,-0.00850594499319569,0.017602839174098515,0.02407750411267284,0.02246677309926879,0.022128332821053455,0.013630806946506912,0.016982552273487366,0.008698357421098002,0.01235904580680409
2015-07-17,0.04334439548000618,0.013409343010770573,0.06523022682095381,0.04935437495593382,0.056586460853123986,0.05503746632304457,0.05219968087017822,0.055745143218856145,0.049067439690922546,0.054604994682771704
2015-07-20,-0.00721544023293931,-0.003946936675414112,0.02349074326280473,0.003814905430682654,0.021998019299664242,0.00946910293694678,0.030856415572354468,0.014027821960183567,0.029839917604722682,0.021143174942785066
2015-07-21,0.0042068069841870726,-0.009700298775895125,0.007152175122769919,0.00916550520626107,0.010974411968204369,0.015292678951828417,0.023835586890766664,0.01603850082349428,0.022399580044627974,0.024034906441517123
2015-07-22,-0.007514309511966052,-0.0069439890812728194,0.011355924138276801,-0.0005920200936072597,0.01238106754619669,0.012545853473001422,0.014618684406238086,0.009329148925608653,0.020140951063330265,0.016462154473027294
