variant,seg,diff_sharpe,ci_lo,ci_hi,p_value,boot_mean,boot_sd,block,n_boot,seed,n_obs
D3,long,-0.2761309630236486,-0.5114330303322052,-0.05999654036756139,0.016798320167983202,-0.267816130674605,0.1148596734312489,20,10000,0,3070
V1,long,-0.21745694256772885,-0.45877315421867565,-0.018293214744922414,0.0522947705229477,-0.21992004021125194,0.11166989587045444,20,10000,0,3070
V2,long,-0.22988738723893842,-0.4727902567323249,-0.03007582108012885,0.0408959104089591,-0.232737648052876,0.11211075053161854,20,10000,0,3070
V3,long,-0.21160007243637158,-0.4584147763724995,0.009121938495678245,0.0766923307669233,-0.2099546634023036,0.12012074415979171,20,10000,0,3070
D3,full,-0.3351997807718381,-0.6083942532550172,-0.06447545585132176,0.015998400159984,-0.32192028782856985,0.13815016932491725,20,10000,0,3070
V1,full,-0.2616267447392162,-0.5423618190361988,-0.017259143963193706,0.051594840515948405,-0.26407523206483,0.13432488467885695,20,10000,0,3070
V2,full,-0.27674783201731135,-0.5589175709526037,-0.03154508144874031,0.03949605039496051,-0.2796275042462738,0.1347912417662018,20,10000,0,3070
V3,full,-0.26465857395087,-0.5605651362212153,0.010169841223407578,0.06979302069793021,-0.2621935148654782,0.14614098661521965,20,10000,0,3070
